query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
b094f2afcff8db95ee5eb80f926d2f23,685,0.3425,2000,2.5,4.3915,0.0005,2.196,0.0005,0.0005,0.0005,0,1,0,1,1,2,1,466672.49,466566.22,466679.24,466572.19,466706.38,466599.34,-1,-1,-1,-1,-1,-1,1
baf869565c51594f8c83808842692498,278,0.139,2000,2.5,4.0855,1.0,2.043,2.5,4.0855,2.043,0,1,0,1,227,3,0,427680.97,427611.27,427999.0,461599.31,427613.48,428092.58,-1,-1,-1,-1,-1,-1,1
143dc1e2db44e7c5288ce8c3fd4f6640,601,0.3005,2000,2.5,4.8425,0.0005,2.421,0.0005,0.0005,0.0005,0,1,0,1,1,1,1,461034.17,460873.72,461040.09,460878.96,461063.34,460902.22,-1,-1,-1,-1,-1,-1,1
62629d90d98700cde70c7f72dccc5545,88,0.044,2000,0.044,4.149,0.0005,0.0365,0.0005,0.0005,0.0005,0,1,0,1,1,3,1,377799.78,377725.89,377751.03,377725.88,377801.96,377728.09,-1,-1,-1,-1,-1,-1,3
c38ee30417b9f69e11485eee1cb227c6,73,0.0365,2000,0.0365,4.0295,1.0,0.0295,0.0365,4.0295,0.0295,0,1,0,1,59,2,0,369687.21,369615.59,369606.32,378428.62,369678.85,370150.26,-1,-1,-1,-1,-1,-1,2
f1df880c9ac84ad3c964c01ba93897cd,756,0.378,2000,2.5,4.064,1.0,2.032,2.5,4.064,2.032,0,1,0,1,614,2,0,470989.78,470921.77,471679.67,563003.04,470952.58,471425.76,-1,-1,-1,-1,-1,-1,1
f037c8148fc0da1e9f56fdb60254c710,851,0.4255,2000,2.5,4.399,0.0005,2.1995,0.0005,0.0005,0.0005,0,1,0,1,1,1,1,476053.37,475942.94,476061.76,475950.36,476096.81,475985.42,-1,-1,-1,-1,-1,-1,1
a8db36fd50e32d2ce8fac0c25c38b09f,148,0.074,2000,0.074,4.007,0.0005,0.0595,0.0005,0.0005,0.0005,0,1,0,1,1,3,1,400295.37,400235.57,400295.35,400235.56,400299.59,400239.81,-1,-1,-1,-1,-1,-1,3
42e3de9002a81aa33aacfbbef4d89dad,640,0.32,2000,2.5,4.728,0.0005,2.364,0.0005,0.0005,0.0005,0,1,0,1,1,1,2,463766.89,463622.42,463773.2,463628.0,463798.24,463653.06,-1,-1,-1,-1,-1,-1,1
03d67dfbcee752bb386e25fb288bb78f,676,0.338,2000,2.5,4.258,1.0,2.129,2.5,4.258,2.129,0,1,0,1,576,3,0,466190.95,466105.42,466811.24,552364.21,466144.93,466630.09,-1,-1,-1,-1,-1,-1,1
1596e3fffabf84ec192617056dd96c55,803,0.4015,2000,2.5,4.9355,1.0,2.468,2.5,4.9355,2.468,0,1,0,1,793,1,0,473693.94,473533.6,474305.19,592320.15,473643.81,474154.21,-1,-1,-1,-1,-1,-1,1
54538892ddd1478322e3bd1ce3e4f173,54,0.027,2000,0.027,4.2125,1.0,0.0225,0.027,4.2125,0.0225,0,1,0,1,45,2,0,356656.29,356564.35,356488.23,363376.94,356646.9,357125.36,-1,-1,-1,-1,-1,-1,2
0cc98f15f43e3a73ae44f100f4579b23,274,0.137,2000,2.5,4.179,0.0005,2.0895,0.0005,0.0005,0.0005,0,1,0,1,1,1,2,426966.18,426881.69,426966.14,426881.64,426975.19,426890.71,-1,-1,-1,-1,-1,-1,3
ea4f7c545e8e75d82a7b94f04602da78,889,0.4445,2000,2.5,4.019,0.0005,2.0095,0.0005,0.0005,0.0005,0,1,0,1,1,2,1,477926.2,477860.91,477934.96,477868.67,477971.85,477905.57,-1,-1,-1,-1,-1,-1,1
928725f730377cdef089c8c0afe6bc3f,871,0.4355,2000,2.5,4.0395,0.0005,2.02,0.0005,0.0005,0.0005,0,1,0,1,1,3,2,477082.15,477024.53,477090.74,477032.13,477126.76,477068.16,-1,-1,-1,-1,-1,-1,1
6e48fcf7bedb68b0e22824c9c59e3f07,909,0.4545,2000,2.5,4.0185,1.0,2.009,2.5,4.0185,2.009,0,1,0,1,731,2,0,478970.58,478907.74,479712.07,588401.14,478944.35,479414.56,-1,-1,-1,-1,-1,-1,1
