query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,68269,0.4551266666666667,150000,0.3300073333333333,0.21904,0.20013333333333333,0.07127466666666667,0.10213866666666666,0.093666,0.04812846666666667,0,1,0,1,9910.08,2,1,38.7245,40.6411,42.5494,189.089,38.7251,40.6592,38.0122,38.0122,37.9724,37.9724,38.0646,38.0646,0
,55027,0.36684666666666665,150000,0.282162,0.6813866666666667,1.0,0.19250266666666668,0.282162,0.6813866666666667,0.19250266666666668,0,1,0,1,37351.5,1,0,39.8753,40.6586,50.7201,2763.25,40.084,41.0649,37.8094,37.8094,37.7523,37.7523,37.9547,37.9547,0
,52621,0.35080666666666666,150000,0.272766,0.28118,0.441048,0.07598933333333333,0.18604733333333331,0.186736,0.05046573333333333,0,1,0,1,9686.84,3,1,38.6193,40.3833,42.9134,332.948,38.6634,40.4686,37.7519,37.7519,37.7123,37.7123,37.804,37.804,0
,6922,0.04614666666666667,150000,0.044403,0.55406,1.0,0.0245842,0.044403,0.55406,0.0245842,0,1,0,1,3813.04,1,0,38.5332,39.628,42.5024,265.756,38.6869,39.9362,36.9839,36.9839,36.9525,36.9525,36.9884,36.9884,0
,37620,0.2508,150000,0.20882,0.1191,1.0,0.023994866666666666,0.20882,0.1191,0.023994866666666666,0,1,0,1,4302.26,2,0,37.9074,40.0662,39.3502,95.3561,37.9176,40.1001,37.4947,37.4947,37.4629,37.4629,37.4998,37.4998,0
,47955,0.3197,150000,0.2538886666666667,0.79258,0.20013333333333333,0.20123933333333335,0.07857933333333333,0.17817266666666667,0.07033,0,1,0,1,13216.0,1,1,39.8879,40.3992,51.7974,764.025,39.9553,40.5056,37.6922,37.6922,37.6347,37.6347,37.8394,37.8394,0
,68756,0.45837333333333335,150000,0.3316486666666667,0.19109333333333334,1.0,0.0621616,0.3316486666666667,0.19109333333333334,0.0621616,0,1,0,1,12827.4,3,0,38.6668,40.6494,41.9752,303.872,38.7084,40.7334,38.0189,38.0189,37.9805,37.9805,38.0641,38.0641,0
,49867,0.33244666666666667,150000,0.26173066666666667,0.18518,0.24028266666666667,0.047488133333333335,0.09725733333333333,0.09077266666666667,0.03699326666666666,0,1,0,1,7013.7,1,2,38.2936,40.2929,40.9877,128.664,38.2997,40.3158,37.7019,37.7019,37.6665,37.6665,37.7284,37.7284,0
,17592,0.11728,150000,0.10723533333333334,0.6177466666666667,1.0,0.06626860000000001,0.10723533333333334,0.6177466666666667,0.06626860000000001,0,1,0,1,10815.7,1,0,38.9213,39.86,45.1432,754.737,39.1023,40.2169,37.1666,37.1666,37.1299,37.1299,37.2042,37.2042,0
,59301,0.39534,150000,0.29830533333333337,0.10784,1.0,0.030797533333333335,0.29830533333333337,0.10784,0.030797533333333335,0,1,0,1,6094.86,2,0,38.2495,40.4359,39.8824,111.376,38.2542,40.4613,37.8565,37.8565,37.8233,37.8233,37.8665,37.8665,0
