query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
95d8c7de73f8b2530a40b5100b8bf5a7,68269,0.4551266666666667,150000,0.5,0.21109333333333333,0.20033333333333334,0.10554666666666666,0.10016666666666667,0.04228666666666667,0.021146666666666668,0,1,0,1,2887,2,1,388279.78,392770.58,432572.12,6887876.28,404858.0,409659.58,-1,-1,-1,-1,-1,-1,0
a91ec08f958e85faa4f728f099d1b6ac,55027,0.36684666666666665,150000,0.5,0.6754333333333333,1.0,0.33772,0.5,0.6754333333333333,0.33772,0,1,0,1,37167,1,0,401966.95,402542.09,425841.51,209258706.49,405025.95,421947.94,-1,-1,-1,-1,-1,-1,0
c2ba4059268d177fa211987d94e5b05e,52621,0.35080666666666666,150000,0.5,0.27254666666666666,0.4439666666666667,0.13627333333333333,0.22198666666666667,0.121,0.0605,0,1,0,1,6367,3,1,388351.86,392604.25,425075.27,14718229.0,400941.37,406400.17,-1,-1,-1,-1,-1,-1,0
1fb274d42fe315fffed41c5f50785338,6922,0.04614666666666667,150000,0.5,0.5488466666666667,1.0,0.27442666666666665,0.5,0.5488466666666667,0.27442666666666665,0,1,0,1,3799,1,0,158023.89,159205.52,167106.16,12975725.88,153360.57,167898.86,-1,-1,-1,-1,-1,-1,4
2a782d299f38e56ef6197845159a4c88,37620,0.2508,150000,0.5,0.11198,1.0,0.055986666666666664,0.5,0.11198,0.055986666666666664,0,1,0,1,4213,2,0,386131.92,391122.0,417536.68,9869317.93,394998.9,401125.33,-1,-1,-1,-1,-1,-1,0
188947804d9210d15d7235dd3bcac369,47955,0.3197,150000,0.5,0.78576,0.20033333333333334,0.39288,0.10016666666666667,0.15741333333333332,0.07870666666666666,0,1,0,1,7549,1,1,397701.81,397184.54,422549.16,42840034.0,403624.43,406669.37,-1,-1,-1,-1,-1,-1,1
8b6a75064b7e6280435e719217faf75f,68756,0.45837333333333335,150000,0.5,0.18380666666666667,1.0,0.09190666666666666,0.5,0.18380666666666667,0.09190666666666666,0,1,0,1,12638,3,0,395885.01,400707.97,432809.53,71456291.18,404917.25,413877.8,-1,-1,-1,-1,-1,-1,0
01c7b18ea1a96692ce1c7d74b9bc8d36,49867,0.33244666666666667,150000,0.5,0.17782666666666666,0.24206666666666668,0.08891333333333333,0.12103333333333334,0.043046666666666664,0.02152,0,1,0,1,2147,1,2,387163.54,391913.51,423601.15,5221508.76,399141.44,404238.61,-1,-1,-1,-1,-1,-1,0
464358de72c580f2091e893d6e20b7b2,17592,0.11728,150000,0.5,0.61286,1.0,0.3064266666666667,0.5,0.61286,0.3064266666666667,0,1,0,1,10781,1,0,170629.88,171391.29,182598.88,60750256.74,168182.64,183896.5,-1,-1,-1,-1,-1,-1,4
27ad1a37c18a00cb35b9bc3ed6745ad9,59301,0.39534,150000,0.5,0.10044,1.0,0.05022,0.5,0.10044,0.05022,0,1,0,1,5956,2,0,386993.01,392120.54,428051.97,13793120.93,401271.07,407355.49,-1,-1,-1,-1,-1,-1,0
