query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.05095197452401274,6000003,0.20384989807505097,1,1.0,0.20384989807505097,0.20384989807505097,1.0,0.20384989807505097,0,0,1,0,1223100.0,0,0,inf,107.815,inf,1307740.0,inf,221.152,inf,27.7284,inf,331222.0,inf,43.4931,1
,963396,0.16056591971704015,6000003,0.6423930121368273,1,0.06964763184285075,0.6423930121368273,0.044732144300594516,0.06964763184285075,0.044732144300594516,0,0,1,0,268393.0,0,1,inf,113.992,inf,286970.0,inf,139.113,inf,22.6572,inf,52.8296,inf,58.2171,1
,374565,0.06242746878626561,6000003,0.24975987512006245,1,1.0,0.24975987512006245,0.24975987512006245,1.0,0.24975987512006245,0,0,1,0,1498560.0,0,0,inf,109.476,inf,1602030.0,inf,223.156,inf,28.8714,inf,405598.0,inf,45.02,1
,1219161,0.2031933984033008,6000003,0.8129379268643699,1,0.1829232418717124,0.8129379268643699,0.14867525899570383,0.1829232418717124,0.14867525899570383,0,0,1,0,892052.0,0,2,inf,118.884,inf,953276.0,inf,169.654,inf,22.6657,inf,57.0753,inf,72.938,1
,674344,0.11239061047136144,6000003,0.4496531085067791,1,1.0,0.4496531085067791,0.4496531085067791,1.0,0.4496531085067791,0,0,1,0,2697920.0,0,0,inf,117.864,inf,2883350.0,inf,231.924,inf,33.8479,inf,729425.0,inf,51.7142,1
,887634,0.147938926030537,6000003,0.591874704062648,1,0.3102715115309109,0.591874704062648,0.1836049081975459,0.3102715115309109,0.1836049081975459,0,0,1,0,1101630.0,0,1,inf,115.282,inf,1177560.0,inf,165.886,inf,22.6546,inf,298012.0,inf,56.5091,1
,956309,0.1593847536409565,6000003,0.6376680144993261,1,0.581058042804312,0.6376680144993261,0.37044648144342596,0.581058042804312,0.37044648144342596,0,0,1,0,2222680.0,0,1,inf,121.444,inf,2375380.0,inf,195.948,inf,38.5286,inf,600859.0,inf,58.0573,1
,919376,0.15322925671870496,6000003,0.6130413601459866,1,0.22087988956005522,0.6130413601459866,0.13538159897586718,0.22087988956005522,0.13538159897586718,0,0,1,0,812290.0,0,2,inf,114.886,inf,868394.0,inf,157.433,inf,22.6557,inf,219837.0,inf,57.2244,1
,556210,0.0927016203158565,6000003,0.37088148122592607,1,0.08239379213643727,0.37088148122592607,0.030552151390590972,0.08239379213643727,0.030552151390590972,0,0,1,0,183313.0,0,2,inf,108.472,inf,196028.0,inf,130.256,inf,22.6436,inf,46.0704,inf,49.0687,1
,1133242,0.18887357222988055,6000003,0.7556479555093556,1,0.3726514803409265,0.7556479555093556,0.2815365258984037,0.3726514803409265,0.2815365258984037,0,0,1,0,1689220.0,0,2,inf,119.801,inf,1805340.0,inf,178.552,inf,22.6628,inf,456699.0,inf,62.0539,1
,1276415,0.21273572696546986,6000003,0.8511145744427128,1,1.0,0.8511145744427128,0.8511145744427128,1.0,0.8511145744427128,0,0,1,0,5106690.0,0,0,inf,132.387,inf,5456720.0,inf,259.032,inf,43.8425,inf,1379790.0,inf,74.6553,1
,320291,0.05338180664243001,6000003,0.2135698932150534,1,1.0,0.2135698932150534,0.2135698932150534,1.0,0.2135698932150534,0,0,1,0,1281420.0,0,0,inf,108.167,inf,1370050.0,inf,221.576,inf,27.9705,inf,346970.0,inf,43.816,1
,1120134,0.18668890665554666,6000003,0.7469062932135201,1,1.0,0.7469062932135201,0.7469062932135201,1.0,0.7469062932135201,0,0,1,0,4481440.0,0,0,inf,128.617,inf,4788750.0,inf,245.053,inf,41.2482,inf,1210980.0,inf,61.7575,1
