query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,199341,0.033223483388258306,6000003,0.9969061682135826,1,1.0,0.9969061682135826,0.9969061682135826,1.0,0.9969061682135826,0,0,1,0,5981440.0,0,0,inf,96.652,inf,852731.0,inf,194.553,inf,6.50143,inf,215951.0,inf,8.31073,1
,176964,0.029493985253007372,6000003,0.8979978843343912,1,0.06964763184285075,0.8979978843343912,0.06245030210818228,0.06964763184285075,0.06245030210818228,0,0,1,0,374702.0,0,1,inf,84.7091,inf,3756.38,inf,87.9875,inf,6.09883,inf,6.90842,inf,6.99062,1
,112421,0.01873682396492135,6000003,0.5704763814284759,1,1.0,0.5704763814284759,0.5704763814284759,1.0,0.5704763814284759,0,0,1,0,3422860.0,0,0,inf,90.276,inf,481213.0,inf,187.935,inf,4.91926,inf,122059.0,inf,6.26929,1
,170585,0.028430819117923774,6000003,0.8656279005193831,1,0.1829232418717124,0.8656279005193831,0.15874475396095636,0.1829232418717124,0.15874475396095636,0,0,1,0,952469.0,0,2,inf,85.8207,inf,24565.2,inf,103.728,inf,5.98255,inf,6.79214,inf,6.96707,1
,150056,0.02500932082867292,6000003,0.7614529526068571,1,1.0,0.7614529526068571,0.7614529526068571,1.0,0.7614529526068571,0,0,1,0,4568720.0,0,0,inf,93.1074,inf,642074.0,inf,190.867,inf,5.60432,inf,162713.0,inf,7.15096,1
,101202,0.016866991566504216,6000003,0.5135464098934617,1,0.3102715115309109,0.5135464098934617,0.15909542045228978,0.3102715115309109,0.15909542045228978,0,0,1,0,954573.0,0,1,inf,84.7237,inf,41885.7,inf,114.811,inf,4.71775,inf,10719.1,inf,5.7027,1
,169877,0.028312819176923746,6000003,0.8620345689827155,1,0.581058042804312,0.8620345689827155,0.5002080832292917,0.581058042804312,0.5002080832292917,0,0,1,0,3001250.0,0,1,inf,90.1575,inf,245173.0,inf,146.676,inf,5.96964,inf,62216.4,inf,7.30904,1
,132944,0.022157322254672207,6000003,0.6746196626901687,1,0.22087988956005522,0.6746196626901687,0.1491884254057873,0.22087988956005522,0.1491884254057873,0,0,1,0,895131.0,0,2,inf,85.076,inf,27996.1,inf,106.593,inf,5.29638,inf,7168.79,inf,6.27148,1
,31922,0.005320330673167997,6000003,0.1619869190065405,1,0.08239379213643727,0.1619869190065405,0.013311810010761661,0.08239379213643727,0.013311810010761661,0,0,1,0,79870.9,0,2,inf,81.4338,inf,1015.24,inf,85.2525,inf,3.45483,inf,4.26451,inf,4.29845,1
,84666,0.014110992944503528,6000003,0.4296347851826074,1,0.3726514803409265,0.4296347851826074,0.1599270867031233,0.3726514803409265,0.1599270867031233,0,0,1,0,959563.0,0,2,inf,84.5118,inf,50475.6,inf,120.612,inf,4.41631,inf,12918.0,inf,5.40186,1
,11724,0.0019539990230004883,6000003,0.059492970253514875,1,1.0,0.059492970253514875,0.059492970253514875,1.0,0.059492970253514875,0,0,1,0,356958.0,0,0,inf,81.5424,inf,50808.3,inf,180.125,inf,3.08632,inf,13283.7,inf,3.94319,1
,58147,0.009691161821085757,6000003,0.29506485246757375,1,1.0,0.29506485246757375,0.29506485246757375,1.0,0.29506485246757375,0,0,1,0,1770390.0,0,0,inf,85.036,inf,249232.0,inf,183.717,inf,3.93134,inf,63430.8,inf,5.00671,1
,190373,0.0317288174689246,6000003,0.9660411836460748,1,0.24414654459339438,0.9660411836460748,0.23625321520672574,0.24414654459339438,0.23625321520672574,0,0,1,0,1417520.0,0,1,inf,87.1313,inf,48829.5,inf,110.914,inf,6.34327,inf,12444.3,inf,7.40569,1
,134633,0.022438822113922275,6000003,0.6831896584051708,1,0.5178130744267961,0.6831896584051708,0.3534614899359217,0.5178130744267961,0.3534614899359217,0,0,1,0,2120770.0,0,1,inf,87.7845,inf,154445.0,inf,138.059,inf,5.32717,inf,39258.9,inf,6.51064,1
