query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.05095197452401274,6000003,0.10391161471085932,1,1.0,0.10391161471085932,0.10391161471085932,1.0,0.10391161471085932,0,0,0,0,9307800.0,0,0,inf,111.5,inf,1307450.0,inf,213.826,inf,17.1741,inf,330921.0,inf,22.3598,1
,152316,0.025385987307006346,6000003,0.10386894806552596,1,0.06964763184285075,0.10386894806552596,0.006160963586184874,0.06964763184285075,0.006160963586184874,0,0,0,0,270045.0,0,1,inf,92.9729,inf,2745.39,inf,99.1226,inf,14.6653,inf,18.2701,inf,18.3308,1
,374565,0.06242746878626561,6000003,0.10391461470935931,1,1.0,0.10391461470935931,0.10391461470935931,1.0,0.10391461470935931,0,0,0,0,11404100.0,0,0,inf,116.353,inf,1601750.0,inf,218.901,inf,18.3021,inf,405297.0,inf,23.8716,1
,170585,0.028430819117923774,6000003,0.10389294805352597,1,0.1829232418717124,0.10389294805352597,0.017962824351921158,0.1829232418717124,0.017962824351921158,0,0,0,0,877317.0,0,2,inf,94.3662,inf,22648.3,inf,115.295,inf,14.9651,inf,18.5698,inf,18.7296,1
,674344,0.11239061047136144,6000003,0.10392794803602598,1,1.0,0.10392794803602598,0.10392794803602598,1.0,0.10392794803602598,0,0,0,0,20531300.0,0,0,inf,137.481,inf,2883080.0,inf,241.042,inf,23.213,inf,729124.0,inf,30.5003,1
,255654,0.042608978695510655,6000003,0.10390928137869264,1,0.3102715115309109,0.10390928137869264,0.031507817579424544,0.3102715115309109,0.031507817579424544,0,0,0,0,2306040.0,0,1,inf,98.317,inf,100857.0,inf,131.716,inf,16.3609,inf,25671.5,inf,20.3653,1
,332753,0.05545880560393053,6000003,0.10391278137694264,1,0.3355781655442506,0.10391278137694264,0.034101816282425194,0.3355781655442506,0.034101816282425194,0,0,0,0,3247540.0,0,2,inf,101.258,inf,153477.0,inf,137.218,inf,17.626,inf,38981.0,inf,21.7951,1
,441171,0.07352846323576838,6000003,0.10391761470785932,1,0.3407198296400852,0.10391761470785932,0.03459714936809198,0.3407198296400852,0.03459714936809198,0,0,0,0,4367790.0,0,1,inf,105.028,inf,209465.0,inf,141.604,inf,19.405,inf,53132.8,inf,23.7744,1
,49812,0.008301995849002075,6000003,0.0949322858671904,1,1.0,0.0949322858671904,0.0949322858671904,1.0,0.0949322858671904,0,0,0,0,1516590.0,0,0,inf,93.4637,inf,213671.0,inf,195.027,inf,12.9821,inf,54492.6,inf,16.8118,1
,183562,0.03059365136984098,6000003,0.1039001147166093,1,1.0,0.1039001147166093,0.1039001147166093,1.0,0.1039001147166093,0,0,0,0,5588790.0,0,0,inf,102.891,inf,785352.0,inf,204.838,inf,15.1731,inf,198972.0,inf,19.6929,1
