query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,43568,0.029045333333333333,1500000,0.4468413333333333,0.14038066666666665,0.183612,0.06272786666666667,0.08470733333333333,0.060153,0.027751,0,0,1,0,41626.5,2,1,6.63556,20.7481,534.449,551.052,6.94109,21.0536,4.03612,4.03612,4.00024,4.00024,4.05723,4.05723,0
,86294,0.057529333333333335,1500000,0.8850466666666666,0.17822533333333335,1.0,0.157738,0.8850466666666666,0.17822533333333335,0.157738,0,0,1,0,236607.0,3,0,7.60336,21.0996,16447.8,16463.2,10.0369,23.5034,4.22418,4.22418,4.81723,4.81723,5.22378,5.22378,0
,52621,0.03508066666666667,1500000,0.5396906666666667,0.21071733333333334,0.453028,0.113722,0.24759733333333334,0.141828,0.07751466666666666,0,0,1,0,116272.0,3,1,7.27059,20.2553,3643.85,3659.14,9.15537,22.1164,3.58077,3.58077,4.17384,4.17384,4.3135,4.3135,0
,137994,0.091996,1500000,0.9151666666666667,0.5081173333333333,1.0,0.46501133333333333,0.9151666666666667,0.5081173333333333,0.46501133333333333,0,0,1,0,697517.0,1,0,14.7676,22.9287,74938.3,74947.8,20.4067,28.483,5.2142,5.2142,5.80721,5.80721,6.4808,6.4808,0
,7878,0.005252,1500000,0.080798,0.322376,1.0,0.0260474,0.080798,0.322376,0.0260474,0,0,1,0,39071.1,3,0,8.09099,19.2082,2723.2,2736.05,11.4829,22.5947,2.72258,2.72258,3.31566,3.31566,3.33891,3.33891,0
,31922,0.021281333333333333,1500000,0.327398,0.117882,0.18656466666666666,0.03859426666666667,0.06303013333333334,0.05091686666666667,0.017202066666666665,0,0,1,0,25803.1,2,2,5.98207,20.4635,338.484,355.506,6.23615,20.7176,3.81091,3.81091,3.77693,3.77693,3.82091,3.82091,0
,119424,0.079616,1500000,0.7920133333333333,0.7394733333333333,0.163326,0.5856686666666666,0.13003333333333333,0.140448,0.11181933333333334,0,0,1,0,167729.0,1,2,17.2934,21.6171,3032.52,3037.97,19.1448,23.4451,4.86178,4.86178,5.45481,5.45481,5.57513,5.57513,0
,11724,0.007816,1500000,0.12024333333333333,0.23247866666666667,1.0,0.027954066666666666,0.12024333333333333,0.23247866666666667,0.027954066666666666,0,0,1,0,41931.1,3,0,6.70269,19.2866,2920.66,2935.11,9.30689,21.8869,2.79622,2.79622,3.38931,3.38931,3.43648,3.43648,0
,89142,0.059428,1500000,0.91426,0.45053,1.0,0.4119,0.91426,0.45053,0.4119,0,0,1,0,617850.0,2,0,12.7343,21.8273,42928.3,42938.9,17.6119,26.6298,4.27872,4.27872,4.87176,4.87176,5.29278,5.29278,0
,46523,0.031015333333333332,1500000,0.47714866666666667,0.99654,0.388112,0.4754986666666667,0.18767666666666666,0.38744,0.187352,0,0,1,0,281028.0,1,1,20.2978,20.4518,7546.65,7547.31,24.3377,24.4271,3.46384,3.46384,4.0569,4.0569,4.16795,4.16795,0
,80164,0.053442666666666666,1500000,0.82218,0.292966,1.0,0.24087,0.82218,0.292966,0.24087,0,0,1,0,361305.0,3,0,9.56282,21.204,25108.7,25122.1,12.9779,24.5702,4.1068,4.1068,4.69984,4.69984,5.07539,5.07539,0
,9782,0.006521333333333333,1500000,0.100326,0.05793126666666666,1.0,0.005812013333333334,0.100326,0.05793126666666666,0.005812013333333334,0,0,1,0,8718.02,1,0,4.56086,19.9932,610.829,628.409,4.85159,20.2839,3.35724,3.35724,3.35212,3.35212,3.38963,3.38963,0
,135493,0.09032866666666667,1500000,0.89858,0.6547493333333333,1.0,0.588344,0.89858,0.6547493333333333,0.588344,0,0,1,0,882516.0,3,0,17.4185,23.2084,94808.5,94815.4,24.4082,30.0888,5.16631,5.16631,5.75932,5.75932,6.4198,6.4198,0
,138085,0.09205666666666666,1500000,0.9157666666666666,0.04187826666666667,0.2255,0.0383508,0.207588,0.019886666666666667,0.018307,0,0,1,0,27460.5,1,2,6.82127,22.5475,683.344,701.782,6.92322,22.6494,5.86966,5.86966,5.81264,5.81264,5.99116,5.99116,0
,146200,0.09746666666666666,1500000,0.9695866666666667,0.3384313333333333,1.0,0.3281386666666667,0.9695866666666667,0.3384313333333333,0.3281386666666667,0,0,1,0,492208.0,2,0,11.8183,22.7236,52887.1,52899.7,15.9498,26.7986,5.37134,5.37134,5.96435,5.96435,6.68106,6.68106,0
,108102,0.072068,1500000,0.7169266666666667,0.7011466666666667,0.3776526666666667,0.502668,0.27216666666666667,0.31622533333333336,0.22789733333333334,0,0,1,0,341846.0,2,1,16.7471,21.7282,13905.1,13911.3,20.2405,25.1688,4.64467,4.64467,5.2377,5.2377,5.46441,5.46441,0
,62757,0.041838,1500000,0.6436473333333333,0.11102933333333333,1.0,0.07146333333333334,0.6436473333333333,0.11102933333333333,0.07146333333333334,0,0,1,0,107195.0,3,0,5.83078,20.4138,7456.82,7473.45,7.58631,22.1508,3.77347,3.77347,4.36652,4.36652,4.65501,4.65501,0
,24778,0.016518666666666668,1500000,0.254128,0.7819066666666666,0.040784600000000004,0.198704,0.011788199999999999,0.036064,0.0104238,0,0,1,0,15635.7,1,2,16.65,20.2551,62.246,66.9059,16.8277,20.4328,3.66946,3.66946,3.63994,3.63994,3.67109,3.67109,0
,36224,0.02414933333333333,1500000,0.37152,0.168788,0.656688,0.062708,0.246346,0.13677933333333334,0.0513106,0,0,1,0,76965.9,3,2,6.20616,19.8763,3498.48,3514.55,8.04992,21.6972,3.26635,3.26635,3.85942,3.85942,3.99858,3.99858,0
,37074,0.024716,1500000,0.380238,0.115422,0.75548,0.0438878,0.29019533333333336,0.10032266666666667,0.03853606666666667,0,0,1,0,57804.1,3,1,5.3179,19.8564,3025.09,3042.16,6.87258,21.3943,3.28265,3.28265,3.87572,3.87572,4.03623,4.03623,0
,113708,0.07580533333333334,1500000,0.7541,0.001595,0.34483933333333333,0.0012027933333333333,0.2614066666666667,0.0009366333333333333,0.00071002,0,0,1,0,1065.03,1,2,5.5306,21.9169,48.9677,68.1554,5.65927,22.0456,5.4093,5.4093,5.3452,5.3452,5.56403,5.56403,0
,79905,0.05327,1500000,0.81952,0.04338126666666667,0.22867066666666666,0.0355518,0.19214933333333334,0.02074473333333333,0.017431533333333332,0,0,1,0,26147.3,3,2,5.70032,21.4019,419.612,438.021,5.76979,21.4714,4.74225,4.74225,4.69702,4.69702,4.81014,4.81014,0
,100797,0.067198,1500000,0.66848,0.522204,0.39787266666666665,0.34908133333333335,0.2673626666666667,0.28751733333333335,0.193206,0,0,1,0,289809.0,1,2,13.5913,21.4978,12416.0,12425.5,16.8258,24.6844,4.50459,4.50459,5.09763,5.09763,5.32054,5.32054,0
