query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.203808,1500000,0.025800133333333333,0.14038066666666665,0.183612,0.0033355933333333336,0.004737206666666667,0.060153,0.0014292999999999999,0,1,0,1,16714.6,2,1,185.147,199.26,196.412,2712.35,185.323,199.606,182.489,182.489,182.42,182.42,182.642,182.642,0
,610582,0.4070546666666667,1500000,0.025809266666666667,0.17822533333333335,1.0,0.00442028,0.025809266666666667,0.17822533333333335,0.00442028,0,1,0,1,103212.0,3,0,193.22,206.687,215.744,19870.4,193.768,207.845,189.314,189.314,189.176,189.176,189.753,189.753,0
,170585,0.11372333333333333,1500000,0.025494,0.5497266666666667,0.27719133333333335,0.0144048,0.0070667333333333335,0.20552,0.005385346666666667,0,1,0,1,35553.8,1,1,189.397,196.805,226.053,21088.7,190.077,198.205,179.554,179.554,179.425,179.425,179.956,179.956,0
,745049,0.4966993333333333,1500000,0.0258094,0.482054,1.0,0.012787933333333334,0.0258094,0.482054,0.012787933333333334,0,1,0,1,364217.0,2,0,132.666,141.17,278.298,187818.0,205.198,215.614,123.904,123.904,192.156,192.156,194.286,194.286,0
,332753,0.22183533333333333,1500000,0.025804733333333333,0.3761393333333333,1.0,0.0099946,0.025804733333333333,0.3761393333333333,0.0099946,0,1,0,1,127151.0,2,0,190.774,201.007,225.046,51309.3,191.974,203.649,183.182,183.182,183.019,183.019,183.732,183.732,0
,441171,0.294114,1500000,0.02580886666666667,0.9073,0.6707933333333334,0.0236664,0.017312333333333332,0.638942,0.016666466666666668,0,1,0,1,281017.0,1,1,132.788,134.341,301.198,272633.0,206.277,210.465,117.169,117.169,185.422,185.422,187.766,187.766,0
,724116,0.482744,1500000,0.0258094,0.10582666666666667,1.0,0.00250744,0.0258094,0.10582666666666667,0.00250744,0,1,0,1,69457.5,3,0,194.196,208.846,208.685,8070.13,194.503,209.485,191.794,191.794,191.692,191.692,192.08,192.08,0
,514592,0.34306133333333333,1500000,0.02580913333333333,0.324132,0.008994266666666667,0.0084668,0.008992333333333333,0.005120666666666667,0.005120293333333333,0,1,0,1,100725.0,3,2,124.355,135.459,232.257,1134.29,193.575,204.678,118.797,118.797,187.049,187.049,187.991,187.991,0
,320291,0.21352733333333335,1500000,0.025803,0.132648,1.0,0.003151353333333333,0.025803,0.132648,0.003151353333333333,0,1,0,1,38612.6,1,0,185.501,199.712,196.267,5677.2,185.897,200.541,182.812,182.812,182.743,182.743,182.963,182.963,0
,71558,0.047705333333333336,1500000,0.021697266666666666,0.7217533333333334,0.24680066666666667,0.015992666666666665,0.0053549,0.20967266666666667,0.004645913333333333,0,1,0,1,15131.3,3,2,189.768,194.358,224.176,11869.1,190.442,195.77,177.314,177.314,177.23,177.23,177.523,177.523,0
