query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
2d65146678aeb3f173d29fa463ce5a42,43568,0.029045333333333333,1500000,0.5,0.13730666666666666,0.186294,0.06865333333333333,0.09314666666666667,0.025579333333333332,0.012789333333333333,0,0,1,0,19146,2,1,64796.11,93710.23,52870819.92,52899734.04,62928.16,91842.28,-1,-1,-1,-1,-1,-1,4
e43d88fc593311b589b9be5220a60259,86294,0.057529333333333335,1500000,0.5,0.17558,1.0,0.08779,0.5,0.17558,0.08779,0,0,1,0,260296,3,0,101692.39,140634.14,718320814.82,718359756.57,120072.87,159014.62,-1,-1,-1,-1,-1,-1,0
cd936c221941c2d7279cc5c422061405,52621,0.03508066666666667,1500000,0.5,0.20707666666666666,0.456182,0.10353866666666667,0.22809066666666666,0.09446466666666667,0.047232,0,0,1,0,85397,3,1,80789.94,115147.26,235710617.94,235744975.26,89039.92,123397.24,-1,-1,-1,-1,-1,-1,0
ab3210a604af77c1e2c806634487af59,137994,0.091996,1500000,0.5,0.5051146666666667,1.0,0.25255733333333336,0.5,0.5051146666666667,0.25255733333333336,0,0,1,0,1197464,1,0,180764.03,190849.35,3304212556.08,3304222641.4,333578.48,343663.79,-1,-1,-1,-1,-1,-1,0
700f0f29678c5c1ed90328b4f82dc466,7878,0.005252,1500000,0.5,0.31727333333333335,1.0,0.15863666666666668,0.5,0.31727333333333335,0.15863666666666668,0,0,1,0,42940,3,0,66237.77,94367.37,118524020.4,118552150.0,146146.22,174275.82,-1,-1,-1,-1,-1,-1,0
d23db41040523f9ac2e26e16ba2cdb60,31922,0.021281333333333333,1500000,0.5,0.11473533333333333,0.18956333333333333,0.057368,0.09478133333333333,0.021749333333333332,0.010874666666666666,0,0,1,0,11927,2,2,57368.14,88209.96,32964367.12,32995208.94,56321.84,87163.65,-1,-1,-1,-1,-1,-1,4
425752ae41460c3df31b7da682cbb627,119424,0.079616,1500000,0.5,0.738194,0.16450266666666666,0.36909733333333333,0.08225133333333333,0.12143466666666666,0.06071733333333333,0,0,1,0,249142,1,2,157301.83,153313.35,687649933.05,687645944.57,192213.28,188224.8,-1,-1,-1,-1,-1,-1,1
c0fd6f24cb82786973e81718395cd905,11724,0.007816,1500000,0.5,0.22891133333333333,1.0,0.114456,0.5,0.22891133333333333,0.114456,0,0,1,0,46106,3,0,55815.55,90689.36,127258220.38,127293094.19,91960.0,126833.82,-1,-1,-1,-1,-1,-1,0
306fb6c17502180a4e538c4d7181ab39,89142,0.059428,1500000,0.5,0.44667,1.0,0.22333466666666665,0.5,0.44667,0.22333466666666665,0,0,1,0,684040,2,0,144945.21,161124.68,1887567934.68,1887584114.15,251218.27,267397.74,-1,-1,-1,-1,-1,-1,0
17b97a83412f1b24d7eb1c102b64432b,46523,0.031015333333333332,1500000,0.5,0.9961153333333334,0.390966,0.49805733333333335,0.19548266666666667,0.3894473333333333,0.194724,0,0,1,0,311264,1,1,155931.59,132245.7,858993768.99,858970083.1,251530.03,227844.14,-1,-1,-1,-1,-1,-1,1
274e083936dfc94af1c23359cfa65bef,80164,0.053442666666666666,1500000,0.5,0.289156,1.0,0.144578,0.5,0.289156,0.144578,0,0,1,0,398221,3,0,116468.91,146745.47,1098865971.34,1098896247.9,155847.52,186124.07,-1,-1,-1,-1,-1,-1,0
1e2db3eca7ade36c2dcfdf8e3fe31f18,9782,0.006521333333333333,1500000,0.5,0.056434,1.0,0.028217333333333334,0.5,0.056434,0.028217333333333334,0,0,1,0,9484,1,0,28879.8,66598.46,26195002.35,26232721.01,35954.66,73673.33,-1,-1,-1,-1,-1,-1,0
1b4708a8b6ba32c476758e8d8dcc448a,135493,0.09032866666666667,1500000,0.5,0.6531306666666666,1.0,0.3265653333333333,0.5,0.6531306666666666,0.3265653333333333,0,0,1,0,1520300,3,0,207976.49,210478.9,4195011609.15,4195014111.56,401776.95,404279.36,-1,-1,-1,-1,-1,-1,0
5aa9e620524b286a4b6474b5e86ab619,138085,0.09205666666666666,1500000,0.5,0.040058,0.229948,0.020029333333333333,0.114974,0.009211333333333334,0.004605333333333334,0,0,1,0,21852,1,2,83479.96,117363.01,28658433.17,28692316.22,121319.5,155202.56,-1,-1,-1,-1,-1,-1,0
adb8e525ec09282532d272e5ec73b9fe,146200,0.09746666666666666,1500000,0.5,0.333066,1.0,0.16653333333333334,0.5,0.333066,0.16653333333333334,0,0,1,0,836546,2,0,158860.31,183283.9,2308411902.86,2308436326.45,265430.31,289853.91,-1,-1,-1,-1,-1,-1,0
90ae6fa05e78ff4d6dbb38830a44a5f8,108102,0.072068,1500000,0.5,0.697776,0.3805613333333333,0.348888,0.19028066666666665,0.26554666666666665,0.13277333333333333,0,0,1,0,493159,2,1,160897.37,159992.01,1360855858.05,1360854952.69,193278.64,192373.28,-1,-1,-1,-1,-1,-1,1
8ef21ad7902a0045b6a17c629794fb1d,62757,0.041838,1500000,0.5,0.108202,1.0,0.054101333333333335,0.5,0.108202,0.054101333333333335,0,0,1,0,116657,3,0,78772.18,122301.98,321956853.69,322000383.49,88214.91,131744.71,-1,-1,-1,-1,-1,-1,0
99709eb3e50c898963b47220534a8403,24778,0.016518666666666668,1500000,0.5,0.7806093333333334,0.04096933333333334,0.3903046666666667,0.02048466666666667,0.031981333333333334,0.015990666666666667,0,0,1,0,13614,1,2,98807.07,85695.82,37663125.38,37650014.13,100176.24,87064.99,-1,-1,-1,-1,-1,-1,1
6fadd6cfaab55f8d4a5354cff3a7fa32,36224,0.02414933333333333,1500000,0.5,0.16615333333333332,0.6580746666666667,0.08307666666666666,0.32903733333333335,0.10934133333333333,0.054670666666666666,0,0,1,0,68045,3,2,70811.88,111265.93,187802053.07,187842507.12,83456.28,123910.33,-1,-1,-1,-1,-1,-1,0
927f45f1d43208266bc3b98010db4d34,37074,0.024716,1500000,0.5,0.112294,0.7584853333333333,0.056146666666666664,0.3792426666666667,0.08517333333333334,0.04258666666666667,0,0,1,0,54248,3,1,64510.84,105061.81,149761196.05,149801747.02,72981.34,113532.3,-1,-1,-1,-1,-1,-1,0
d9a6469a8de64e4b8e98d1791f1b2c2b,113708,0.07580533333333334,1500000,0.5,0.0015726666666666667,0.34981466666666666,0.0007866666666666666,0.17490733333333333,0.00055,0.00027466666666666666,0,0,1,0,1074,1,2,64801.54,100320.28,1442759.61,1478278.35,101766.28,137285.01,-1,-1,-1,-1,-1,-1,0
11ff91613815a27d97596d1a5b22c5f7,79905,0.05327,1500000,0.5,0.041579333333333336,0.23300866666666667,0.020789333333333333,0.116504,0.009688,0.004844,0,0,1,0,13299,3,2,63035.2,98977.93,17455278.72,17491221.44,65333.49,101276.22,-1,-1,-1,-1,-1,-1,0
cec58e2a6991ee6c6a4f9d1f580a04f8,100797,0.067198,1500000,0.5,0.5198826666666667,0.400814,0.25994133333333336,0.20040666666666668,0.208376,0.104188,0,0,1,0,360834,1,2,138444.74,151113.27,995794536.32,995807204.85,161197.37,173865.9,-1,-1,-1,-1,-1,-1,0
1c152103f538a709b3eb6c92b817e152,8287,0.0055246666666666664,1500000,0.5,0.020838666666666665,1.0,0.010419333333333333,0.5,0.020838666666666665,0.010419333333333333,0,0,1,0,2967,3,0,23154.21,60248.02,8204476.24,8241570.05,24897.57,61991.38,-1,-1,-1,-1,-1,-1,0
6d821ee55b6443fd7bccfe0bb16409fb,3913,0.0026086666666666667,1500000,0.5,0.329488,1.0,0.164744,0.5,0.329488,0.164744,0,0,1,0,22149,3,0,65068.48,92267.83,43553854.22,43581053.58,147692.95,174892.3,-1,-1,-1,-1,-1,-1,0
7a0b14ac340c53759ed89fec01f0f548,7998,0.005332,1500000,0.5,0.49188866666666664,1.0,0.245944,0.5,0.49188866666666664,0.245944,0,0,1,0,67587,3,0,91858.81,106663.14,186548984.25,186563788.58,218689.26,233493.59,-1,-1,-1,-1,-1,-1,0
1b9dc6c7edb73fc95fd9c693181f0d68,69070,0.046046666666666666,1500000,0.5,0.82408,1.0,0.41204,0.5,0.82408,0.41204,0,0,1,0,977848,2,0,191141.28,179937.46,2698233152.55,2698221948.73,404075.45,392871.62,-1,-1,-1,-1,-1,-1,1
c95ae8e57a029ada44fa27c403e7da00,92310,0.06154,1500000,0.5,0.19025666666666666,0.9110313333333333,0.095128,0.455516,0.17333,0.08666533333333333,0,0,1,0,274875,3,1,106512.52,147372.46,758554816.92,758595676.86,123879.85,164739.8,-1,-1,-1,-1,-1,-1,0
edb01889d83f697384a1b3db6d155d94,124350,0.0829,1500000,0.5,0.757162,1.0,0.3785813333333333,0.5,0.757162,0.3785813333333333,0,0,1,0,1617510,2,0,215630.25,209283.96,4463281958.22,4463275611.93,436562.91,430216.63,-1,-1,-1,-1,-1,-1,1
