query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,68269,0.341345,200000,0.289804,0.11518,0.59864,0.03335205,0.176037,0.089117,0.0261785,0,1,0,1,6166.66,2,1,177.651,180.07,179.765,280.834,177.658,180.1,177.194,177.194,177.158,177.158,177.213,177.213,0
,86294,0.43147,200000,0.35132650000000004,0.147075,1.0,0.051506,0.35132650000000004,0.147075,0.051506,0,1,0,1,12650.0,3,0,178.19,180.517,181.299,446.929,178.225,180.596,177.599,177.599,177.557,177.557,177.643,177.643,0
,80187,0.400935,200000,0.3310965,0.183485,0.4986125,0.060557,0.16751349999999998,0.1295635,0.0435075,0,1,0,1,10536.2,2,2,178.155,180.387,181.902,452.708,178.184,180.454,177.466,177.466,177.422,177.422,177.518,177.518,0
,82458,0.41229,200000,0.33869150000000003,0.150615,1.0,0.050849,0.33869150000000003,0.150615,0.050849,0,1,0,1,12378.8,2,0,178.113,180.431,181.211,447.377,178.15,180.513,177.514,177.514,177.472,177.472,177.557,177.557,0
,37620,0.1881,200000,0.171694,0.33528,1.0,0.057611499999999996,0.171694,0.33528,0.057611499999999996,0,1,0,1,12621.9,2,0,177.665,179.48,182.368,783.638,177.782,179.717,176.52,176.52,176.478,176.478,176.565,176.565,0
,47955,0.239775,200000,0.21354,0.84039,0.59864,0.17949150000000003,0.129712,0.54879,0.1189075,0,1,0,1,26704.1,1,1,179.49,179.93,192.813,3335.06,179.702,180.357,176.778,176.778,176.707,176.707,176.936,176.936,0
,68756,0.34378,200000,0.2915395,0.08219,1.0,0.02401335,0.2915395,0.08219,0.02401335,0,1,0,1,5663.92,3,0,177.558,180.063,179.047,247.123,177.559,180.085,177.203,177.203,177.168,177.168,177.211,177.211,0
,49867,0.249335,200000,0.22105,0.38484,0.4195775,0.08526399999999999,0.09411,0.24927950000000001,0.0559645,0,1,0,1,12627.4,1,2,178.086,179.769,184.265,864.969,178.168,179.934,176.799,176.799,176.75,176.75,176.869,176.869,0
,58147,0.290735,200000,0.252763,0.048135,0.878485,0.0121649,0.22531,0.045115749999999996,0.011592100000000001,0,1,0,1,2668.78,1,1,177.201,179.802,177.963,198.365,177.194,179.801,176.965,176.965,176.933,176.933,176.968,176.968,4
,20007,0.100035,200000,0.095265,0.69143,1.0,0.0659575,0.095265,0.69143,0.0659575,0,1,0,1,13853.1,1,0,178.332,179.177,186.206,1544.96,178.604,179.732,176.131,176.131,176.088,176.088,176.18,176.18,0
,46523,0.232615,200000,0.20786900000000003,0.89631,0.20079400000000003,0.186314,0.0423518,0.19009900000000002,0.0400946,0,1,0,1,8973.71,1,1,179.477,179.764,193.611,1313.17,179.564,179.911,176.748,176.748,176.676,176.676,176.912,176.912,0
,61354,0.30677,200000,0.26470099999999996,0.59918,0.439825,0.158513,0.118132,0.34045400000000003,0.0914455,0,1,0,1,21198.4,2,2,179.052,180.15,189.774,1965.87,179.175,180.395,177.072,177.072,177.004,177.004,177.214,177.214,0
,63361,0.316805,200000,0.27207549999999997,0.08558,0.1407985,0.023337600000000003,0.03887055,0.0321123,0.008862,0,1,0,1,2063.94,3,1,177.427,179.926,178.925,205.606,177.406,179.905,177.083,177.083,177.049,177.049,177.09,177.09,4
,12373,0.061865,200000,0.0600185,0.443165,1.0,0.02661695,0.0600185,0.443165,0.02661695,0,1,0,1,5487.41,1,0,177.37,178.892,181.707,525.946,177.529,179.217,175.953,175.953,175.919,175.919,175.961,175.961,0
,82992,0.41496,200000,0.34046449999999995,0.309575,1.0,0.105477,0.34046449999999995,0.309575,0.105477,0,1,0,1,25706.7,1,0,178.691,180.576,185.181,1316.76,178.792,180.785,177.539,177.539,177.484,177.484,177.636,177.636,0
,3919,0.019595,200000,0.019407249999999997,0.12334,0.517695,0.0023864349999999997,0.0101946,0.0887445,0.001745445,0,1,0,1,352.466,1,2,176.197,178.593,176.758,185.02,176.217,178.637,175.76,175.76,175.732,175.731,175.761,175.761,0
,37238,0.18619,200000,0.17010599999999998,0.45949,0.280634,0.07828,0.0484386,0.1902295,0.03286095,0,1,0,1,7194.84,2,1,177.973,179.452,184.495,645.769,178.032,179.571,176.516,176.516,176.47,176.47,176.579,176.579,0
,50625,0.253125,200000,0.2240075,0.06887,0.260789,0.0154514,0.059276499999999996,0.0351702,0.0079968,0,1,0,1,1807.73,2,2,177.09,179.635,178.142,197.766,177.076,179.621,176.799,176.799,176.767,176.767,176.803,176.803,4
,90929,0.454645,200000,0.36627449999999995,0.500305,0.0202764,0.183394,0.0075358000000000005,0.01434195,0.00533245,0,1,0,1,1324.19,2,2,179.207,180.575,190.664,278.403,179.356,180.724,177.736,177.736,177.66,177.66,177.917,177.917,0
,75752,0.37876,200000,0.3160155,0.37344,1.0,0.1181965,0.3160155,0.37344,0.1181965,0,1,0,1,28337.0,2,0,178.738,180.449,186.174,1690.65,178.865,180.713,177.382,177.382,177.323,177.323,177.489,177.489,0
