query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,68269,0.341345,200000,0.0989385,0.11518,0.59864,0.01051575,0.0592285,0.089117,0.00813625,0,1,0,1,5502.21,2,1,17.3756,19.7941,19.365,111.032,17.3815,19.8236,16.9249,16.9249,16.891,16.891,16.9397,16.9397,0
,86294,0.43147,200000,0.1010395,0.147075,1.0,0.01408105,0.1010395,0.147075,0.01408105,0,1,0,1,11762.0,3,0,17.8057,20.1334,20.7705,267.862,17.8415,20.213,17.2242,17.2242,17.1868,17.1868,17.2654,17.2654,0
,80187,0.400935,200000,0.1005305,0.183485,0.4986125,0.017390350000000002,0.050126000000000004,0.1295635,0.012279749999999999,0,1,0,1,9570.53,2,2,17.8048,20.0369,21.3706,271.744,17.8349,20.1046,17.1253,17.1253,17.0866,17.0866,17.1734,17.1734,0
,82458,0.41229,200000,0.10073850000000001,0.150615,1.0,0.014359849999999999,0.10073850000000001,0.150615,0.014359849999999999,0,1,0,1,11494.3,2,0,17.7514,20.0694,20.7047,267.961,17.7889,20.1521,17.161,17.161,17.1239,17.1239,17.2012,17.2012,0
,37620,0.1881,200000,0.0860945,0.33528,1.0,0.0282387,0.0860945,0.33528,0.0282387,0,1,0,1,12070.7,2,0,17.5634,19.3784,22.1446,597.161,17.681,19.6155,16.4258,16.4258,16.3882,16.3882,16.4681,16.4681,0
,47955,0.239775,200000,0.0926725,0.84039,0.59864,0.08007550000000001,0.055478,0.54879,0.052291000000000004,0,1,0,1,26440.1,1,1,19.3207,19.7606,32.6276,3188.91,19.5327,20.1876,16.6168,16.6168,16.5577,16.5577,16.7754,16.7754,0
,68756,0.34378,200000,0.099024,0.08219,1.0,0.00730525,0.099024,0.08219,0.00730525,0,1,0,1,4969.84,3,0,17.2805,19.7852,18.6537,78.656,17.2828,19.8088,16.9313,16.9313,16.899,16.899,16.9372,16.9372,0
,49867,0.249335,200000,0.0935655,0.38484,0.4195775,0.0351431,0.0392579,0.24927950000000001,0.0227639,0,1,0,1,11855.1,1,2,17.9098,19.5925,23.9174,671.463,17.9917,19.7579,16.6314,16.6314,16.5891,16.5891,16.6981,16.6981,0
,58147,0.290735,200000,0.09659100000000001,0.048135,0.878485,0.003564565,0.0848535,0.045115749999999996,0.0033409800000000003,0,1,0,1,1979.59,1,1,16.9865,19.5878,17.6305,33.6604,16.9822,19.5892,16.7551,16.7551,16.725,16.725,16.7577,16.7577,4
,20007,0.100035,200000,0.0636215,0.69143,1.0,0.0451904,0.0636215,0.69143,0.0451904,0,1,0,1,13946.0,1,0,18.3353,19.1807,26.0461,1394.13,18.6071,19.735,16.1382,16.1382,16.0992,16.0992,16.1878,16.1878,0
,46523,0.232615,200000,0.091947,0.89631,0.20079400000000003,0.084317,0.0184624,0.19009900000000002,0.017882850000000002,0,1,0,1,8842.22,1,1,19.3199,19.607,33.4017,1152.79,19.4066,19.7537,16.5942,16.5942,16.5342,16.5342,16.758,16.758,0
,61354,0.30677,200000,0.0974665,0.59918,0.439825,0.058892,0.0428683,0.34045400000000003,0.033462399999999996,0,1,0,1,20580.1,2,2,18.8037,19.9019,29.4211,1780.09,18.9269,20.1467,16.8334,16.8334,16.7776,16.7776,16.9739,16.9739,0
,63361,0.316805,200000,0.0979475,0.08558,0.1407985,0.007556599999999999,0.0137909,0.0321123,0.002835475,0,1,0,1,1800.22,3,1,17.1831,19.6822,18.5733,42.3865,17.163,19.6621,16.8426,16.8426,16.8105,16.8105,16.8483,16.8483,4
,12373,0.061865,200000,0.0462104,0.443165,1.0,0.0202962,0.0462104,0.443165,0.0202962,0,1,0,1,5353.56,1,0,17.4206,18.9424,21.5121,357.536,17.5797,19.2683,16.0064,16.0064,15.9739,15.9739,16.0135,16.0135,0
,82992,0.41496,200000,0.10078450000000001,0.309575,1.0,0.0305367,0.10078450000000001,0.309575,0.0305367,0,1,0,1,24569.6,1,0,18.3169,20.2019,24.6207,1106.15,18.4177,20.4112,17.1796,17.1796,17.1326,17.1326,17.2717,17.2717,0
,3919,0.019595,200000,0.01777505,0.12334,0.517695,0.002018675,0.00920205,0.0887445,0.0014524549999999998,0,1,0,1,318.385,1,2,16.3001,18.6963,16.768,24.6218,16.3205,18.7401,15.864,15.864,15.8362,15.8352,15.865,15.865,0
,37238,0.18619,200000,0.08578200000000001,0.45949,0.280634,0.03956485,0.02407335,0.1902295,0.0163799,0,1,0,1,6956.32,2,1,17.8753,19.3545,24.3005,476.524,17.9347,19.474,16.4231,16.4231,16.3819,16.3819,16.4838,16.4838,0
,50625,0.253125,200000,0.0938965,0.06887,0.260789,0.005496699999999999,0.024487199999999997,0.0351702,0.0028070350000000003,0,1,0,1,1486.76,2,2,16.9201,19.4647,17.8703,34.6284,16.9078,19.4524,16.6322,16.6322,16.6015,16.6015,16.6358,16.6358,4
,90929,0.454645,200000,0.101332,0.500305,0.0202764,0.050823,0.02006295,0.01434195,0.014193699999999998,0,1,0,1,12439.2,2,2,18.8201,20.1875,30.0978,115.877,18.9564,20.3237,17.3249,17.3249,17.2628,17.2628,17.501,17.501,0
,75752,0.37876,200000,0.10004700000000001,0.37344,1.0,0.03645225,0.10004700000000001,0.37344,0.03645225,0,1,0,1,26957.9,2,0,18.4018,20.1133,25.6107,1456.83,18.5296,20.3772,17.0627,17.0627,17.0138,17.0138,17.1645,17.1645,0
,2419,0.012095,200000,0.011381400000000002,0.692145,0.280634,0.0079779,0.003194,0.23347400000000001,0.002691095,0,1,0,1,569.391,3,2,17.8659,18.7099,19.8083,75.2659,17.9458,18.8669,15.8404,15.8404,15.8106,15.8106,15.8426,15.8426,0
,14255,0.071275,200000,0.0511105,0.81463,0.439825,0.042602,0.02247965,0.3969725,0.020760149999999998,0,1,0,1,5696.19,1,2,18.487,18.997,26.6829,681.313,18.6364,19.2926,16.0421,16.0421,16.0048,16.0048,16.083,16.083,0
,31786,0.15893,200000,0.0806335,0.062855,0.12091049999999999,0.0041616199999999996,0.00974945,0.021856050000000002,0.0014470849999999999,0,1,0,1,561.887,3,2,16.5837,19.1447,17.2758,24.6338,16.5667,19.1276,16.3222,16.3222,16.2924,16.2924,16.3243,16.3243,4
,92172,0.46086,200000,0.101399,0.50694,0.22119950000000002,0.0514605,0.02242945,0.1574935,0.0159875,0,1,0,1,14192.4,3,2,18.993,20.3425,30.3781,1049.86,19.1003,20.4975,17.3462,17.3462,17.2832,17.2832,17.5271,17.5271,0
,92649,0.463245,200000,0.101424,0.54625,0.3797295,0.055595,0.0385136,0.280653,0.02856365,0,1,0,1,25485.7,2,2,19.2318,20.4739,31.4752,2008.49,19.3335,20.6721,17.357,17.357,17.2911,17.2911,17.5549,17.5549,0
,18729,0.093645,200000,0.061131000000000005,0.0015,1.0,5.89215e-05,0.061131000000000005,0.0015,5.89215e-05,0,1,0,1,22.2893,1,0,15.8959,18.6201,16.1233,19.1534,16.1725,18.897,15.8425,15.8425,16.0782,16.0782,16.1074,16.1074,0
,50587,0.252935,200000,0.09388,0.70142,0.34037,0.0679805,0.031954050000000005,0.285063,0.0276278,0,1,0,1,14545.7,3,2,18.8789,19.6976,30.3283,1476.66,18.9823,19.8992,16.6564,16.6564,16.6009,16.6009,16.7951,16.7951,0
,70382,0.35191,200000,0.099295,0.65465,0.0813355,0.066912,0.0788615,0.06580899999999999,0.063812,0,1,0,1,44177.9,1,1,19.0237,19.9699,31.851,459.022,19.1337,20.0959,16.9891,16.9891,16.9257,16.9257,17.1729,17.1729,0
,42513,0.212565,200000,0.08962200000000001,0.53845,0.4787815,0.0482195,0.04290939999999999,0.35132599999999997,0.03146205,0,1,0,1,14590.9,1,2,18.2552,19.519,26.188,1140.98,18.3809,19.771,16.5138,16.5138,16.4684,16.4684,16.5968,16.5968,0
,17341,0.086705,200000,0.0582485,0.084205,0.59864,0.00439551,0.03487,0.065151,0.0034008949999999997,0,1,0,1,998.746,2,1,16.4139,18.9167,17.196,31.3136,16.4212,18.9398,16.0849,16.0849,16.0554,16.0554,16.0867,16.0867,0
,35490,0.17745,200000,0.084277,0.421915,1.0,0.03537585,0.084277,0.421915,0.03537585,0,1,0,1,14574.8,1,0,17.8004,19.3795,23.491,896.841,17.9544,19.6908,16.3927,16.3927,16.3532,16.3532,16.4447,16.4447,0
,38396,0.19198,200000,0.0867115,0.153565,0.83894,0.012572149999999999,0.0727455,0.140656,0.0115153,0,1,0,1,4993.03,2,1,16.9932,19.3067,19.0379,129.322,17.0208,19.3757,16.4335,16.4335,16.4009,16.4009,16.4409,16.4409,0
,34489,0.172445,200000,0.0833555,0.25976,0.61863,0.0204816,0.051566499999999994,0.2043095,0.0161094,0,1,0,1,6525.47,1,1,17.2488,19.273,20.6238,261.776,17.3068,19.3965,16.3715,16.3715,16.3368,16.3368,16.3933,16.3933,0
,15913,0.079565,200000,0.05507600000000001,0.405245,0.95929,0.02214125,0.052834,0.39691050000000005,0.0216859,0,1,0,1,6160.86,3,1,17.374,19.0008,21.4694,375.453,17.5126,19.2856,16.0652,16.0652,16.032,16.032,16.0761,16.0761,0
,64224,0.32112,200000,0.09814,0.384515,1.0,0.0368456,0.09814,0.384515,0.0368456,0,1,0,1,23550.9,3,0,18.2225,19.9036,24.9993,1312.21,18.3563,20.1781,16.8709,16.8709,16.8247,16.8247,16.9588,16.9588,0
,94276,0.47138,200000,0.10150350000000001,0.38686,1.0,0.038429200000000004,0.10150350000000001,0.38686,0.038429200000000004,0,1,0,1,34865.6,3,0,18.7987,20.4738,27.3368,1945.23,18.9304,20.7474,17.3726,17.3726,17.3178,17.3178,17.5073,17.5073,0
,55271,0.276355,200000,0.09567700000000001,0.10561,1.0,0.00921665,0.09567700000000001,0.10561,0.00921665,0,1,0,1,5216.11,3,0,17.13,19.5708,18.7368,98.744,17.1421,19.612,16.7102,16.7102,16.6778,16.6778,16.7168,16.7168,0
,89100,0.4455,200000,0.101225,0.640535,0.12091049999999999,0.06648899999999999,0.012239149999999999,0.096769,0.0100448,0,1,0,1,8635.78,1,2,19.2513,20.2362,33.6726,814.044,19.4264,20.4374,17.3044,17.3044,17.2328,17.2328,17.5354,17.5354,0
,15998,0.07999,200000,0.055271,0.50536,1.0,0.027787950000000002,0.055271,0.50536,0.027787950000000002,0,1,0,1,7906.93,1,0,17.6807,19.0329,22.8204,589.09,17.8679,19.415,16.0678,16.0678,16.0334,16.0334,16.0871,16.0871,0
,74499,0.372495,200000,0.0998895,0.12628,1.0,0.011840999999999999,0.0998895,0.12628,0.011840999999999999,0,1,0,1,8646.58,2,0,17.5299,19.9141,19.8402,176.473,17.5533,19.9738,17.0283,17.0283,16.9933,16.9933,17.0523,17.0523,0
,84918,0.42459,200000,0.1009385,0.59262,0.797655,0.0601125,0.080514,0.529275,0.0536875,0,1,0,1,44108.5,2,1,19.3266,20.4427,31.8691,3748.75,19.5224,20.8445,17.23,17.23,17.1642,17.1642,17.427,17.427,0
,45354,0.22677,200000,0.0913155,0.43291,0.0813355,0.039315050000000004,0.07252449999999999,0.0535155,0.004860054999999999,0,1,0,1,2359.38,3,2,17.8753,19.4269,24.4993,167.068,17.91,19.4739,16.5579,16.5579,16.5151,16.5151,16.6278,16.6278,0
,82120,0.4106,200000,0.10070950000000001,0.130065,1.0,0.0123595,0.10070950000000001,0.130065,0.0123595,0,1,0,1,9864.22,2,0,17.6744,20.0483,20.204,203.942,17.7031,20.1146,17.1543,17.1543,17.1183,17.1183,17.1873,17.1873,0
,71714,0.35857,200000,0.099501,0.026035,1.0,0.00169133,0.099501,0.026035,0.00169133,0,1,0,1,1206.88,2,0,17.1386,19.7959,17.4559,24.614,17.1288,19.7807,16.977,16.977,16.9476,16.9476,16.9787,16.9787,4
,47395,0.236975,200000,0.092395,0.68293,0.65851,0.065047,0.060843,0.54419,0.0518325,0,1,0,1,25981.0,2,2,18.8443,19.7136,29.5714,2550.42,19.0501,20.1323,16.6016,16.6016,16.5485,16.5485,16.7269,16.7269,0
,26814,0.13407,200000,0.0746005,0.542475,1.0,0.04039885,0.0746005,0.542475,0.04039885,0,1,0,1,14227.6,2,0,18.0104,19.2614,24.6154,1120.13,18.2172,19.6802,16.2501,16.2501,16.2109,16.2109,16.3008,16.3008,0
,68956,0.34478,200000,0.09905850000000001,0.969975,1.0,0.097536,0.09905850000000001,0.969975,0.097536,0,1,0,1,66750.4,1,0,20.3167,20.4032,38.6754,9249.48,20.7002,21.2068,16.9812,16.9812,16.9023,16.9023,17.2546,17.2546,0
