query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
d98968ea37b0752fe425e9066e5c014b,68269,0.341345,200000,0.5,0.115575,0.594665,0.05779,0.29733,0.06873,0.034365,0,1,0,1,4692,2,1,1647121.98,1653589.2,1694489.15,15729533.92,1664344.22,1671666.89,-1,-1,-1,-1,-1,-1,0
078b8ea97083acd5be2af1073ba7e444,86294,0.43147,200000,0.5,0.149395,1.0,0.0747,0.5,0.149395,0.0747,0,1,0,1,12892,3,0,1658100.21,1664302.52,1703276.34,90725327.59,1670363.09,1680753.82,-1,-1,-1,-1,-1,-1,0
4bf9b976d5746f6175f73814ffb693e3,80187,0.400935,200000,0.5,0.185145,0.494035,0.09257,0.24702,0.09147,0.045735,0,1,0,1,7335,2,2,1648563.27,1654723.69,1700499.64,23658281.36,1668881.79,1676219.51,-1,-1,-1,-1,-1,-1,0
9588b14f8ad4534814c59c970a82c15c,82458,0.41229,200000,0.5,0.153045,1.0,0.07652,0.5,0.153045,0.07652,0,1,0,1,12620,2,0,1657553.14,1663285.51,1701200.14,88822531.83,1669146.85,1679186.92,-1,-1,-1,-1,-1,-1,0
66d0a98e56b6f5a1f1e7a34fb4c2fc75,37620,0.1881,200000,0.5,0.337285,1.0,0.16864,0.5,0.337285,0.16864,0,1,0,1,12689,2,0,1654945.39,1658733.04,1679453.71,89300625.6,1657465.53,1671370.28,-1,-1,-1,-1,-1,-1,0
4b089c81fc05d703eb62e721043bd152,47955,0.239775,200000,0.5,0.83916,0.594665,0.41958,0.29733,0.49902,0.24951,0,1,0,1,23931,1,1,1663262.59,1662001.79,1684466.19,166955762.91,1665959.11,1679886.58,-1,-1,-1,-1,-1,-1,1
02592076f2d19bbcde55df4d631e0565,68756,0.34378,200000,0.5,0.08191,1.0,0.040955,0.5,0.08191,0.040955,0,1,0,1,5632,3,0,1646815.42,1653654.07,1694726.56,18548587.98,1664148.48,1672041.15,-1,-1,-1,-1,-1,-1,0
79035680ba1dbf5972adf2dd14e07b5a,49867,0.249335,200000,0.5,0.38567,0.415635,0.192835,0.20782,0.1603,0.08015,0,1,0,1,7994,1,2,1655562.94,1659124.05,1685518.17,56900061.81,1661730.29,1669909.6,-1,-1,-1,-1,-1,-1,0
3b32b635497d7465810922f732af7798,58147,0.290735,200000,0.5,0.04779,0.8776,0.023895,0.4388,0.04194,0.02097,0,1,0,1,2439,1,1,1645843.32,1652531.55,1689409.31,8968260.77,1660463.52,1667629.56,-1,-1,-1,-1,-1,-1,0
db1a819336c5fd21bb086cd5760d1a01,20007,0.100035,200000,0.5,0.68875,1.0,0.344375,0.5,0.68875,0.344375,0,1,0,1,13780,1,0,662973.87,662975.13,674502.51,95832349.56,659294.51,680706.49,-1,-1,-1,-1,-1,-1,4
1d88140aca036011f3e81e6b500ab1cd,46523,0.232615,200000,0.5,0.89515,0.1977,0.447575,0.09885,0.17697,0.088485,0,1,0,1,8233,1,1,1660313.81,1658317.46,1683771.67,58545220.65,1665783.54,1668925.72,-1,-1,-1,-1,-1,-1,1
c6daeb82af29a38c4be1d1f9e7fdb74b,61354,0.30677,200000,0.5,0.59821,0.435235,0.299105,0.21762,0.26036,0.13018,0,1,0,1,15974,2,2,1660828.98,1662389.27,1691271.47,112034205.06,1667950.85,1677185.12,-1,-1,-1,-1,-1,-1,0
f35a9980af2dd7c2a4895679087b7ab1,63361,0.316805,200000,0.5,0.085475,0.1401,0.04274,0.07005,0.011975,0.00599,0,1,0,1,759,3,1,1646478.91,1652587.15,1692254.9,3928561.93,1662495.49,1668665.27,-1,-1,-1,-1,-1,-1,0
e036145ecf2d7d5685faede39b26f081,12373,0.061865,200000,0.5,0.444075,1.0,0.22204,0.5,0.444075,0.22204,0,1,0,1,5495,1,0,636159.86,638468.04,650015.63,38583573.47,633634.59,649499.31,-1,-1,-1,-1,-1,-1,4
6e0d6fc97e72b7590fe38d38f3d4b585,82992,0.41496,200000,0.5,0.311415,1.0,0.15571,0.5,0.311415,0.15571,0,1,0,1,25845,1,0,1660736.94,1664628.38,1701251.65,180189020.92,1670995.89,1684066.2,-1,-1,-1,-1,-1,-1,0
1d2e1144c3399b1f73ad51e764b47c7f,3919,0.019595,200000,0.5,0.123895,0.515335,0.06195,0.25767,0.063845,0.03192,0,1,0,1,250,1,2,577365.89,583624.85,590407.0,1334105.63,577483.9,584638.74,-1,-1,-1,-1,-1,-1,0
eb972c14944c57e4c2963ce286b5a441,37238,0.18619,200000,0.5,0.460545,0.276935,0.23027,0.13847,0.12754,0.06377,0,1,0,1,4749,2,1,1654230.1,1656937.61,1679361.54,15899862.96,1658668.65,1663217.56,-1,-1,-1,-1,-1,-1,0
ee08f7e886b527cb3933f9a0f8062b3d,50625,0.253125,200000,0.5,0.06844,0.257635,0.03422,0.12882,0.01763,0.008815,0,1,0,1,893,2,2,1645723.16,1652126.69,1686014.26,4329448.91,1658424.79,1664979.0,-1,-1,-1,-1,-1,-1,0
8a28af002a9e9583c122b5fd044e8bad,90929,0.454645,200000,0.5,0.502045,0.0188,0.25102,0.0094,0.00944,0.00472,0,1,0,1,858,2,2,1652421.43,1653806.12,1705763.22,4228546.96,1675656.2,1677037.48,-1,-1,-1,-1,-1,-1,0
3b2fd87292d0e43942905594f6d6ab0f,75752,0.37876,200000,0.5,0.374765,1.0,0.18738,0.5,0.374765,0.18738,0,1,0,1,28389,2,0,1661163.71,1664763.34,1697947.73,197721642.69,1669637.8,1684435.92,-1,-1,-1,-1,-1,-1,0
7f2e4fe31dff009e0f18bdecf48ea4d0,2419,0.012095,200000,0.5,0.689435,0.276935,0.34472,0.13847,0.190925,0.09546,0,1,0,1,462,3,2,565254.81,565718.84,565665.39,2641787.73,563289.28,569358.44,-1,-1,-1,-1,-1,-1,4
6d024e460d5c292cf0f34cac95b4da3b,14255,0.071275,200000,0.5,0.811505,0.435235,0.40575,0.21762,0.353195,0.1766,0,1,0,1,5035,1,2,646035.51,644926.7,657124.39,35416246.68,644682.36,654238.73,-1,-1,-1,-1,-1,-1,4
6054cc5af6be36a963a8991d5159a66f,31786,0.15893,200000,0.5,0.06217,0.118965,0.031085,0.05948,0.007395,0.0037,0,1,0,1,235,3,2,1644809.2,1651226.85,1676862.62,2356262.92,1652684.72,1659145.84,-1,-1,-1,-1,-1,-1,0
2226db91332c9ee5b6a92de1613fefe7,92172,0.46086,200000,0.5,0.50839,0.217135,0.254195,0.10857,0.11039,0.055195,0,1,0,1,10175,3,2,1653057.81,1655853.69,1706602.72,32179786.76,1676511.71,1680750.31,-1,-1,-1,-1,-1,-1,0
85f379cfe03658477a63139c1371fd67,92649,0.463245,200000,0.5,0.5448,0.375335,0.2724,0.18767,0.20448,0.10224,0,1,0,1,18945,2,2,1664118.42,1666344.68,1706606.02,132515906.39,1676950.25,1685016.38,-1,-1,-1,-1,-1,-1,0
45058cfb3c48cd71a37d36a6b88e7549,18729,0.093645,200000,0.5,0.001355,1.0,0.00068,0.5,0.001355,0.00068,0,1,0,1,25,1,0,644266.33,650435.25,671028.38,726495.44,648839.95,654999.18,-1,-1,-1,-1,-1,-1,0
