query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.38214,800000,0.79624625,1,1.0,0.79624625,0.79624625,1.0,0.79624625,0,0,0,0,1240790.0,0,0,inf,127.447,inf,174416.0,inf,202.618,inf,107.474,inf,182.412,inf,183.993,1
,152316,0.190395,800000,0.5426725,1,0.412885,0.5426725,0.22406125,0.412885,0.22406125,0,0,0,0,255246.0,0,1,inf,122.625,inf,36040.3,inf,193.858,inf,107.419,inf,179.016,inf,179.765,1
,374565,0.46820625,800000,0.85925625,1,1.0,0.85925625,0.85925625,1.0,0.85925625,0,0,0,0,1520240.0,0,0,inf,129.24,inf,213655.0,inf,205.008,inf,107.499,inf,183.936,inf,185.901,1
,170585,0.21323125,800000,0.58419125,1,0.74125875,0.58419125,0.43303625,0.74125875,0.43303625,0,0,0,0,513211.0,0,2,inf,123.983,inf,72257.4,inf,196.383,inf,111.168,inf,179.421,inf,180.266,1
,370776,0.46347,800000,0.856345,1,1.0,0.856345,0.856345,1.0,0.856345,0,0,0,0,1504860.0,0,0,inf,129.141,inf,211496.0,inf,204.877,inf,107.498,inf,183.852,inf,185.795,1
,363346,0.4541825,800000,0.850465,1,0.37791625,0.850465,0.32140375,0.37791625,0.32140375,0,0,0,0,557315.0,0,1,inf,127.131,inf,78472.5,inf,200.056,inf,107.495,inf,183.687,inf,185.589,1
,329844,0.412305,800000,0.82093375,1,0.79410625,0.82093375,0.65190875,0.79410625,0.65190875,0,0,0,0,1063100.0,0,1,inf,127.538,inf,149473.0,inf,201.989,inf,107.483,inf,182.946,inf,184.661,1
,395088,0.49386,800000,0.8740625,1,0.1719275,0.8740625,0.150275,0.1719275,0.150275,0,0,0,0,275692.0,0,2,inf,127.161,inf,38940.3,inf,199.515,inf,107.507,inf,184.39,inf,186.47,1
,394014,0.4925175,800000,0.87332625,1,1.0,0.87332625,0.87332625,1.0,0.87332625,0,0,0,0,1599180.0,0,0,inf,129.746,inf,224739.0,inf,205.684,inf,107.506,inf,184.366,inf,186.44,1
,183562,0.2294525,800000,0.6114425,1,1.0,0.6114425,0.6114425,1.0,0.6114425,0,0,0,0,745021.0,0,0,inf,124.684,inf,104801.0,inf,198.393,inf,111.455,inf,179.708,inf,180.623,1
