query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,199341,0.24917625,800000,0.996705,1,1.0,0.996705,0.996705,1.0,0.996705,0,0,1,0,797364.0,0,0,inf,19.6483,inf,113621.0,inf,25.979,inf,6.50143,inf,7.31101,inf,8.31073,1
,176964,0.221205,800000,0.88482,1,0.412885,0.88482,0.36532875,0.412885,0.36532875,0,0,1,0,292263.0,0,1,inf,17.9122,inf,41669.2,inf,21.8568,inf,2.90504,inf,6.9037,inf,7.78352,1
,112421,0.14052625,800000,0.562105,1,1.0,0.562105,0.562105,1.0,0.562105,0,0,1,0,449684.0,0,0,inf,17.4843,inf,64085.2,inf,23.4122,inf,4.91926,inf,5.72889,inf,6.26929,1
,170585,0.21323125,800000,0.852925,1,0.74125875,0.852925,0.63223875,0.74125875,0.63223875,0,0,1,0,505791.0,0,2,inf,18.6603,inf,72084.6,inf,23.6069,inf,5.978,inf,6.78759,inf,7.63342,1
,108632,0.13579,800000,0.54316,1,1.0,0.54316,0.54316,1.0,0.54316,0,0,1,0,434528.0,0,0,inf,17.3899,inf,61925.8,inf,23.3007,inf,4.85029,inf,5.65993,inf,6.18076,1
,101202,0.1265025,800000,0.50601,1,0.37791625,0.50601,0.19122875,0.37791625,0.19122875,0,0,1,0,152983.0,0,1,inf,16.5367,inf,21820.5,inf,19.7003,inf,2.87909,inf,5.52469,inf,6.0073,1
,137994,0.1724925,800000,0.68997,1,1.0,0.68997,0.68997,1.0,0.68997,0,0,1,0,551976.0,0,0,inf,18.121,inf,78659.3,inf,24.1654,inf,5.38476,inf,6.19437,inf,6.86796,1
,168692,0.210865,800000,0.84346,1,0.24060625,0.84346,0.2029425,0.24060625,0.2029425,0,0,1,0,162354.0,0,2,inf,17.5237,inf,23163.2,inf,20.6661,inf,2.90221,inf,6.75314,inf,7.58889,1
,133569,0.16696125,800000,0.667845,1,1.0,0.667845,0.667845,1.0,0.667845,0,0,1,0,534276.0,0,0,inf,18.0108,inf,76137.5,inf,24.0349,inf,5.30421,inf,6.11383,inf,6.76423,1
,31922,0.0399025,800000,0.15961,1,0.13700375,0.15961,0.021867125,0.13700375,0.021867125,0,0,1,0,17493.7,0,2,inf,16.4198,inf,2512.32,inf,16.7834,inf,4.28034,inf,4.26366,inf,4.40277,1
