query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.00341625,800000,0.27360875,1,1.0,0.27360875,0.27360875,1.0,0.27360875,0,0,1,0,218887.0,0,0,inf,12.3479,inf,1570.67,inf,17.0837,inf,0.261124,inf,0.291756,inf,0.29652,1
,4860,0.006075,800000,0.48654875,1,0.412885,0.48654875,0.2008725,0.412885,0.2008725,0,0,1,0,160698.0,0,1,inf,12.3402,inf,485.352,inf,14.2203,inf,0.299657,inf,0.330288,inf,0.363014,1
,6745,0.00843125,800000,0.67526125,1,0.74125875,0.67526125,0.50053,0.74125875,0.50053,0,0,1,0,400424.0,0,2,inf,12.7715,inf,2122.5,inf,16.1995,inf,0.333742,inf,0.364372,inf,0.403021,1
,2223,0.00277875,800000,0.22255125,1,0.012656500000000001,0.22255125,0.00281355,0.012656500000000001,0.00281355,0,0,1,0,2250.84,0,1,inf,12.0351,inf,13.4203,inf,12.1459,inf,0.251418,inf,0.282607,inf,0.311767,1
,538,0.0006725,800000,0.05386075,1,1.0,0.05386075,0.05386075,1.0,0.05386075,0,0,1,0,43088.6,0,0,inf,12.0346,inf,319.488,inf,16.7806,inf,0.221492,inf,0.252125,inf,0.25346,1
,6922,0.0086525,800000,0.69298125,1,1.0,0.69298125,0.69298125,1.0,0.69298125,0,0,1,0,554385.0,0,0,inf,13.0118,inf,3958.46,inf,17.6684,inf,0.336758,inf,0.367388,inf,0.384836,1
,4852,0.006065,800000,0.4857475,1,0.24060625,0.4857475,0.116814875,0.24060625,0.116814875,0,0,1,0,93451.9,0,2,inf,12.2227,inf,173.188,inf,13.3165,inf,0.299513,inf,0.330143,inf,0.361283,1
,2497,0.00312125,800000,0.24998125,1,1.0,0.24998125,0.24998125,1.0,0.24998125,0,0,1,0,199985.0,0,0,inf,12.3142,inf,1436.14,inf,17.0511,inf,0.256863,inf,0.287495,inf,0.291873,1
,756,0.000945,800000,0.07568525,1,0.13700375,0.07568525,0.010368612499999999,0.13700375,0.010368612499999999,0,0,1,0,8294.89,0,2,inf,12.2186,inf,21.4084,inf,12.6487,inf,0.284669,inf,0.256081,inf,0.285361,1
,3338,0.0041725,800000,0.33417625,1,1.0,0.33417625,0.33417625,1.0,0.33417625,0,0,1,0,267341.0,0,0,inf,12.5005,inf,1915.53,inf,17.1673,inf,0.272047,inf,0.302679,inf,0.308441,1
,6688,0.00836,800000,0.669555,1,1.0,0.669555,0.669555,1.0,0.669555,0,0,1,0,535644.0,0,0,inf,12.9784,inf,3825.07,inf,17.6352,inf,0.332533,inf,0.363163,inf,0.379329,1
,8344,0.01043,800000,0.83534125,1,0.381875,0.83534125,0.31894625,0.381875,0.31894625,0,0,1,0,255157.0,0,2,inf,12.5479,inf,708.85,inf,14.279,inf,0.362655,inf,0.393284,inf,0.428327,1
,8995,0.01124375,800000,0.900515,1,1.0,0.900515,0.900515,1.0,0.900515,0,0,1,0,720412.0,0,0,inf,13.3076,inf,5140.09,inf,17.9652,inf,0.374187,inf,0.404815,inf,0.435986,1
,7222,0.0090275,800000,0.723015,1,0.108290625,0.723015,0.078265125,0.108290625,0.078265125,0,0,1,0,62612.1,0,2,inf,12.4372,inf,60.3367,inf,12.7215,inf,0.402136,inf,0.372997,inf,0.403397,1
,1642,0.0020525,800000,0.164385,1,0.5026625,0.164385,0.08263325,0.5026625,0.08263325,0,0,1,0,66106.6,0,2,inf,12.1081,inf,249.259,inf,14.4474,inf,0.241469,inf,0.272101,inf,0.302617,1
,8623,0.01077875,800000,0.8632725,1,1.0,0.8632725,0.8632725,1.0,0.8632725,0,0,1,0,690618.0,0,0,inf,13.2545,inf,4928.05,inf,17.9117,inf,0.36747,inf,0.398099,inf,0.426492,1
,2660,0.003325,800000,0.2663,1,1.0,0.2663,0.2663,1.0,0.2663,0,0,1,0,213040.0,0,0,inf,12.3375,inf,1529.06,inf,17.0736,inf,0.259806,inf,0.290438,inf,0.295082,1
,2252,0.002815,800000,0.22545375,1,0.289105,0.22545375,0.0651485,0.289105,0.0651485,0,0,1,0,52118.8,0,2,inf,12.0958,inf,120.632,inf,13.4305,inf,0.252499,inf,0.283131,inf,0.313338,1
,5252,0.006565,800000,0.5257925,1,1.0,0.5257925,0.5257925,1.0,0.5257925,0,0,1,0,420634.0,0,0,inf,12.7736,inf,3006.53,inf,17.4324,inf,0.306605,inf,0.337236,inf,0.346695,1
,9397,0.01174625,800000,0.94076,1,0.065307,0.94076,0.061443125,0.065307,0.061443125,0,0,1,0,49154.5,0,2,inf,12.4109,inf,35.8856,inf,12.5571,inf,0.441331,inf,0.412324,inf,0.442443,1
,7099,0.00887375,800000,0.71070125,1,0.12476362499999999,0.71070125,0.088672625,0.12476362499999999,0.088672625,0,0,1,0,70938.1,0,1,inf,12.4675,inf,76.4558,inf,12.8036,inf,0.400018,inf,0.370773,inf,0.4014,1
,9798,0.0122475,800000,0.980905,1,1.0,0.980905,0.980905,1.0,0.980905,0,0,1,0,784724.0,0,0,inf,13.4222,inf,5597.82,inf,18.0814,inf,0.388685,inf,0.419313,inf,0.456958,1
,7264,0.00908,800000,0.72722,1,0.15452125,0.72722,0.11235200000000001,0.15452125,0.11235200000000001,0,0,1,0,89881.6,0,2,inf,12.538,inf,112.774,inf,12.9663,inf,0.403205,inf,0.373756,inf,0.404826,1
,3763,0.00470375,800000,0.376725,1,0.102232875,0.376725,0.03850025,0.102232875,0.03850025,0,0,1,0,30800.2,0,2,inf,12.2966,inf,35.0774,inf,12.585,inf,0.339267,inf,0.310452,inf,0.340174,1
,1635,0.00204375,800000,0.163685,1,0.551905,0.163685,0.090356125,0.551905,0.090356125,0,0,1,0,72284.9,0,1,inf,12.1179,inf,298.011,inf,14.693,inf,0.241343,inf,0.271975,inf,0.302639,1
,8394,0.0104925,800000,0.8403475,1,0.653315,0.8403475,0.5490075,0.653315,0.5490075,0,0,1,0,439206.0,0,2,inf,12.8552,inf,2059.3,inf,15.8592,inf,0.363559,inf,0.394188,inf,0.43489,1
,6168,0.00771,800000,0.61749625,1,0.37574125,0.61749625,0.23197375,0.37574125,0.23197375,0,0,1,0,185579.0,0,1,inf,12.3998,inf,509.933,inf,14.1061,inf,0.323309,inf,0.353939,inf,0.387267,1
,7743,0.00967875,800000,0.77517375,1,0.2699775,0.77517375,0.20916,0.2699775,0.20916,0,0,1,0,167328.0,0,2,inf,12.3921,inf,333.366,inf,13.6146,inf,0.351788,inf,0.382417,inf,0.415282,1
,4306,0.0053825,800000,0.43108625,1,0.28099,0.43108625,0.121059,0.28099,0.121059,0,0,1,0,96847.2,0,2,inf,12.2211,inf,206.233,inf,13.4973,inf,0.28964,inf,0.320271,inf,0.351483,1
,4183,0.00522875,800000,0.4187725,1,0.46977375,0.4187725,0.1967225,0.46977375,0.1967225,0,0,1,0,157378.0,0,2,inf,12.327,inf,539.608,inf,14.4733,inf,0.287416,inf,0.318047,inf,0.350696,1
,1153,0.00144125,800000,0.11543012500000001,1,0.752055,0.11543012500000001,0.08680600000000001,0.752055,0.08680600000000001,0,0,1,0,69444.8,0,2,inf,12.1062,inf,384.309,inf,15.6536,inf,0.232627,inf,0.26326,inf,0.293852,1
,8830,0.0110375,800000,0.88399625,1,0.4003,0.88399625,0.35381625,0.4003,0.35381625,0,0,1,0,283053.0,0,2,inf,12.6014,inf,820.525,inf,14.4166,inf,0.371443,inf,0.402072,inf,0.437793,1
,3092,0.003865,800000,0.30954875,1,0.34265875,0.30954875,0.106031625,0.34265875,0.106031625,0,0,1,0,84825.3,0,2,inf,12.1623,inf,219.044,inf,13.7439,inf,0.267688,inf,0.29832,inf,0.329254,1
,8373,0.01046625,800000,0.838245,1,0.61639,0.838245,0.51672,0.61639,0.51672,0,0,1,0,413376.0,0,1,inf,12.8119,inf,1821.5,inf,15.6397,inf,0.36318,inf,0.393808,inf,0.432991,1
,8033,0.01004125,800000,0.80420625,1,0.48935875,0.80420625,0.3935375,0.48935875,0.3935375,0,0,1,0,314830.0,0,1,inf,12.643,inf,1107.9,inf,14.8732,inf,0.357032,inf,0.387661,inf,0.424154,1
,3534,0.0044175,800000,0.35379875,1,0.5073875,0.35379875,0.17952375,0.5073875,0.17952375,0,0,1,0,143619.0,0,1,inf,12.2966,inf,530.625,inf,14.6207,inf,0.27568,inf,0.306312,inf,0.338624,1
,9745,0.01218125,800000,0.9756,1,0.885435,0.9756,0.863955,0.885435,0.863955,0,0,1,0,691164.0,0,1,inf,13.2888,inf,4373.62,inf,17.4159,inf,0.387988,inf,0.418616,inf,0.478386,1
,26,3.25e-05,800000,0.0026029374999999998,1,1.0,0.0026029374999999998,0.0026029374999999998,1.0,0.0026029374999999998,0,0,1,0,2082.35,0,0,inf,11.9542,inf,27.6408,inf,16.71,inf,0.212248,inf,0.242881,inf,0.243536,1
,1914,0.0023925,800000,0.19161625,1,0.034454875,0.19161625,0.006609775,0.034454875,0.006609775,0,0,1,0,5287.82,0,1,inf,12.0459,inf,14.5234,inf,12.2294,inf,0.250816,inf,0.27702,inf,0.306239,1
,2722,0.0034025,800000,0.2725075,1,1.0,0.2725075,0.2725075,1.0,0.2725075,0,0,1,0,218006.0,0,0,inf,12.3463,inf,1564.4,inf,17.0822,inf,0.260925,inf,0.291557,inf,0.296303,1
,5628,0.007035,800000,0.563435,1,0.1277175,0.563435,0.071963,0.1277175,0.071963,0,0,1,0,57570.4,0,2,inf,12.4125,inf,65.9679,inf,12.7699,inf,0.373282,inf,0.344175,inf,0.374507,1
,1864,0.00233,800000,0.18661,1,1.0,0.18661,0.18661,1.0,0.18661,0,0,1,0,149288.0,0,0,inf,12.2238,inf,1075.33,inf,16.9637,inf,0.245434,inf,0.276066,inf,0.279427,1
,592,0.00074,800000,0.05926675,1,0.57539875,0.05926675,0.03410725,0.57539875,0.03410725,0,0,1,0,27285.8,0,2,inf,12.0292,inf,124.637,inf,14.7199,inf,0.222483,inf,0.253116,inf,0.282781,1
,3422,0.0042775,800000,0.34258625,1,0.15900125,0.34258625,0.054461375,0.15900125,0.054461375,0,0,1,0,43569.1,0,1,inf,12.3657,inf,62.7088,inf,12.8472,inf,0.333245,inf,0.304287,inf,0.334305,1
,8217,0.01027125,800000,0.8226275,1,0.38735,0.8226275,0.31859,0.38735,0.31859,0,0,1,0,254872.0,0,2,inf,12.5455,inf,717.875,inf,14.3021,inf,0.360359,inf,0.390988,inf,0.426022,1
,5847,0.00730875,800000,0.58536,1,0.62213125,0.58536,0.36418875,0.62213125,0.36418875,0,0,1,0,291351.0,0,1,inf,12.5768,inf,1302.86,inf,15.4381,inf,0.317504,inf,0.348134,inf,0.384055,1
,2776,0.00347,800000,0.27791375,1,1.0,0.27791375,0.27791375,1.0,0.27791375,0,0,1,0,222331.0,0,0,inf,12.354,inf,1595.18,inf,17.0897,inf,0.2619,inf,0.292532,inf,0.297366,1
,6357,0.00794625,800000,0.6364175,1,0.106774125,0.6364175,0.067927,0.106774125,0.067927,0,0,1,0,54341.6,0,2,inf,12.4013,inf,53.5708,inf,12.6869,inf,0.386411,inf,0.357356,inf,0.387578,1
,4052,0.005065,800000,0.4056575,1,0.55844875,0.4056575,0.22658,0.55844875,0.22658,0,0,1,0,181264.0,0,1,inf,12.3683,inf,735.271,inf,14.9321,inf,0.285047,inf,0.315678,inf,0.34891,1
,1199,0.00149875,800000,0.12003525,1,0.4351525,0.12003525,0.052227625,0.4351525,0.052227625,0,0,1,0,41782.1,0,1,inf,12.0617,inf,142.3,inf,14.0809,inf,0.233459,inf,0.264091,inf,0.294067,1
,808,0.00101,800000,0.08089112500000001,1,0.19384625,0.08089112500000001,0.015674874999999998,0.19384625,0.015674874999999998,0,0,1,0,12539.9,0,1,inf,12.0073,inf,30.4949,inf,12.9095,inf,0.226389,inf,0.257021,inf,0.286383,1
,3887,0.00485875,800000,0.38913875,1,0.0016147375,0.38913875,0.0006276475,0.0016147375,0.0006276475,0,0,1,0,502.118,0,2,inf,12.0351,inf,12.6825,inf,12.1325,inf,0.257625,inf,0.920279,inf,0.341842,1
