query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
20030aab4d7ac581bed0d6dd182926d7,2733,0.00341625,800000,0.5,1,1.0,0.5,0.5,1.0,0.5,0,0,1,0,218487,0,0,10000073172.93,73172.93,10049220507.64,49220507.64,10000227255.84,227255.84,-1,-1,-1,-1,-1,-1,1
b5c0d261e5e030f14c81a45a6930eab2,4860,0.006075,800000,0.5,1,0.41195375,0.5,0.2059775,0.41195375,0.2059775,0,0,1,0,160056,0,1,10000050819.11,50819.11,10036066332.34,36066332.34,10000086874.41,86874.41,-1,-1,-1,-1,-1,-1,1
106a69087bc4becc98a2345dc4bda3de,6745,0.00843125,800000,0.5,1,0.741985,0.5,0.3709925,0.741985,0.3709925,0,0,1,0,400095,0,2,10000070563.57,70563.57,10090115080.45,90115080.45,10000181805.03,181805.03,-1,-1,-1,-1,-1,-1,1
7f21803a0140c52bc4fe18222a81fb4e,2223,0.00277875,800000,0.5,1,0.011275,0.5,0.0056375,0.011275,0.0056375,0,0,1,0,2004,0,1,10000029673.21,24801.02,10000329292.84,324420.65,10000029290.79,24418.6,-1,-1,-1,-1,-1,-1,5
96593d0d2601be9d2208f07951a98fdd,538,0.0006725,800000,0.5,1,1.0,0.5,0.5,1.0,0.5,0,0,1,0,43010,0,0,10000069892.73,69892.73,10009710319.06,9710319.06,10000224281.55,224281.55,-1,-1,-1,-1,-1,-1,1
9d9edffbc302bc333f87d8975a39ddfe,6922,0.0086525,800000,0.5,1,1.0,0.5,0.5,1.0,0.5,0,0,1,0,553373,0,0,10000079254.99,79254.99,10124622687.35,124622687.35,10000232053.99,232053.99,-1,-1,-1,-1,-1,-1,1
0d1720fc69f1224aca128aec62730f3c,4852,0.006065,800000,0.5,1,0.24201875,0.5,0.12101,0.24201875,0.12101,0,0,1,0,93876,0,2,10000044877.75,44877.75,10021167567.46,21167567.46,10000064240.33,64240.33,-1,-1,-1,-1,-1,-1,1
06285660202ae7a696f26b5b53c9f15e,2497,0.00312125,800000,0.5,1,1.0,0.5,0.5,1.0,0.5,0,0,1,0,199620,0,0,10000072827.09,72827.09,10044972493.45,44972493.45,10000226941.19,226941.19,-1,-1,-1,-1,-1,-1,1
63c8a023e40a8a35dca90da4613803a7,756,0.000945,800000,0.5,1,0.14021,0.5,0.070105,0.14021,0.070105,0,0,1,0,8474,0,2,10000036901.46,36901.46,10001938328.36,1938328.36,10000048544.1,48544.1,-1,-1,-1,-1,-1,-1,1
789ee555ec79a2fa337ae2f5a6ad8b43,3338,0.0041725,800000,0.5,1,1.0,0.5,0.5,1.0,0.5,0,0,1,0,266853,0,0,10000074060.32,74060.32,10060110541.72,60110541.72,10000228060.81,228060.81,-1,-1,-1,-1,-1,-1,1
