query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.2733,10000,0.239063,0.514,0.1994,0.123031,0.0476736,0.142957,0.0342183,0,1,0,1,391.26,2,1,175.897,175.969,176.28,177.488,175.878,175.95,175.735,175.735,175.705,175.705,175.737,175.737,4
,4374,0.4374,10000,0.354114,0.3255,0.0393,0.11542899999999999,0.013918,0.022421700000000003,0.007951179999999999,0,1,0,1,98.246,3,2,175.9,176.0,176.201,176.321,175.883,175.984,175.772,175.772,175.742,175.742,175.773,175.773,4
,2223,0.2223,10000,0.199277,0.7102,0.4375,0.141759,0.0871917,0.368696,0.0735995,0,1,0,1,821.16,1,1,175.92,175.963,176.42,180.216,175.902,175.945,175.724,175.724,175.694,175.694,175.726,175.726,4
,2164,0.2164,10000,0.19454100000000002,0.5148,0.3626,0.100279,0.0705473,0.260164,0.0506777,0,1,0,1,563.802,1,1,175.885,175.957,176.221,178.081,175.867,175.94,175.722,175.722,175.693,175.693,175.724,175.724,4
,2497,0.2497,10000,0.22090500000000002,0.1708,0.6765,0.0378852,0.149456,0.140482,0.031160399999999998,0,1,0,1,352.435,3,2,175.836,175.959,175.904,176.381,175.82,175.943,175.729,175.729,175.7,175.7,175.73,175.73,4
,3338,0.3338,10000,0.283697,0.1263,0.0393,0.035979500000000005,0.0111503,0.0139667,0.0039787500000000005,0,1,0,1,46.8535,2,2,175.845,175.975,175.894,176.012,175.828,175.958,175.747,175.747,175.719,175.719,175.748,175.748,4
,2724,0.2724,10000,0.238379,0.1005,1.0,0.0239863,0.238379,0.1005,0.0239863,0,1,0,1,274.147,3,0,175.829,175.963,175.84,176.134,175.814,175.946,175.734,175.734,175.705,175.705,175.735,175.735,4
,2177,0.2177,10000,0.19558699999999998,0.2778,0.7161,0.0545187,0.140073,0.235082,0.046135199999999994,0,1,0,1,513.725,1,1,175.847,175.955,175.993,176.98,175.831,175.938,175.722,175.722,175.693,175.693,175.723,175.723,4
,3561,0.3561,10000,0.299478,0.8358,0.9167,0.25042,0.274557,0.8002319999999999,0.23979,0,1,0,1,2851.45,1,2,175.985,176.009,176.754,193.207,175.975,176.001,175.755,175.755,175.723,175.723,175.759,175.759,4
,4072,0.4072,10000,0.334337,0.1377,1.0,0.046255700000000004,0.334337,0.1377,0.046255700000000004,0,1,0,1,563.977,2,0,175.867,175.995,175.94,176.55,175.851,175.978,175.764,175.764,175.735,175.735,175.765,175.765,4
,2447,0.2447,10000,0.217002,0.7043,1.0,0.153084,0.217002,0.7043,0.153084,0,1,0,1,1726.54,2,0,175.93,175.974,176.445,184.74,175.922,175.965,175.729,175.729,175.699,175.699,175.731,175.731,4
,4871,0.4871,10000,0.385386,0.8928,1.0,0.34413499999999997,0.385386,0.8928,0.34413499999999997,0,1,0,1,4349.67,1,0,176.033,176.049,177.038,204.059,176.021,176.042,175.786,175.786,175.753,175.753,175.791,175.791,4
