query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.2733,10000,0.238806,0.514,0.1994,0.12322899999999999,0.0476716,0.142957,0.0343162,0,1,0,1,392.776,2,1,16.007,16.0795,16.3907,17.6024,15.9877,16.0603,15.8453,15.8453,15.8157,15.8157,15.8472,15.8472,4
,4374,0.4374,10000,0.353538,0.3255,0.0393,0.11558199999999999,0.0139097,0.022421700000000003,0.00796717,0,1,0,1,98.6325,3,2,16.0002,16.1004,16.3026,16.4234,15.9841,16.0845,15.8722,15.8722,15.8427,15.8427,15.8742,15.8742,4
,2223,0.2223,10000,0.199099,0.7102,0.4375,0.141374,0.0872043,0.368696,0.0734692,0,1,0,1,820.219,1,1,16.0326,16.0754,16.5323,20.3199,16.0147,16.0575,15.8371,15.8371,15.8074,15.8074,15.8391,15.8391,4
,2164,0.2164,10000,0.194372,0.5148,0.3626,0.100471,0.070559,0.260164,0.050838799999999996,0,1,0,1,566.058,1,1,15.998,16.0706,16.3356,18.2009,15.9805,16.053,15.8357,15.8357,15.8064,15.8064,15.8374,15.8374,4
,2497,0.2497,10000,0.22068600000000002,0.1708,0.6765,0.0379073,0.149463,0.140482,0.0312058,0,1,0,1,353.408,3,2,15.9479,16.0711,16.016,16.4938,15.9312,16.0545,15.8407,15.8407,15.8119,15.8119,15.8416,15.8416,4
,3338,0.3338,10000,0.28333200000000003,0.1263,0.0393,0.0357066,0.0111475,0.0139667,0.00395322,0,1,0,1,46.5827,2,2,15.9519,16.0818,16.0002,16.1186,15.9351,16.0654,15.8545,15.8545,15.8257,15.8257,15.8554,15.8554,4
,2724,0.2724,10000,0.238123,0.1005,1.0,0.024574600000000002,0.238123,0.1005,0.024574600000000002,0,1,0,1,282.292,3,0,15.9399,16.0733,15.9522,16.2513,15.9242,16.0568,15.8443,15.8443,15.8156,15.8156,15.8451,15.8451,4
,2177,0.2177,10000,0.195416,0.2778,0.7161,0.054571900000000007,0.140096,0.235082,0.046205,0,1,0,1,514.84,1,1,15.9605,16.0681,16.1064,17.0953,15.9441,16.0517,15.8356,15.8356,15.8066,15.8066,15.8367,15.8367,4
,3561,0.3561,10000,0.29907,0.8358,0.9167,0.250375,0.274467,0.8002319999999999,0.23999299999999998,0,1,0,1,2858.29,1,2,16.0888,16.113,16.8592,33.3361,16.0794,16.1048,15.8601,15.8601,15.8293,15.8293,15.8637,15.8637,4
,4072,0.4072,10000,0.333825,0.1377,1.0,0.0455774,0.333825,0.1377,0.0455774,0,1,0,1,555.142,2,0,15.9694,16.0977,16.0413,16.6435,15.9536,16.0806,15.8666,15.8666,15.8377,15.8377,15.8677,15.8677,4
