query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
fbf83fafb99452d1c3298d97e7157571,2733,0.2733,10000,0.5,0.514,0.1994,0.257,0.0997,0.1025,0.0512,0,1,0,1,280,2,1,560515.58,560620.35,562052.72,602616.93,560670.62,560823.34,-1,-1,-1,-1,-1,-1,0
a936b34117411b0d0eaeb4f45779f795,4374,0.4374,10000,0.5,0.3255,0.0393,0.1628,0.0196,0.0128,0.0064,0,1,0,1,56,3,2,580844.43,581090.93,583011.18,589470.77,581118.61,581364.43,-1,-1,-1,-1,-1,-1,0
385703219be9523c86348bfd1029973d,2223,0.2223,10000,0.5,0.7102,0.4375,0.3551,0.2188,0.3107,0.1554,0,1,0,1,691,1,1,551670.84,551660.77,552926.26,655217.37,551775.54,551944.05,-1,-1,-1,-1,-1,-1,1
0385fcae9d95fa99f42579b801d48020,2164,0.2164,10000,0.5,0.5148,0.3626,0.2574,0.1813,0.1867,0.0934,0,1,0,1,404,1,1,550382.15,550475.21,551741.15,611047.21,550492.54,550685.23,-1,-1,-1,-1,-1,-1,0
121c323213d0e22a5bfc96ed1ef501d9,2497,0.2497,10000,0.5,0.1708,0.6765,0.0854,0.3382,0.1155,0.0578,0,1,0,1,288,3,2,556411.42,556751.66,558072.54,599988.39,556549.58,556945.78,-1,-1,-1,-1,-1,-1,0
62d2b89ef286da86661fec6c5377bb3c,3338,0.3338,10000,0.5,0.1263,0.0393,0.0632,0.0196,0.005,0.0025,0,1,0,1,17,2,2,568969.34,569315.21,570931.04,571805.53,569172.29,569515.77,-1,-1,-1,-1,-1,-1,0
91eb725d709cb8fcfc92a935e23af70d,2724,0.2724,10000,0.5,0.1005,1.0,0.0502,0.5,0.1005,0.0502,0,1,0,1,274,3,0,560139.12,560476.83,561906.76,601518.13,560293.7,560678.24,-1,-1,-1,-1,-1,-1,0
7732f6f7815de0c86fc77d4e19f25a2e,2177,0.2177,10000,0.5,0.2778,0.7161,0.1389,0.358,0.1989,0.0994,0,1,0,1,433,1,1,550515.16,550736.91,552004.98,615655.32,550625.46,550954.38,-1,-1,-1,-1,-1,-1,0
e8c89be5692dc0f6f4055401c65d6caa,3561,0.3561,10000,0.5,0.8358,0.9167,0.4179,0.4584,0.7662,0.3831,0,1,0,1,2728,1,2,572275.52,572222.31,573800.81,981370.78,572444.7,572873.69,-1,-1,-1,-1,-1,-1,1
b9689e7c4d64797c35ac789acbdfc246,4072,0.4072,10000,0.5,0.1377,1.0,0.0688,0.5,0.1377,0.0688,0,1,0,1,561,2,0,577625.35,577925.53,579775.58,661998.04,577871.01,578236.23,-1,-1,-1,-1,-1,-1,0
