query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
b86e0d5ef23528577092ff22cd780505,2733,0.2733,10000,0.5,0.514,0.1994,0.257,0.0997,0.1025,0.0512,0,1,0,1,280,2,1,77550.32,77655.09,79087.46,119651.67,77705.37,77858.08,-1,-1,-1,-1,-1,-1,0
82b8490aedb36e1524b56f24b18ff60f,4374,0.4374,10000,0.5,0.3255,0.0393,0.1628,0.0196,0.0128,0.0064,0,1,0,1,56,3,2,80234.9,80481.41,82401.66,88861.25,80509.08,80754.91,-1,-1,-1,-1,-1,-1,0
36407087c80bd846b474bc57a03d041e,2223,0.2223,10000,0.5,0.7102,0.4375,0.3551,0.2188,0.3107,0.1554,0,1,0,1,691,1,1,76454.81,76444.73,77710.22,180001.33,76559.5,76728.01,-1,-1,-1,-1,-1,-1,1
f0ee32c4ea1e19cb4b1678ad73963548,2164,0.2164,10000,0.5,0.5148,0.3626,0.2574,0.1813,0.1867,0.0934,0,1,0,1,404,1,1,76175.34,76268.4,77534.34,136840.4,76285.73,76478.42,-1,-1,-1,-1,-1,-1,0
5cea63293c7df6b3fdcc274c6aac268b,2497,0.2497,10000,0.5,0.1708,0.6765,0.0854,0.3382,0.1155,0.0578,0,1,0,1,288,3,2,76834.48,77174.72,78495.6,120411.46,76972.64,77368.84,-1,-1,-1,-1,-1,-1,0
2bfe2f8808ad2d7389d0bde3af48f095,3338,0.3338,10000,0.5,0.1263,0.0393,0.0632,0.0196,0.005,0.0025,0,1,0,1,17,2,2,78501.37,78847.25,80463.08,81337.56,78704.33,79047.81,-1,-1,-1,-1,-1,-1,0
e61471ea5c21c2ebc32cbccae78dbc39,2724,0.2724,10000,0.5,0.1005,1.0,0.0502,0.5,0.1005,0.0502,0,1,0,1,274,3,0,77297.62,77635.33,79065.25,118676.63,77452.2,77836.74,-1,-1,-1,-1,-1,-1,0
640a259187d4f73702f189a6b57bb8a9,2177,0.2177,10000,0.5,0.2778,0.7161,0.1389,0.358,0.1989,0.0994,0,1,0,1,433,1,1,76083.63,76305.38,77573.45,141223.79,76193.93,76522.86,-1,-1,-1,-1,-1,-1,0
2ebe75318c4939375e700558687e6100,3561,0.3561,10000,0.5,0.8358,0.9167,0.4179,0.4584,0.7662,0.3831,0,1,0,1,2728,1,2,79381.23,79328.02,80906.52,488476.49,79550.41,79979.4,-1,-1,-1,-1,-1,-1,1
60c6c39ca4d6b1a4ba2bb4d9b427ef25,4072,0.4072,10000,0.5,0.1377,1.0,0.0688,0.5,0.1377,0.0688,0,1,0,1,561,2,0,79700.06,80000.24,81850.29,164072.75,79945.72,80310.94,-1,-1,-1,-1,-1,-1,0
d515f4e636c1c7c357279d4a67133804,2447,0.2447,10000,0.5,0.7043,1.0,0.3522,0.5,0.7043,0.3522,0,1,0,1,1723,2,0,77065.96,77068.63,78342.64,335485.11,77156.3,77606.72,-1,-1,-1,-1,-1,-1,0
7a8f52163b4b5a2295f0b732d18295d6,4871,0.4871,10000,0.5,0.8928,1.0,0.4464,0.5,0.8928,0.4464,0,1,0,1,4349,1,0,81249.09,81178.38,83151.68,733351.67,81513.22,82001.72,-1,-1,-1,-1,-1,-1,1
