query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,1,0.04,25,0.2,0.8,0.04,0.16,0.04,0.04,0.04,0,0,1,0,1.0,2,1,0.0358006,0.0358185,0.0179863,0.0180042,0.0349484,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,2,0.08,25,0.4,0.04,1.0,0.04,0.4,0.04,0.04,0,0,1,0,1.0,3,0,0.0358073,0.0358457,0.01796,0.0179984,0.0462842,0.0463226,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,2
,1,0.04,25,0.2,0.88,0.04,0.17600000000000002,0.04,0.04,0.04,0,0,1,0,1.0,1,2,0.0358038,0.0358185,0.0179894,0.0180042,0.0349515,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,3,0.12,25,0.6,0.24,0.4,0.14400000000000002,0.24,0.15178919999999999,0.0910736,0,0,1,0,2.27684,1,1,0.0358057,0.0358458,0.0180147,0.0180471,0.0463085,0.0463485,0.0146696,0.0146696,0.0146696,0.0146696,0.0260314,0.0260314,2
,2,0.08,25,0.4,0.56,1.0,0.22399999999999998,0.4,0.56,0.22399999999999998,0,0,1,0,5.6,1,0,0.0359888,0.0360129,0.0182632,0.0182329,0.0464115,0.0464356,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,4,0.16,25,0.8,0.16,0.2,0.128,0.2,0.071554,0.071554,0,0,1,0,1.78885,1,1,0.0357816,0.0358248,0.0179666,0.0180097,0.0462906,0.0463338,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,4,0.16,25,0.8,0.2,1.0,0.16,0.8,0.2,0.16,0,0,1,0,4.0,1,0,0.0360916,0.0361256,0.0185329,0.0184334,0.0463315,0.0463655,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,3
,2,0.08,25,0.4,0.16,0.04,0.064,0.04,0.04,0.04,0,0,1,0,1.0,2,2,0.035776,0.0358192,0.0179617,0.0180049,0.0462852,0.0463283,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,2,0.08,25,0.4,0.52,1.0,0.20800000000000002,0.4,0.52,0.20800000000000002,0,0,1,0,5.2,2,0,0.0359808,0.036006,0.018252,0.0182239,0.0464002,0.0464254,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,4,0.16,25,0.8,0.04,1.0,0.04,0.8,0.04,0.04,0,0,1,0,1.0,3,0,0.0358208,0.0358592,0.0179693,0.0180077,0.046294,0.0463324,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,2
,3,0.12,25,0.6,0.92,1.0,0.552,0.6,0.92,0.552,0,0,1,0,13.8,1,0,0.0361532,0.0361674,0.0186491,0.0185347,0.0465269,0.0465411,0.0146681,0.0146681,0.0146681,0.0146681,0.0260369,0.0260369,3
,2,0.08,25,0.4,0.6,1.0,0.24,0.4,0.6,0.24,0,0,1,0,6.0,2,0,0.0359969,0.0360199,0.0182743,0.0182418,0.046423,0.046446,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,2,0.08,25,0.4,0.56,0.04,0.22399999999999998,0.04,0.04,0.04,0,0,1,0,1.0,1,2,0.0357918,0.0358192,0.0179775,0.0180049,0.046301,0.0463283,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,1,0.04,25,0.2,0.64,0.4,0.128,0.4,0.32,0.32,0,0,1,0,8.0,2,1,0.0358317,0.0358559,0.0180113,0.0180355,0.0349823,0.0350065,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,4,0.16,25,0.8,0.04,0.04,0.04,0.04,0.04,0.04,0,0,1,0,1.0,3,2,0.0357727,0.0358206,0.0179583,0.0180062,0.0462818,0.0463297,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,3,0.12,25,0.6,0.44,1.0,0.264,0.6,0.44,0.264,0,0,1,0,6.6,2,0,0.0360537,0.0360811,0.0184483,0.0183735,0.0463848,0.0464122,0.0146681,0.0146681,0.0146681,0.0146681,0.0260369,0.0260369,3
,4,0.16,25,0.8,0.68,1.0,0.544,0.8,0.68,0.544,0,0,1,0,13.6,1,0,0.0361938,0.0362146,0.0188008,0.0186485,0.0464611,0.0464819,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,3
,4,0.16,25,0.8,0.8,1.0,0.64,0.8,0.8,0.64,0,0,1,0,16.0,1,0,0.0362193,0.0362368,0.0188677,0.0187022,0.0464974,0.0465149,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,3
,1,0.04,25,0.2,0.6,0.04,0.12,0.04,0.04,0.04,0,0,1,0,1.0,1,2,0.0357927,0.0358185,0.0179784,0.0180042,0.0349405,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,4,0.16,25,0.8,0.04,0.4,0.04,0.32,0.04,0.04,0,0,1,0,1.0,3,1,0.0357773,0.0358252,0.017961,0.0180089,0.0462847,0.0463327,0.0146702,0.0146702,0.0146702,0.0146702,0.0260333,0.0260333,2
,1,0.04,25,0.2,0.56,1.0,0.11199999999999999,0.2,0.56,0.11199999999999999,0,0,1,0,2.8,2,0,0.0358991,0.0359232,0.0180278,0.0180519,0.0350171,0.0350412,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,2
,4,0.16,25,0.8,0.24,0.2,0.192,0.2,0.0979796,0.0979796,0,0,1,0,2.44949,2,2,0.0357883,0.0358283,0.0179727,0.0180127,0.0462969,0.0463369,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,1,0.04,25,0.2,0.8,0.4,0.16,0.4,0.3577708,0.3577708,0,0,1,0,8.94427,2,2,0.0358431,0.035861,0.0180219,0.0180398,0.0349954,0.0350133,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,4,0.16,25,0.8,0.56,0.04,0.44799999999999995,0.04,0.04,0.04,0,0,1,0,1.0,2,2,0.0357932,0.0358206,0.0179788,0.0180062,0.0463023,0.0463297,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,3,0.12,25,0.6,0.8,0.04,0.48,0.04,0.04,0.04,0,0,1,0,1.0,3,2,0.035802,0.0358199,0.0179876,0.0180055,0.0463111,0.046329,0.0146696,0.0146696,0.0146696,0.0146696,0.0260309,0.0260309,2
,1,0.04,25,0.2,0.2,0.2,0.04,0.2,0.08944279999999999,0.08944279999999999,0,0,1,0,2.23607,2,1,0.0357835,0.0358251,0.0179681,0.0180097,0.034931,0.0349726,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,2,0.08,25,0.4,0.52,0.04,0.20800000000000002,0.04,0.04,0.04,0,0,1,0,1.0,1,2,0.0357903,0.0358192,0.0179759,0.0180049,0.0462994,0.0463283,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,4,0.16,25,0.8,0.16,0.2,0.128,0.2,0.071554,0.071554,0,0,1,0,1.78885,3,2,0.0357816,0.0358248,0.0179666,0.0180097,0.0462906,0.0463338,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,4,0.16,25,0.8,0.16,0.2,0.128,0.2,0.071554,0.071554,0,0,1,0,1.78885,3,1,0.0357816,0.0358248,0.0179666,0.0180097,0.0462906,0.0463338,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,1,0.04,25,0.2,0.8,0.04,0.16,0.04,0.04,0.04,0,0,1,0,1.0,2,2,0.0358006,0.0358185,0.0179863,0.0180042,0.0349484,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,2,0.08,25,0.4,0.6,1.0,0.24,0.4,0.6,0.24,0,0,1,0,6.0,1,0,0.0359969,0.0360199,0.0182743,0.0182418,0.046423,0.046446,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,4,0.16,25,0.8,0.84,1.0,0.672,0.8,0.84,0.672,0,0,1,0,16.8,1,0,0.0362278,0.0362442,0.01889,0.0187201,0.0465097,0.0465261,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,3
,1,0.04,25,0.2,0.36,1.0,0.07200000000000001,0.2,0.36,0.07200000000000001,0,0,1,0,1.8,1,0,0.0358598,0.0358894,0.0179999,0.0180295,0.0349729,0.0350025,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,2
,1,0.04,25,0.2,0.04,0.4,0.04,0.4,0.04,0.04,0,0,1,0,1.0,2,1,0.0357706,0.0358185,0.0179563,0.0180042,0.0349184,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,2,0.08,25,0.4,0.28,1.0,0.11199999999999999,0.4,0.28,0.11199999999999999,0,0,1,0,2.8,1,0,0.0359323,0.0359641,0.018185,0.0181701,0.0463363,0.0463681,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,2,0.08,25,0.4,0.28,1.0,0.11199999999999999,0.4,0.28,0.11199999999999999,0,0,1,0,2.8,2,0,0.0359323,0.0359641,0.018185,0.0181701,0.0463363,0.0463681,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,2,0.08,25,0.4,0.08,1.0,0.04,0.4,0.08,0.04,0,0,1,0,1.0,3,0,0.0358922,0.0359295,0.0181292,0.0181253,0.0462926,0.0463299,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,1,0.04,25,0.2,0.68,0.04,0.136,0.04,0.04,0.04,0,0,1,0,1.0,1,1,0.0357959,0.0358185,0.0179815,0.0180042,0.0349436,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,2,0.08,25,0.4,0.32,0.2,0.128,0.2,0.1131372,0.1131372,0,0,1,0,2.82843,1,1,0.0357921,0.035829,0.0179762,0.018013,0.0463004,0.0463372,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,1,0.04,25,0.2,0.32,0.4,0.064,0.4,0.2023856,0.2023856,0,0,1,0,5.05964,3,1,0.0358034,0.0358402,0.0179855,0.0180224,0.0349504,0.0349872,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,2,0.08,25,0.4,0.2,0.2,0.08,0.2,0.08944279999999999,0.08944279999999999,0,0,1,0,2.23607,3,2,0.0357842,0.0358258,0.0179688,0.0180104,0.046293,0.0463346,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,4,0.16,25,0.8,0.04,1.0,0.04,0.8,0.04,0.04,0,0,1,0,1.0,3,0,0.0358208,0.0358592,0.0179693,0.0180077,0.046294,0.0463324,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,2
,4,0.16,25,0.8,0.12,0.04,0.096,0.04,0.04,0.04,0,0,1,0,1.0,1,2,0.0357758,0.0358206,0.0179615,0.0180062,0.0462849,0.0463297,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,2,0.08,25,0.4,0.32,0.04,0.128,0.04,0.04,0.04,0,0,1,0,1.0,2,2,0.0357824,0.0358192,0.017968,0.0180049,0.0462915,0.0463283,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,2,0.08,25,0.4,0.16,1.0,0.064,0.4,0.16,0.064,0,0,1,0,1.6,2,0,0.0359081,0.0359432,0.0181516,0.0181433,0.0463084,0.0463435,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,2,0.08,25,0.4,0.8,0.4,0.32,0.2,0.3577708,0.17888559999999998,0,0,1,0,5.59017,2,1,0.0358412,0.0358591,0.0180225,0.0180404,0.0463571,0.046375,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,2,0.08,25,0.4,0.2,0.2,0.08,0.2,0.08944279999999999,0.08944279999999999,0,0,1,0,2.23607,3,1,0.0357842,0.0358258,0.0179688,0.0180104,0.046293,0.0463346,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,4,0.16,25,0.8,0.64,0.4,0.512,0.32,0.32,0.256,0,0,1,0,6.4,2,1,0.0358688,0.035893,0.0181442,0.0181359,0.0463632,0.0463874,0.0146702,0.0146702,0.0146702,0.0146702,0.0260333,0.0260333,3
,2,0.08,25,0.4,0.84,0.4,0.336,0.2,0.36660600000000004,0.1833032,0,0,1,0,5.72822,1,2,0.0358439,0.0358602,0.0180251,0.0180414,0.0463603,0.0463766,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,2,0.08,25,0.4,0.76,1.0,0.304,0.4,0.76,0.304,0,0,1,0,7.6,1,0,0.0360292,0.0360478,0.018319,0.0182777,0.0464705,0.0464891,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,4,0.16,25,0.8,0.08,0.4,0.064,0.32,0.0505964,0.0404772,0,0,1,0,1.01193,3,2,0.0357954,0.0358417,0.0180606,0.0180876,0.0462879,0.0463342,0.0146702,0.0146702,0.0146702,0.0146702,0.0260333,0.0260333,2
,2,0.08,25,0.4,0.28,1.0,0.11199999999999999,0.4,0.28,0.11199999999999999,0,0,1,0,2.8,2,0,0.0359323,0.0359641,0.018185,0.0181701,0.0463363,0.0463681,0.0146679,0.0146679,0.0146679,0.0146679,0.0260324,0.0260324,3
,4,0.16,25,0.8,0.12,1.0,0.096,0.8,0.12,0.096,0,0,1,0,2.4,1,0,0.0360028,0.036039,0.0184883,0.0183976,0.0463142,0.0463504,0.0146683,0.0146683,0.0146683,0.0146683,0.0260422,0.0260422,3
,1,0.04,25,0.2,0.64,1.0,0.128,0.2,0.64,0.128,0,0,1,0,3.2,2,0,0.0359148,0.0359367,0.018039,0.0180609,0.0350361,0.035058,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,2
,4,0.16,25,0.8,0.2,0.4,0.16,0.32,0.1264912,0.1011928,0,0,1,0,2.52982,3,1,0.0358264,0.035868,0.0180817,0.0181012,0.046306,0.0463476,0.0146702,0.0146702,0.0146702,0.0146702,0.0260333,0.0260333,2
,1,0.04,25,0.2,0.72,0.6,0.14400000000000002,0.3333332,0.509116,0.2828428,0,0,1,0,7.07107,2,1,0.0358558,0.0358768,0.0180357,0.0180567,0.0350208,0.0350419,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,1,0.04,25,0.2,0.32,0.04,0.064,0.04,0.04,0.04,0,0,1,0,1.0,2,1,0.0357817,0.0358185,0.0179673,0.0180042,0.0349294,0.0349663,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,0.0146682,2
,4,0.16,25,0.8,0.24,0.04,0.192,0.04,0.04,0.04,0,0,1,0,1.0,3,2,0.0357806,0.0358206,0.0179662,0.0180062,0.0462897,0.0463297,0.0146702,0.0146702,0.0146702,0.0146702,0.0260316,0.0260316,2
,4,0.16,25,0.8,0.36,0.4,0.28800000000000003,0.32,0.227684,0.1821472,0,0,1,0,4.55368,2,1,0.0358458,0.0358811,0.01811,0.0181193,0.046332,0.0463672,0.0146702,0.0146702,0.0146702,0.0146702,0.0260333,0.0260333,2
,2,0.08,25,0.4,0.48,0.4,0.192,0.2,0.27712800000000004,0.13856400000000002,0,0,1,0,4.33013,3,1,0.0358184,0.0358489,0.0180009,0.0180314,0.0463304,0.046361,0.0146689,0.0146689,0.0146689,0.0146689,0.0260303,0.0260303,2
,3,0.12,25,0.6,0.04,1.0,0.04,0.6,0.04,0.04,0,0,1,0,1.0,1,0,0.035814,0.0358524,0.0179647,0.0180031,0.0462887,0.0463271,0.0146681,0.0146681,0.0146681,0.0146681,0.0260369,0.0260369,2
,3,0.12,25,0.6,0.12,1.0,0.07200000000000001,0.6,0.12,0.07200000000000001,0,0,1,0,1.8,1,0,0.0359873,0.0360235,0.0183143,0.0182659,0.0463068,0.046343,0.0146681,0.0146681,0.0146681,0.0146681,0.0260369,0.0260369,3
,1,0.04,25,0.2,0.04,1.0,0.04,0.2,0.04,0.04,0,0,1,0,1.0,2,0,0.0357979,0.0358363,0.0179553,0.0179937,0.0349174,0.0349558,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,0.0146677,2
