query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.0203808,15000000,0.31844866666666666,0.35479733333333335,0.9186133333333333,0.11298466666666666,0.29228666666666664,0.340054,0.10819866666666667,0,0,1,0,1622980.0,2,1,99.4561,206.014,1020930.0,1021030.0,189.38,295.371,38.4241,38.4241,258752.0,258752.0,57.7942,57.7942,0
,448243,0.029882866666666667,15000000,0.46691733333333335,0.9527866666666667,0.18611266666666668,0.44487133333333334,0.08741533333333333,0.181666,0.08532666666666666,0,0,1,0,1279900.0,1,2,199.398,207.766,163799.0,163807.0,254.718,262.783,41.1573,41.1573,41928.1,41928.1,59.4047,59.4047,0
,839053,0.05593686666666667,15000000,0.8740066666666667,0.050101733333333336,0.406732,0.04378933333333333,0.3567013333333333,0.0319526,0.028022266666666667,0,0,1,0,420334.0,3,2,57.7587,213.699,117040.0,117223.0,80.0708,235.958,48.6516,48.6516,66.444,66.444,68.3873,68.3873,0
,1304230,0.08694866666666666,15000000,0.8694866666666666,0.336344,0.36106866666666665,0.2924466666666667,0.313944,0.202106,0.175728,0,0,1,0,2635920.0,2,1,117.265,226.615,1021560.0,1021670.0,178.904,287.917,57.5719,57.5719,258758.0,258758.0,78.091,78.091,0
,854132,0.05694213333333333,15000000,0.8897133333333334,0.6782466666666667,0.069784,0.6034466666666667,0.06246493333333333,0.05747086666666667,0.051443466666666667,0,0,1,0,771652.0,1,1,161.342,214.461,37019.1,37085.0,184.482,237.504,48.9407,48.9407,66.7332,66.7332,67.059,67.059,0
,919376,0.061291733333333334,15000000,0.95768,0.293596,1.0,0.2811706666666667,0.95768,0.293596,0.2811706666666667,0,0,1,0,4217560.0,1,0,105.565,221.852,2884690.0,2884800.0,198.41,314.208,50.1673,50.1673,729730.0,729730.0,82.8079,82.8079,0
,556210,0.037080666666666665,15000000,0.5793826666666667,0.362954,1.0,0.21028933333333333,0.5793826666666667,0.362954,0.21028933333333333,0,0,1,0,3154340.0,2,0,108.061,213.133,2157840.0,2157940.0,204.08,308.547,43.2129,43.2129,546109.0,546109.0,64.0038,64.0038,0
,1232138,0.08214253333333334,15000000,0.8214266666666666,0.38326933333333335,0.14816266666666666,0.31482733333333335,0.12170466666666667,0.09172533333333334,0.075346,0,0,1,0,1130190.0,2,2,120.942,222.424,180139.0,180260.0,158.042,259.371,56.1895,56.1895,73.9817,73.9817,74.995,74.995,0
,1322444,0.08816293333333333,15000000,0.8816266666666667,0.0389752,1.0,0.03436173333333333,0.8816266666666667,0.0389752,0.03436173333333333,0,0,1,0,515426.0,3,0,61.1829,218.639,550862.0,551041.0,107.962,265.354,32.9929,32.9929,75.6781,75.6781,97.2129,97.2129,0
,1009793,0.06731953333333333,15000000,0.6731933333333333,0.40869,0.19909733333333332,0.275128,0.13403133333333334,0.12728066666666665,0.08568466666666667,0,0,1,0,1285270.0,1,1,121.115,218.493,275688.0,275785.0,165.674,262.84,51.9257,51.9257,70167.5,70167.5,70.8379,70.8379,0
,658921,0.04392806666666667,15000000,0.6863733333333333,0.17758666666666667,1.0,0.12189066666666666,0.6863733333333333,0.17758666666666667,0.12189066666666666,0,0,1,0,1828360.0,1,0,77.5871,212.631,1250910.0,1251040.0,134.918,269.666,45.1797,45.1797,316700.0,316700.0,66.5653,66.5653,0
,771690,0.051446,15000000,0.80384,0.16079333333333334,0.5421266666666666,0.129252,0.43702,0.11839066666666667,0.09543733333333333,0,0,1,0,1431560.0,3,1,76.3001,214.258,531659.0,531797.0,120.199,257.96,47.3598,47.3598,134859.0,134859.0,67.5587,67.5587,0
