query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
5f5e42ddd7487311c1b9ce96f43ecf9e,4500016,0.30000106666666665,15000000,0.4999804,0.3540892,0.9198542666666667,0.1770446,0.45992713333333335,0.3257232,0.1628616,0,1,0,1,1465817,2,1,22448593.51,22744057.47,24782042.69,694827749895.2,24627828.23,26015149.13,-1,-1,-1,-1,-1,-1,0
d8f18b80b79baf981fa82e34978f7d59,5853462,0.3902308,15000000,0.4999804,0.9180727333333333,1.0,0.4590364,0.4999804,0.9180727333333333,0.4590364,0,1,0,1,5374114,3,0,23478211.74,23456611.53,25462149.31,2547380676587.87,26038273.21,29943737.06,-1,-1,-1,-1,-1,-1,1
310faa5ba19689a0527c36f4aa36ab2b,3316313,0.22108753333333334,15000000,0.4999804,0.39275746666666667,0.3695338,0.19637873333333333,0.18476693333333333,0.1451428,0.0725714,0,1,0,1,481358,1,1,22170558.22,22384220.57,24178941.15,228188026739.69,23824769.37,24518823.39,-1,-1,-1,-1,-1,-1,0
e30913495a21cd83d54354f9d575cd4a,6965800,0.46438666666666667,15000000,0.4999804,0.6042093333333334,0.32854886666666666,0.3021046666666667,0.1642744,0.19852006666666666,0.09926,0,1,0,1,1382905,3,1,22926944.82,23043279.22,26038513.65,655531924694.91,26511473.01,27269875.54,-1,-1,-1,-1,-1,-1,0
a061e0351aec0edfb88fcef6002434e2,6264905,0.41766033333333336,15000000,0.4999804,0.45490826666666667,1.0,0.22745413333333334,0.4999804,0.45490826666666667,0.22745413333333334,0,1,0,1,2850069,2,0,22849009.7,23087428.48,25653237.15,1350969656688.17,25905043.41,27661182.21,-1,-1,-1,-1,-1,-1,0
f2b9a585da49a899cc7d1672610a1f03,2527988,0.16853253333333335,15000000,0.4999804,0.10280413333333334,1.0,0.05140206666666667,0.4999804,0.10280413333333334,0.05140206666666667,0,1,0,1,259898,2,0,21818628.56,22206263.57,23784778.65,123215611784.87,23078669.33,23803115.14,-1,-1,-1,-1,-1,-1,0
0545049a5a1737f5ae8033e35749b612,441171,0.0294114,15000000,0.4999804,0.7105794666666667,0.2713248,0.35528973333333336,0.1356624,0.1928054,0.09640266666666666,0,1,0,1,85063,1,1,22023282.78,21996140.57,22653966.15,40342742896.58,22049304.32,22674516.83,-1,-1,-1,-1,-1,-1,1
949e4f2bb83d4178cf8cc90f416409eb,4918420,0.32789466666666667,15000000,0.4999804,0.7211036,0.04497433333333333,0.3605518,0.0224872,0.0324324,0.0162162,0,1,0,1,159522,3,1,22551300.88,22404798.51,25004586.75,75639098846.16,25154351.54,25082872.24,-1,-1,-1,-1,-1,-1,1
c18a57faaad5db12e96cdc175ea7a02d,3449377,0.22995846666666667,15000000,0.4999804,0.38217646666666666,0.3105060666666667,0.19108826666666667,0.15525306666666666,0.11867273333333334,0.0593364,0,1,0,1,409363,3,2,22206731.15,22394935.72,24271343.48,194064472614.9,23948305.84,24524800.74,-1,-1,-1,-1,-1,-1,0
431d9a9df96555e19cda353a4158e9b2,320291,0.021352733333333332,15000000,0.4999804,0.7722122666666666,1.0,0.3861061333333333,0.4999804,0.7722122666666666,0.3861061333333333,0,1,0,1,247342,1,0,22418986.74,22343379.99,22430369.42,117263286398.8,22029280.06,25354361.43,-1,-1,-1,-1,-1,-1,4
d0ecc77814d90b4d8b024aef0bdf72f9,1924150,0.12827666666666668,15000000,0.4999804,0.7433688666666667,1.0,0.3716844,0.4999804,0.7433688666666667,0.3716844,0,1,0,1,1430409,2,0,22636245.68,22623389.41,23482859.65,678044254801.8,22843986.05,26072228.22,-1,-1,-1,-1,-1,-1,1
c2a9f03c96faea6559ccd62ea58495e9,7401746,0.4934497333333333,15000000,0.4999804,0.2860852,0.22665473333333333,0.1430426,0.11332733333333334,0.06484513333333333,0.03242253333333334,0,1,0,1,479986,1,2,22632178.09,22829957.71,26240162.02,227538048369.17,26529071.61,26928364.31,-1,-1,-1,-1,-1,-1,0
dd3d7c638d662676710432a632a3563a,6378361,0.4252240666666667,15000000,0.4999804,0.2731574666666667,0.7643498,0.13657873333333334,0.38217493333333336,0.208796,0.104398,0,1,0,1,1331828,2,1,22574880.52,22926311.01,25725911.05,631321032739.67,25836216.42,26868753.57,-1,-1,-1,-1,-1,-1,0
8cd7a385548bcd156899a773ed48b798,3225892,0.21505946666666667,15000000,0.4999804,0.47599453333333336,0.0251228,0.23799726666666668,0.0125614,0.0119588,0.0059794,0,1,0,1,38579,3,2,22109969.71,22121528.22,24157924.84,18311722912.67,23809810.16,23832402.51,-1,-1,-1,-1,-1,-1,0
58aeb0eb10f3cbd5ec795c8b2529eae8,4730965,0.3153976666666667,15000000,0.4999804,0.5825404,1.0,0.2912702,0.4999804,0.5825404,0.2912702,0,1,0,1,2756086,1,0,22788234.06,22916069.28,24874439.74,1306423988371.94,24937573.47,27549547.11,-1,-1,-1,-1,-1,-1,0
e00b6f50ad44a46ad1200047a17b168d,1918000,0.12786666666666666,15000000,0.4999804,0.6385394,1.0,0.31926973333333336,0.4999804,0.6385394,0.31926973333333336,0,1,0,1,1224766,1,0,22463512.57,22508610.11,23474989.65,580568560551.54,22734930.1,25553053.19,-1,-1,-1,-1,-1,-1,0
92128f4b8945c2ff5b5fbbb3f09622df,3283813,0.21892086666666666,15000000,0.4999804,0.7633535333333333,0.7477876,0.3816768,0.3738938,0.5708486,0.28542426666666665,0,1,0,1,1874633,1,2,22755232.08,22751509.3,24170900.68,888608446087.41,24130178.2,26579403.33,-1,-1,-1,-1,-1,-1,1
989dea17dc1909ed99ec7092c77e2d66,1223908,0.08159386666666667,15000000,0.4999804,0.290343,0.7733493333333333,0.14517146666666667,0.38667466666666667,0.2245454,0.11227266666666667,0,1,0,1,274834,3,1,21873718.82,22209393.03,23138858.19,130295576567.67,22156421.98,23252987.81,-1,-1,-1,-1,-1,-1,0
57a062b9a67aeec8371072761e024194,3416625,0.227775,15000000,0.4999804,0.08966606666666667,1.0,0.044833066666666664,0.4999804,0.08966606666666667,0.044833066666666664,0,1,0,1,306367,2,0,21926973.5,22302735.25,24229097.15,145241662850.95,23668856.29,24337653.09,-1,-1,-1,-1,-1,-1,0
2785cc6e92ea87648b4cb511db43973f,1793120,0.11954133333333333,15000000,0.4999804,0.0297928,0.8450520666666667,0.0148964,0.422526,0.025177466666666665,0.012588733333333333,0,1,0,1,45148,2,1,21608638.47,21931797.19,23421827.45,21422494876.49,22221058.73,22600566.24,-1,-1,-1,-1,-1,-1,0
6275653a03870cd47809b7abe9c4c3b9,1697699,0.11317993333333333,15000000,0.4999804,0.44420506666666665,0.006094533333333333,0.22210253333333332,0.0030472666666666666,0.0027073333333333333,0.0013536666666666666,0,1,0,1,4596,1,2,21818431.84,21868552.1,23373878.4,2201794762.52,22410904.41,22464742.95,-1,-1,-1,-1,-1,-1,0
0bc8f880428c78d48f0b0e37e7607126,4411761,0.2941174,15000000,0.4999804,0.6500782666666667,1.0,0.32503913333333334,0.4999804,0.6500782666666667,0.32503913333333334,0,1,0,1,2868102,2,0,22859797.96,22957374.8,24726665.15,1359517677243.83,24795638.98,27677111.17,-1,-1,-1,-1,-1,-1,0
fa1971309589c8e0cddb4e52f6d7906e,1308555,0.087237,15000000,0.4999804,0.2225158,0.4741046666666667,0.11125786666666666,0.23705233333333334,0.10549993333333334,0.05275,0,1,0,1,138058,3,2,21758243.63,22052678.53,23184876.31,65462010240.36,22146784.24,22790810.5,-1,-1,-1,-1,-1,-1,0
b4c0c036f8eb1e1fcab52e3ccb34a656,6741567,0.4494378,15000000,0.4999804,0.020730933333333333,0.27975126666666666,0.010365466666666667,0.1398756,0.005799733333333334,0.002899866666666667,0,1,0,1,39101,3,2,22296542.26,22613999.98,25942129.9,18560830966.12,25871856.55,26193968.93,-1,-1,-1,-1,-1,-1,0
e550891a13109dce311a2750aa54de8c,4966963,0.3311308666666667,15000000,0.4999804,0.039436066666666665,0.4013764,0.019718,0.2006882,0.015829333333333334,0.007914666666666667,0,1,0,1,78627,3,2,22065711.67,22380936.76,25041518.37,37291969776.78,24681948.03,25026983.28,-1,-1,-1,-1,-1,-1,0
