query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,985773,0.4928865,2000000,0.02096275,0.5183,0.59794,0.0109386,0.0125345,0.400786,0.0084585,0,1,0,1,392615.0,2,1,187.905,201.091,386.622,290212.0,284.981,300.318,172.896,172.896,264.643,264.643,267.509,267.509,0
,610582,0.305291,2000000,0.02096245,0.631835,1.0,0.0133016,0.02096245,0.631835,0.0133016,0,1,0,1,382392.0,3,0,184.741,194.819,369.162,346805.0,282.635,307.525,166.74,166.74,258.487,89597.1,260.612,260.612,0
,170585,0.0852925,2000000,0.020598099999999998,0.697765,0.21849,0.01451975,0.004500484999999999,0.1825095,0.0037978400000000002,0,1,0,1,31045.4,1,1,271.419,279.708,324.409,31151.1,272.249,281.413,251.385,251.385,251.267,251.267,251.896,251.896,0
,674344,0.337172,2000000,0.0209625,0.347885,0.71857,0.0072131999999999995,0.015063,0.2948965,0.0061145,0,1,0,1,194191.0,3,1,177.714,195.548,323.26,96543.7,272.576,291.927,167.786,167.786,259.533,259.533,260.775,260.775,0
,924426,0.462213,2000000,0.0209627,0.572935,1.0,0.0120705,0.0209627,0.572935,0.0120705,0,1,0,1,525334.0,1,0,188.573,200.255,392.638,429079.0,286.868,311.939,171.89,171.89,263.636,263.636,266.607,266.607,0
,430836,0.215418,2000000,0.020961650000000002,0.3026565,1.0,0.0062696,0.020961650000000002,0.3026565,0.0062696,0,1,0,1,127203.0,2,0,265.414,284.453,299.376,55138.0,266.704,287.306,255.662,255.662,255.537,255.537,256.212,256.212,0
,441171,0.2205855,2000000,0.0209618,0.721895,0.59794,0.015285950000000001,0.01253395,0.50804,0.0107576,0,1,0,1,223464.0,1,1,184.175,191.808,363.188,230107.0,280.913,300.373,163.96,163.96,255.707,255.707,257.455,257.455,0
,724116,0.362058,2000000,0.02096255,0.102764,0.339224,0.00204902,0.007111,0.059853,0.00119341,0,1,0,1,40740.1,3,1,263.8,288.32,279.343,6262.11,264.044,288.802,260.431,260.431,260.349,260.349,260.718,260.718,0
,514592,0.257296,2000000,0.0209623,0.02098,0.4194745,0.000454136,0.00879315,0.0135881,0.0002941295,0,1,0,1,7187.79,3,2,257.686,284.438,260.346,503.944,257.721,284.512,256.948,256.948,256.912,256.912,256.987,256.987,0
,320291,0.1601455,2000000,0.020952400000000003,0.4951035,1.0,0.0104503,0.020952400000000003,0.4951035,0.0104503,0,1,0,1,157691.0,1,0,175.806,189.606,317.748,111511.0,271.609,288.145,161.977,161.977,253.723,253.723,254.566,254.566,0
