query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
c11212a3b88bf99e569b36914581672e,985773,0.4928865,2000000,0.499995,0.512999,0.6037935,0.2564995,0.301897,0.3097485,0.154874,0,1,0,1,305345,2,1,21540673.75,21565435.45,21986366.29,21109536565.09,21854481.56,22022476.19,-1,-1,-1,-1,-1,-1,0
94d6ea866e0c3f9c3517325ba4a3422b,610582,0.305291,2000000,0.499995,0.6265365,1.0,0.313268,0.499995,0.6265365,0.313268,0,1,0,1,382556,3,0,21532025.15,21544884.67,21800646.74,26441969387.99,21683566.51,21994815.45,-1,-1,-1,-1,-1,-1,0
8a69a2e6878802ccdf9bfd98167aee86,170585,0.0852925,2000000,0.499995,0.6944375,0.2219645,0.347219,0.110982,0.154142,0.077071,0,1,0,1,26295,1,1,21424338.78,21424288.39,21582421.76,1837483861.01,21466353.97,21516229.0,-1,-1,-1,-1,-1,-1,1
36a28fb2563e1e90c8c012d992ae1966,674344,0.337172,2000000,0.499995,0.3421165,0.7213925,0.171058,0.360696,0.246803,0.1234015,0,1,0,1,166432,3,1,21472983.75,21517737.04,21833894.79,11515677642.83,21681953.61,21840916.82,-1,-1,-1,-1,-1,-1,0
15f2597f6f994c98372e906c8daed799,924426,0.462213,2000000,0.499995,0.5682585,1.0,0.284129,0.499995,0.5682585,0.284129,0,1,0,1,525318,1,0,21558852.31,21575464.73,21951377.39,36301217019.42,21827832.12,22113001.69,-1,-1,-1,-1,-1,-1,0
00c98f9a2a8f35b3afbdba496da15027,430836,0.215418,2000000,0.499995,0.2969675,1.0,0.148484,0.499995,0.2969675,0.148484,0,1,0,1,127946,2,0,21435325.44,21477484.15,21710595.38,8857860504.6,21553991.1,21735112.79,-1,-1,-1,-1,-1,-1,0
60061fb9c7fd16dded355cce4cec434c,441171,0.2205855,2000000,0.499995,0.7172685,0.6037935,0.358634,0.301897,0.433087,0.2165435,0,1,0,1,191067,1,1,21494087.83,21493640.34,21715685.37,13217098217.85,21603620.48,21807883.73,-1,-1,-1,-1,-1,-1,1
0e291ea630fc0537647b6b0888b89f03,724116,0.362058,2000000,0.499995,0.101115,0.345063,0.0505575,0.1725315,0.0348915,0.017446,0,1,0,1,25266,3,1,21431027.85,21479614.16,21858656.36,1766337416.65,21676844.16,21735096.84,-1,-1,-1,-1,-1,-1,0
9974f8aa4fe764a054716bd4c79c2955,514592,0.257296,2000000,0.499995,0.020611,0.422129,0.0103055,0.2110645,0.0087005,0.00435,0,1,0,1,4477,3,2,21338493.16,21391630.79,21755704.65,155705713.17,21564292.02,21618075.11,-1,-1,-1,-1,-1,-1,0
a0aee4f88b3ef0a681813d770aa921f2,320291,0.1601455,2000000,0.499995,0.4899775,1.0,0.244989,0.499995,0.4899775,0.244989,0,1,0,1,156937,1,0,21456858.86,21476770.65,21655351.24,10859825884.22,21518598.42,21771328.2,-1,-1,-1,-1,-1,-1,0
1186d379e7e9dba2d747bfc4dc3a4cff,875574,0.437787,2000000,0.499995,0.39383,1.0,0.196915,0.499995,0.39383,0.196915,0,1,0,1,344831,2,0,21518780.3,21553641.69,21929628.85,23836072427.98,21785847.09,22005041.77,-1,-1,-1,-1,-1,-1,0
26ad187e1210cd9fc0cbb8c57567017e,61714,0.030857,2000000,0.499995,0.608589,0.3635295,0.3042945,0.181765,0.2212425,0.110621,0,1,0,1,13654,1,2,21409922.49,21420414.16,21505905.08,964399198.69,21397926.12,21511467.94,-1,-1,-1,-1,-1,-1,4
86acb66ab00e3ad4f081f91386617c4d,521538,0.260769,2000000,0.499995,0.43089,0.0614995,0.215445,0.03075,0.0264995,0.01325,0,1,0,1,13821,2,2,21435077.34,21447804.28,21757873.81,976320431.24,21613025.24,21630760.27,-1,-1,-1,-1,-1,-1,0
1bb39aedb2ec8835ea1f92ad42ecdb8d,86108,0.043054,2000000,0.499995,0.1193665,0.7411255,0.059683,0.370563,0.0884665,0.044233,0,1,0,1,7618,1,1,21346324.02,21401364.21,21540816.84,547503323.25,21351289.09,21434332.06,-1,-1,-1,-1,-1,-1,0
257b677183ff2a84e4b64dc1e65fe6d9,551546,0.275773,2000000,0.499995,0.025978,1.0,0.012989,0.499995,0.025978,0.012989,0,1,0,1,14328,3,0,21396856.05,21450717.89,21771423.92,1011053144.39,21583013.21,21643993.02,-1,-1,-1,-1,-1,-1,0
