query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,305712,0.038214,8000000,0.15285625,1,1.0,0.15285625,0.15285625,1.0,0.15285625,0,0,1,0,1222850.0,0,0,inf,161.59,inf,1743390.0,inf,311.269,inf,42.4596,inf,441616.0,inf,65.6379,1
,963396,0.1204245,8000000,0.4816975,1,0.452055,0.4816975,0.21775375,0.452055,0.21775375,0,0,1,0,1742030.0,0,1,inf,175.156,inf,2482500.0,inf,257.6,inf,54.4313,inf,628085.0,inf,81.4157,1
,374565,0.046820625,8000000,0.1872825,1,1.0,0.1872825,0.1872825,1.0,0.1872825,0,0,1,0,1498260.0,0,0,inf,163.305,inf,2135700.0,inf,313.322,inf,43.7129,inf,540765.0,inf,67.2751,1
,1219161,0.152395125,8000000,0.60958,1,0.68007,0.60958,0.4145575,0.68007,0.4145575,0,0,1,0,3316460.0,0,2,inf,182.549,inf,6981560.0,inf,306.152,inf,59.0869,inf,3451250.0,inf,98.4202,1
,674344,0.084293,8000000,0.3371725,1,1.0,0.3371725,0.3371725,1.0,0.3371725,0,0,1,0,2697380.0,0,0,inf,171.431,inf,3843770.0,inf,322.309,inf,49.1697,inf,655956.0,inf,74.4496,1
,887634,0.11095425,8000000,0.4438175,1,0.0686555,0.4438175,0.0304705,0.0686555,0.0304705,0,0,1,0,243764.0,0,1,inf,167.889,inf,347521.0,inf,200.451,inf,36.8967,inf,74.6492,inf,79.5863,1
,924426,0.11555325,8000000,0.4622125,1,1.0,0.4622125,0.4622125,1.0,0.4622125,0,0,1,0,3697700.0,0,0,inf,177.658,inf,5268690.0,inf,329.845,inf,53.7219,inf,1332560.0,inf,80.4744,1
,430836,0.0538545,8000000,0.2154175,1,0.26962125,0.2154175,0.058081375,0.26962125,0.058081375,0,0,1,0,464651.0,0,2,inf,162.909,inf,662794.0,inf,219.739,inf,44.7372,inf,168081.0,inf,68.6166,1
,1968577,0.246072125,8000000,0.98428875,1,1.0,0.98428875,0.98428875,1.0,0.98428875,0,0,1,0,7874310.0,0,0,inf,203.654,inf,25705600.0,inf,378.993,inf,72.7284,inf,94.3247,inf,123.31,1
,556210,0.06952625,8000000,0.278105,1,0.095902375,0.278105,0.026670875,0.095902375,0.026670875,0,0,1,0,213367.0,0,2,inf,163.03,inf,304184.0,inf,193.739,inf,36.8853,inf,68.6165,inf,71.6148,1
,1232138,0.15401725,8000000,0.61606875,1,1.0,0.61606875,0.61606875,1.0,0.61606875,0,0,1,0,4928550.0,0,0,inf,185.319,inf,11643200.0,inf,350.08,inf,59.3231,inf,6396960.0,inf,98.8496,1
,1563168,0.195396,8000000,0.78158375,1,1.0,0.78158375,0.78158375,1.0,0.78158375,0,0,1,0,6252670.0,0,0,inf,193.561,inf,20411800.0,inf,363.061,inf,65.3488,inf,86.9454,inf,109.829,1
,1958040,0.244755,8000000,0.97902,1,0.420735,0.97902,0.4119075,0.420735,0.4119075,0,0,1,0,3295260.0,0,2,inf,189.741,inf,28257600.0,inf,297.576,inf,36.9334,inf,94.1329,inf,122.959,1
,1943681,0.242960125,8000000,0.97184,1,1.0,0.97184,0.97184,1.0,0.97184,0,0,1,0,7774720.0,0,0,inf,203.034,inf,25380500.0,inf,378.013,inf,72.2752,inf,93.8715,inf,122.481,1
