query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
b922b5fdd269e3576fcc70e3897a1514,305712,0.038214,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,5720729,0,0,10022401794.68,22401794.68,96885935135.51,86885935135.51,10024471751.61,24471751.61,-1,-1,-1,-1,-1,-1,1
7d64d22de010eeed7ff88a2a40cace08,963396,0.1204245,8000000,0.5001325,1,0.452972375,0.5001325,0.22648625,0.452972375,0.22648625,0,0,0,0,8163951,0,1,10022963428.72,22963428.72,133984387071.19,123984387071.19,10023104352.75,23104352.75,-1,-1,-1,-1,-1,-1,1
f5ce894e62ad36659dc12ed6b7ae8726,374565,0.046820625,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,7009162,0,0,10022493354.4,22493354.4,116449678005.16,106449678005.16,10024518262.41,24518262.41,-1,-1,-1,-1,-1,-1,1
bdf2548e173afd1f3b807645dc98a03a,3316313,0.414539125,8000000,0.5001325,1,0.679194125,0.5001325,0.339597,0.679194125,0.339597,0,0,0,0,42137939,0,2,10026108602.34,26108602.34,649852272215.97,639852272215.97,10025857507.06,25857507.06,-1,-1,-1,-1,-1,-1,5
28280ac4f69ecd632ea778518857acc6,2771496,0.346437,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,51862468,0,0,10025680754.35,25680754.35,797508480966.53,787508480966.53,10026854760.86,26854760.86,-1,-1,-1,-1,-1,-1,1
949bf1a28af97630c8aae4b205c03767,887634,0.11095425,8000000,0.5001325,1,0.0692615,0.5001325,0.03463075,0.0692615,0.03463075,0,0,0,0,1150137,0,1,10022642446.2,22618834.2,27486162389.75,17486138777.75,10022170493.41,22146881.41,-1,-1,-1,-1,-1,-1,5
d1a36dde83e2a6c7c7f5433a2593aefc,2070601,0.258825125,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,38746756,0,0,10024748715.96,24748715.96,598357687847.49,588357687847.49,10025832168.95,25832168.95,-1,-1,-1,-1,-1,-1,1
a691562a951466188e640da13fefc8d4,2951284,0.3689105,8000000,0.5001325,1,0.16151925,0.5001325,0.080759625,0.16151925,0.080759625,0,0,0,0,8917829,0,1,10025117663.15,25117663.15,145433443075.15,135433443075.15,10024006998.89,24006998.89,-1,-1,-1,-1,-1,-1,5
c6e2f79af76c4b9fd5d90e955188210e,3016528,0.377066,8000000,0.5001325,1,0.68183025,0.5001325,0.340915125,0.68183025,0.340915125,0,0,0,0,38477556,0,2,10025730574.8,25730574.8,594270825382.14,584270825382.14,10025605720.73,25605720.73,-1,-1,-1,-1,-1,-1,5
5c00751f2d42e88cbc12c573daf85684,2327284,0.2909105,8000000,0.5001325,1,0.095267875,0.5001325,0.047634,0.095267875,0.047634,0,0,0,0,4147818,0,2,10024348585.2,24329774.06,73003004913.56,63002986102.42,10023003232.25,22984421.11,-1,-1,-1,-1,-1,-1,5
e3d4fa2494516baa1f8eb7f1be744017,3329290,0.41616125,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,62300359,0,0,10026422499.99,26422499.99,955998864685.98,945998864685.98,10027387896.44,27387896.44,-1,-1,-1,-1,-1,-1,1
f08927c88364a3a058beda43516084e7,1563168,0.195396,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,29251260,0,0,10024073939.51,24073939.51,454176770014.19,444176770014.19,10025435790.69,25435790.69,-1,-1,-1,-1,-1,-1,1
dd3fdc1d4e59f3f94c1cd52701377b7c,3795620,0.4744525,8000000,0.5001325,1,0.42085875,0.5001325,0.210429375,0.42085875,0.210429375,0,0,0,0,29884290,0,2,10026423150.13,26423150.13,463792133166.48,453792133166.48,10025452081.4,25452081.4,-1,-1,-1,-1,-1,-1,5
dba24a559bbd9ec67f6239efab4f0fdc,1943681,0.242960125,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,36371726,0,0,10024579940.26,24579940.26,562294912877.39,552294912877.39,10025732933.98,25732933.98,-1,-1,-1,-1,-1,-1,1
6bf0d0069b7fd21e7dbd4840130e0b45,1924150,0.24051875,8000000,0.5001325,1,0.0917245,0.5001325,0.04586225,0.0917245,0.04586225,0,0,0,0,3301780,0,2,10023877965.45,23856319.61,60157227596.32,50157205950.48,10022782161.78,22760515.94,-1,-1,-1,-1,-1,-1,5
126eddda2ce0068de2de76d59628e679,3207442,0.40093025,8000000,0.5001325,1,0.537021125,0.5001325,0.2685105,0.537021125,0.2685105,0,0,0,0,32223598,0,1,10025804184.13,25804184.13,499312312283.33,489312312283.33,10025314600.37,25314600.37,-1,-1,-1,-1,-1,-1,5
f9bc17b92305a88d853c6fba1d3d4b14,3258912,0.407364,8000000,0.5001325,1,0.714268,0.5001325,0.357134,0.714268,0.357134,0,0,0,0,43546944,0,1,10026052112.43,26052112.43,671245729308.19,661245729308.19,10026304442.83,26304442.83,-1,-1,-1,-1,-1,-1,1
fe23b27585a3e466cac3b6ce2e82d119,2813866,0.35173325,8000000,0.5001325,1,0.3969635,0.5001325,0.19848175,0.3969635,0.19848175,0,0,0,0,20896706,0,2,10025201233.83,25201233.83,327320637051.95,317320637051.95,10024605007.97,24605007.97,-1,-1,-1,-1,-1,-1,5
80312957458ee94c29c06ed9d480d6c9,1810863,0.226357875,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,33886329,0,0,10024403321.48,24403321.48,524556292912.23,514556292912.23,10025629151.52,25629151.52,-1,-1,-1,-1,-1,-1,1
e5a92cfc09ebd35c16fa118d485c5937,1755748,0.2194685,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,32854973,0,0,10024330028.74,24330028.74,508896035722.84,498896035722.84,10025586099.04,25586099.04,-1,-1,-1,-1,-1,-1,1
cbe2531b0e326f87d8627268b920b434,3697274,0.46215925,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,69186373,0,0,10026911839.41,26911839.41,1060557044520.5,1050557044520.5,10027739991.06,27739991.06,-1,-1,-1,-1,-1,-1,1
4400e9e2b6846015669d1004a0142175,2083020,0.2603775,8000000,0.5001325,1,0.170469625,0.5001325,0.08523475,0.170469625,0.08523475,0,0,0,0,6643001,0,2,10024126623.32,24126623.32,110890598924.29,100890598924.29,10023072556.73,23072556.73,-1,-1,-1,-1,-1,-1,5
ee569aba9caec265d0f13c91c937963b,1259509,0.157438625,8000000,0.5001325,1,1.0,0.5001325,0.5001325,1.0,0.5001325,0,0,0,0,23568948,0,0,10023670138.74,23670138.74,367895756898.48,357895756898.48,10025199140.32,25199140.32,-1,-1,-1,-1,-1,-1,1
5a5e5d3b5b071f0af0b89ea32c9dc62a,3417269,0.427158625,8000000,0.5001325,1,0.560106625,0.5001325,0.28005325,0.560106625,0.28005325,0,0,0,0,35807478,0,2,10026109670.0,26109670.0,553729064444.37,543729064444.37,10025578818.51,25578818.51,-1,-1,-1,-1,-1,-1,5
8182da370efaeb841c73a28448eda858,1989563,0.248695375,8000000,0.5001325,1,0.203736125,0.5001325,0.101868,0.203736125,0.101868,0,0,0,0,7583149,0,1,10024023473.59,24023473.59,125166311225.91,115166311225.91,10023088790.18,23088790.18,-1,-1,-1,-1,-1,-1,5
