query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
3a775c17b9bee0ba3a4efccbf4d153c8,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,1,0,58.4,25.38,21.46,25.85,58.33,27.12,-1,-1,-1,-1,-1,-1,2
3a775c17b9bee0ba3a4efccbf4d153c8,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,1,0,58.4,25.38,21.46,25.85,58.33,27.12,-1,-1,-1,-1,-1,-1,2
303093bf03ad117a4174aae7a34ee0f8,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,2,0,58.54,25.8,21.46,26.28,58.47,27.54,-1,-1,-1,-1,-1,-1,2
a61e2c2180bc471769b51c91b724a6e1,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,1,0,58.4,25.38,21.46,25.85,58.33,27.12,-1,-1,-1,-1,-1,-1,2
8c0609749e1754fe86c18d9a33bf89a9,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,3,0,58.68,26.23,21.46,26.7,58.61,27.97,-1,-1,-1,-1,-1,-1,2
28bdf42401c3b79631cea8a998185bb8,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,1,0,58.4,25.38,21.46,25.85,58.33,27.12,-1,-1,-1,-1,-1,-1,2
d1531f5085ee24923dd347a7c034051b,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,2,0,58.54,25.8,21.46,26.28,58.47,27.54,-1,-1,-1,-1,-1,-1,2
3a775c17b9bee0ba3a4efccbf4d153c8,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,1,0,58.4,25.38,21.46,25.85,58.33,27.12,-1,-1,-1,-1,-1,-1,2
4d12c97107812073c8d254a696cdea0a,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,2,0,58.54,25.8,21.46,26.28,58.47,27.54,-1,-1,-1,-1,-1,-1,2
68c6837bd0309281eb5b6499c3d289dd,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,3,0,58.68,26.23,21.46,26.7,58.61,27.97,-1,-1,-1,-1,-1,-1,2
68c6837bd0309281eb5b6499c3d289dd,1,0.2,5,0.2,11.4,1,0.2,0.2,11.4,0.2,0,1,0,1,1,3,0,58.68,26.23,21.46,26.7,58.61,27.97,-1,-1,-1,-1,-1,-1,2
