query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.02733,100000,0.0269587,0.54108,0.201387,0.0146176,0.00545614,0.148136,0.00402158,0,1,0,1,407.708,2,1,1806.95,1807.64,1808.79,1823.52,1806.97,1807.67,1806.05,1806.05,1806.02,1806.02,1806.05,1806.05,0
,20758,0.20758,100000,0.187387,0.19033,1.0,0.0357017,0.187387,0.19033,0.0357017,0,1,0,1,3955.34,3,0,1806.86,1808.06,1808.27,1862.11,1806.87,1808.1,1806.45,1806.45,1806.42,1806.42,1806.46,1806.46,0
,14651,0.14651,100000,0.13625,0.67769,0.281123,0.0923999,0.038493400000000004,0.231426,0.0317075,0,1,0,1,3409.68,2,2,1807.48,1807.96,1812.11,1972.77,1807.51,1808.02,1806.33,1806.33,1806.29,1806.29,1806.36,1806.36,0
,16922,0.16922,100000,0.155633,0.61195,1.0,0.09536309999999999,0.155633,0.61195,0.09536309999999999,0,1,0,1,10370.0,2,0,1807.49,1808.07,1811.83,2261.03,1807.6,1808.28,1806.38,1806.38,1806.34,1806.34,1806.41,1806.41,0
,37620,0.3762,100000,0.313338,0.16033,1.0,0.0502651,0.313338,0.16033,0.0502651,0,1,0,1,6035.65,2,0,1807.2,1808.45,1808.79,1878.0,1807.2,1808.47,1806.83,1806.83,1806.8,1806.8,1806.84,1806.84,0
,47955,0.47955,100000,0.38063400000000003,0.68078,0.201387,0.259276,0.0770361,0.166163,0.0635918,0,1,0,1,8012.77,1,1,1808.28,1808.76,1816.5,2198.65,1808.35,1808.85,1807.09,1807.09,1807.02,1807.02,1807.21,1807.21,0
,3220,0.0322,100000,0.0316853,0.09464,0.9606830000000001,0.0029946499999999997,0.030591,0.09276090000000001,0.00294983,0,1,0,1,299.767,3,1,1806.29,1807.64,1806.58,1809.79,1806.29,1807.64,1806.06,1806.06,1806.03,1806.03,1806.06,1806.06,0
,49867,0.49867,100000,0.392337,0.03233,0.040298,0.0125753,0.015889,0.00649004,0.00253751,0,1,0,1,321.747,1,2,1807.23,1808.66,1807.55,1809.68,1807.21,1808.65,1807.1,1807.1,1807.07,1807.07,1807.1,1807.1,4
,43137,0.43137,100000,0.350129,0.40699,0.761825,0.142781,0.268064,0.35523099999999996,0.12523399999999998,0,1,0,1,15436.6,1,1,1807.79,1808.67,1812.31,2255.69,1807.84,1808.77,1806.96,1806.96,1806.92,1806.92,1807.03,1807.03,0
,20007,0.20007,100000,0.18126599999999998,0.09131,0.36011800000000005,0.016528,0.065602,0.054795,0.00996792,0,1,0,1,1100.04,1,1,1806.66,1808.01,1807.29,1815.42,1806.65,1808.0,1806.44,1806.44,1806.4,1806.4,1806.44,1806.44,4
,45445,0.45445,100000,0.36492699999999995,0.13095,0.921159,0.0477871,0.337828,0.12568200000000002,0.0460921,0,1,0,1,5739.99,2,1,1807.33,1808.62,1808.77,1862.56,1807.32,1808.62,1807.0,1807.0,1806.97,1806.97,1807.01,1807.01,4
,28648,0.28648,100000,0.248979,0.07782,0.040298,0.0193341,0.0100833,0.011241600000000001,0.00280694,0,1,0,1,322.871,2,2,1806.83,1808.2,1807.46,1810.31,1806.81,1808.18,1806.63,1806.63,1806.6,1806.6,1806.63,1806.63,4
,41391,0.41391,100000,0.338706,0.13892,0.480049,0.0470609,0.163404,0.09625149999999999,0.032768,0,1,0,1,4004.55,3,1,1807.24,1808.52,1808.69,1848.6,1807.23,1808.51,1806.91,1806.91,1806.88,1806.88,1806.92,1806.92,4
,27258,0.27258,100000,0.23847900000000002,0.17008,1.0,0.04059,0.23847900000000002,0.17008,0.04059,0,1,0,1,4639.92,3,0,1806.98,1808.21,1808.4,1864.92,1806.98,1808.23,1806.6,1806.6,1806.57,1806.57,1806.6,1806.6,0
,38020,0.3802,100000,0.316075,0.92987,1.0,0.293856,0.316075,0.92987,0.293856,0,1,0,1,35345.5,1,0,1808.65,1808.75,1818.29,4152.91,1808.81,1809.1,1806.87,1806.87,1806.8,1806.8,1807.01,1807.01,0
,47081,0.47081,100000,0.375209,0.5574,0.121531,0.20946599999999999,0.0458263,0.09073389999999999,0.034263800000000004,0,1,0,1,4301.12,3,1,1808.03,1808.68,1814.69,1981.27,1808.09,1808.75,1807.06,1807.06,1807.0,1807.0,1807.16,1807.16,0
,14166,0.14166,100000,0.132053,0.19958,1.0,0.0263857,0.132053,0.19958,0.0263857,0,1,0,1,2830.78,1,0,1806.72,1807.91,1808.0,1848.47,1806.74,1807.95,1806.31,1806.31,1806.28,1806.28,1806.31,1806.31,0
,23648,0.23648,100000,0.210515,0.06209,0.8004539999999999,0.0130244,0.169346,0.055550699999999995,0.0117114,0,1,0,1,1315.03,2,2,1806.7,1808.09,1807.14,1814.13,1806.69,1808.08,1806.52,1806.52,1806.49,1806.49,1806.52,1806.52,4
,25393,0.25393,100000,0.22415900000000002,0.00061,0.320182,0.000133882,0.0721286,0.000345166,7.62072e-05,0,1,0,1,8.6093,2,2,1806.15,1807.6,1806.56,1808.24,1806.64,1808.1,1806.07,1806.07,1806.52,1806.52,1806.55,1806.55,0
,10216,0.10216,100000,0.09709860000000001,0.75222,0.24153,0.0730633,0.0235689,0.20948,0.020446199999999998,0,1,0,1,2151.23,2,2,1807.47,1807.84,1812.08,1923.36,1807.49,1807.89,1806.22,1806.22,1806.19,1806.19,1806.24,1806.24,0
,13243,0.13243,100000,0.124008,0.11837,0.24153,0.0146737,0.0301007,0.0581738,0.007247290000000001,0,1,0,1,773.932,3,2,1806.55,1807.86,1807.27,1814.62,1806.54,1807.85,1806.29,1806.29,1806.25,1806.25,1806.29,1806.29,4
,14255,0.14255,100000,0.132824,0.62926,0.400434,0.0836792,0.053452,0.317648,0.042447200000000004,0,1,0,1,4555.88,1,2,1807.41,1807.96,1811.65,2012.09,1807.45,1808.05,1806.32,1806.32,1806.28,1806.28,1806.34,1806.34,0
,15042,0.15042,100000,0.139618,0.76693,0.52014,0.10711,0.0729825,0.455511,0.0639272,0,1,0,1,6887.4,1,2,1807.66,1808.01,1812.94,2183.55,1807.74,1808.16,1806.34,1806.34,1806.29,1806.29,1806.38,1806.38,0
,26636,0.26636,100000,0.233733,0.01388,0.7221810000000001,0.00318914,0.169637,0.0117954,0.00272496,0,1,0,1,309.799,3,2,1806.68,1808.15,1806.72,1808.61,1806.67,1808.13,1806.58,1806.58,1806.55,1806.55,1806.58,1806.58,4
,41236,0.41236,100000,0.337682,0.07351,0.840649,0.0247659,0.28528400000000004,0.0673991,0.022820999999999998,0,1,0,1,2785.38,3,2,1807.12,1808.49,1807.85,1823.4,1807.1,1808.48,1806.91,1806.91,1806.88,1806.88,1806.91,1806.91,4
,38764,0.38764,100000,0.321136,0.81271,1.0,0.260971,0.321136,0.81271,0.260971,0,1,0,1,31500.3,2,0,1808.45,1808.73,1816.96,3635.03,1808.59,1809.02,1806.88,1806.88,1806.82,1806.82,1807.0,1807.0,0
