query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2733,0.02733,100000,0.0269601,0.54108,0.201387,0.014586600000000002,0.00543704,0.148136,0.00399821,0,1,0,1,405.306,2,1,249.445,250.127,251.274,265.975,249.456,250.157,248.543,248.543,248.513,248.513,248.545,248.545,0
,20758,0.20758,100000,0.18745299999999998,0.19033,1.0,0.036214699999999996,0.18745299999999998,0.19033,0.036214699999999996,0,1,0,1,4016.62,3,0,249.244,250.445,250.664,305.337,249.255,250.481,248.84,248.84,248.809,248.809,248.845,248.845,0
,14651,0.14651,100000,0.136284,0.67769,0.281123,0.0926633,0.0383664,0.231426,0.0316778,0,1,0,1,3406.18,2,2,249.897,250.377,254.536,415.65,249.925,250.437,248.745,248.745,248.709,248.709,248.778,248.778,0
,16922,0.16922,100000,0.15567799999999998,0.61195,1.0,0.0956568,0.15567799999999998,0.61195,0.0956568,0,1,0,1,10401.5,2,0,249.895,250.471,254.244,704.819,250.001,250.684,248.782,248.782,248.746,248.746,248.818,248.818,0
,37620,0.3762,100000,0.313536,0.16033,1.0,0.0507117,0.313536,0.16033,0.0507117,0,1,0,1,6096.0,2,0,249.487,250.732,251.088,320.987,249.488,250.753,249.119,249.119,249.085,249.085,249.128,249.128,0
,47955,0.47955,100000,0.38093699999999997,0.68078,0.201387,0.26010099999999997,0.0768237,0.166163,0.0635533,0,1,0,1,8005.85,1,1,250.502,250.976,258.743,642.014,250.574,251.07,249.308,249.308,249.255,249.255,249.434,249.434,0
,3220,0.0322,100000,0.0316873,0.09464,0.9606830000000001,0.003038,0.0304843,0.09276090000000001,0.00297899,0,1,0,1,302.807,3,1,248.78,250.123,249.071,252.305,248.782,250.133,248.55,248.55,248.521,248.521,248.551,248.551,0
,49867,0.49867,100000,0.39266,0.03233,0.040298,0.013006400000000001,0.0158457,0.00649004,0.00261205,0,1,0,1,334.021,1,2,249.446,250.882,249.781,251.934,249.429,250.865,249.316,249.316,249.286,249.286,249.318,249.318,4
,43137,0.43137,100000,0.350381,0.40699,0.761825,0.143093,0.267305,0.35523099999999996,0.125046,0,1,0,1,15409.4,1,1,250.039,250.919,254.564,698.808,250.086,251.022,249.218,249.218,249.176,249.176,249.282,249.282,0
,20007,0.20007,100000,0.181328,0.09131,0.36011800000000005,0.016566300000000003,0.0653913,0.054795,0.009945850000000001,0,1,0,1,1097.54,1,1,249.054,250.403,249.685,257.828,249.039,250.387,248.826,248.826,248.796,248.796,248.829,248.829,4
,45445,0.45445,100000,0.36520199999999997,0.13095,0.921159,0.0486718,0.33688300000000004,0.12568200000000002,0.046728599999999995,0,1,0,1,5843.46,2,1,249.568,250.858,251.034,306.025,249.562,250.867,249.247,249.247,249.214,249.214,249.257,249.257,4
,28648,0.28648,100000,0.24909900000000001,0.07782,0.040298,0.019218199999999998,0.0100523,0.011241600000000001,0.00277762,0,1,0,1,318.96,2,2,249.168,250.537,249.802,252.639,249.15,250.519,248.968,248.968,248.938,248.938,248.971,248.971,4
