query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,4500016,0.30000106666666665,15000000,0.262492,0.6562626666666667,0.20019666666666666,0.172296,0.05262226666666667,0.16217933333333334,0.0426466,0,1,0,1,731065.0,2,1,2508.89,2593.63,5152.03,43896500.0,4217.0,4334.74,2345.94,2345.94,4006.54,40072200.0,4046.68,4046.68,0
,5853462,0.3902308,15000000,0.328246,0.6714,1.0,0.22042066666666665,0.328246,0.6714,0.22042066666666665,0,1,0,1,3930440.0,3,0,2554.41,2636.14,5348.97,114223000.0,4287.13,4510.77,2381.98,2381.98,4029.04,4029.04,4082.86,4082.86,0
,3316313,0.22108753333333334,15000000,0.20028533333333334,0.82,0.7201133333333334,0.164246,0.14442666666666668,0.6520926666666667,0.13079866666666667,0,1,0,1,2165510.0,1,1,2545.28,2589.78,5265.39,94922700.0,4260.82,4443.93,2339.79,2339.79,3986.86,3986.86,4023.73,4023.73,0
,6965800,0.46438666666666667,15000000,0.37827466666666665,0.3816926666666667,0.640558,0.14445533333333332,0.24264,0.30548733333333333,0.115874,0,1,0,1,2134320.0,3,1,2498.66,2650.83,4866.49,67693000.0,4195.99,4411.41,2400.47,2400.47,4047.54,61203700.0,4083.6,4083.6,0
,5118730,0.34124866666666664,15000000,0.29323866666666665,0.80336,1.0,0.23559466666666667,0.29323866666666665,0.80336,0.23559466666666667,0,1,0,1,4112050.0,1,0,2574.59,2623.18,5501.44,123833000.0,4316.62,4536.89,2369.76,2369.76,4016.83,4016.83,4073.2,4073.2,0
,2527988,0.16853253333333335,15000000,0.156272,0.19132533333333332,1.0,0.0297784,0.156272,0.19132533333333332,0.0297784,0,1,0,1,481622.0,2,0,2374.48,2572.57,4247.29,1028120.0,4033.66,4271.13,2326.68,2326.68,3973.75,292237.0,3976.47,3976.47,0
,441171,0.0294114,15000000,0.029021,0.9630266666666667,0.20019666666666666,0.0279472,0.005817886666666667,0.19646066666666667,0.005708766666666667,0,1,0,1,86773.5,1,1,2528.13,2537.52,4732.96,935285.0,4187.29,4237.16,2291.99,2291.99,3939.06,268780.0,3941.43,3941.43,0
,4918420,0.32789466666666667,15000000,0.28341333333333335,0.0832,0.96054,0.0234624,0.27260466666666666,0.081542,0.023117133333333335,0,1,0,1,401041.0,3,1,2387.66,2612.47,4164.31,398106.0,4040.95,4282.16,2366.43,2366.43,4013.5,132892.0,4015.77,4015.77,0
,1563168,0.1042112,15000000,0.09943866666666666,0.18782733333333335,0.24013666666666666,0.018597733333333335,0.023911733333333334,0.09204266666666666,0.009154666666666667,0,1,0,1,143886.0,3,2,2357.02,2556.22,4195.25,330967.0,4010.22,4227.99,2310.64,2310.64,3957.71,115934.0,3959.32,3959.32,0
,4605112,0.3070074666666667,15000000,0.267798,0.419516,1.0,0.11240333333333333,0.267798,0.419516,0.11240333333333333,0,1,0,1,1933090.0,1,0,2467.76,2610.12,4749.16,41909400.0,4161.05,4391.56,2361.22,2361.22,4008.29,35435000.0,4034.26,4034.26,0
,5204097,0.3469398,15000000,0.29738933333333334,0.8718333333333333,0.7201133333333334,0.2592853333333333,0.21444933333333333,0.6723866666666667,0.200244,0,1,0,1,3503670.0,1,1,2592.29,2624.11,5641.53,159098000.0,4333.67,4508.52,2371.18,2371.18,4018.25,4018.25,4080.6,4080.6,0
,6950377,0.4633584666666667,15000000,0.377604,0.3295713333333333,1.0,0.12445266666666667,0.377604,0.3295713333333333,0.12445266666666667,0,1,0,1,2291190.0,1,0,2485.61,2650.39,4753.17,52664900.0,4179.11,4412.25,2400.22,2400.22,4047.28,46636300.0,4078.21,4078.21,0
,771690,0.051446,15000000,0.050263333333333333,0.015644466666666666,0.6800866666666666,0.0007776466666666668,0.034230333333333335,0.012901533333333333,0.0006485473333333332,0,1,0,1,9955.52,3,1,3948.78,4190.12,3960.83,5864.35,3949.18,4190.94,3944.59,3944.59,3944.55,3944.55,3944.63,3944.63,0
,7008170,0.4672113333333333,15000000,0.380112,0.22580933333333333,0.24013666666666666,0.08562266666666667,0.09140466666666666,0.11065466666666667,0.0421156,0,1,0,1,776366.0,2,2,2458.47,2648.52,4532.63,4524450.0,4131.6,4343.94,2401.18,2401.18,4048.24,3129860.0,4069.34,4069.34,0
,4188559,0.27923726666666665,15000000,0.246562,0.0640422,1.0,0.015704666666666665,0.246562,0.0640422,0.015704666666666665,0,1,0,1,266704.0,2,0,2370.53,2599.72,4109.83,186771.0,4022.18,4264.17,2354.29,2354.29,4001.36,4001.36,4002.82,4002.82,0
,6277324,0.41848826666666666,15000000,0.3477226666666667,0.45092,1.0,0.15685666666666667,0.3477226666666667,0.45092,0.15685666666666667,0,1,0,1,2832030.0,1,0,2505.23,2640.53,4953.37,77318400.0,4212.06,4441.67,2389.02,2389.02,4036.09,4036.09,4074.53,4074.53,0
,1918000,0.12786666666666666,15000000,0.12072933333333333,0.6698933333333333,1.0,0.080892,0.12072933333333333,0.6698933333333333,0.080892,0,1,0,1,1285000.0,1,0,2482.97,2564.16,4855.01,9240760.0,4180.13,4403.81,2316.54,2316.54,3963.61,2368350.0,3980.69,3980.69,0
,3283813,0.21892086666666666,15000000,0.198512,0.057621,0.159586,0.011373733333333334,0.03172333333333333,0.023018533333333334,0.0045705400000000005,0,1,0,1,75585.2,1,2,2353.6,2584.66,4075.48,50533.3,4002.79,4234.67,2339.25,2339.25,3986.32,3986.32,3987.33,3987.33,0
,1223908,0.08159386666666667,15000000,0.07864866666666667,0.22140666666666667,0.11925933333333333,0.017367,0.009392466666666667,0.05611613333333333,0.004418526666666666,0,1,0,1,68751.5,3,1,2359.47,2550.44,4216.24,166256.0,4010.76,4204.0,2305.0,2305.0,3952.07,3952.07,3953.55,3953.55,0
,3416625,0.227775,15000000,0.20573466666666668,0.6365093333333334,1.0,0.13098066666666666,0.20573466666666668,0.6365093333333334,0.13098066666666666,0,1,0,1,2175050.0,2,0,2501.55,2590.89,4991.08,62605500.0,4208.93,4433.49,2341.46,2341.46,3988.53,3988.53,4017.85,4017.85,0
,1793120,0.11954133333333333,15000000,0.11328866666666666,0.040535666666666664,0.24013666666666666,0.004562106666666667,0.0272422,0.019864,0.002250733333333333,0,1,0,1,35616.9,2,1,3972.27,4207.52,4014.4,19562.5,3972.96,4208.9,3961.62,3961.62,3961.53,3961.53,3961.91,3961.91,0
,1697699,0.11317993333333333,15000000,0.10756533333333333,0.08571933333333333,0.44001,0.009173466666666666,0.0473948,0.056860466666666665,0.006117153333333333,0,1,0,1,96527.6,1,2,2334.12,2558.31,4070.46,92180.9,3984.78,4211.27,2312.88,2312.88,3959.95,3959.95,3960.72,3960.72,0
,4411761,0.2941174,15000000,0.25800866666666666,0.71884,1.0,0.185492,0.25800866666666666,0.71884,0.185492,0,1,0,1,3171500.0,2,0,2540.26,2609.49,5252.03,93369500.0,4265.23,4487.65,2358.01,2358.01,4005.07,4005.07,4048.25,4048.25,0
,1308555,0.087237,15000000,0.08387533333333333,0.13417733333333334,0.8409533333333333,0.011202133333333333,0.07063266666666666,0.12304533333333334,0.010322,0,1,0,1,161005.0,3,2,2339.63,2551.97,4116.26,273277.0,3993.75,4231.11,2306.41,2306.41,3953.48,101389.0,3954.42,3954.42,0
,1145567,0.07637113333333333,15000000,0.07378666666666667,0.23020333333333334,0.24013666666666666,0.016946466666666667,0.0177432,0.112808,0.008334933333333334,0,1,0,1,129389.0,3,1,2360.42,2549.25,4221.06,360614.0,4014.5,4226.21,2303.7,2303.7,3950.77,123450.0,3952.21,3952.21,0
,3037967,0.20253113333333334,15000000,0.18498733333333334,0.08703866666666667,1.0,0.0160204,0.18498733333333334,0.08703866666666667,0.0160204,0,1,0,1,263025.0,2,0,2357.01,2580.59,4113.72,288108.0,4009.79,4250.9,2335.16,2335.16,3982.23,105097.0,3983.67,3983.67,0
,6707979,0.4471986,15000000,0.366988,0.04150773333333333,0.20019666666666666,0.015137133333333334,0.07357066666666667,0.018571933333333332,0.006818266666666667,0,1,0,1,124574.0,3,2,2406.71,2641.74,4130.03,59218.0,4056.14,4291.79,2396.19,2396.19,4043.25,4043.25,4044.77,4044.77,0
,6371361,0.4247574,15000000,0.351974,0.0582222,0.20019666666666666,0.0203798,0.07056066666666666,0.026050533333333334,0.009172466666666667,0,1,0,1,165970.0,3,2,2405.31,2636.27,4156.35,106976.0,4055.62,4287.48,2390.59,2390.59,4037.65,4037.65,4039.7,4039.7,0
,2866766,0.19111773333333335,15000000,0.17544733333333334,0.08036933333333333,0.520396,0.014028266666666667,0.09142733333333333,0.05797706666666667,0.010174066666666667,0,1,0,1,166199.0,3,2,2352.4,2577.9,4098.58,146215.0,4003.55,4231.4,2332.32,2332.32,3979.38,3979.38,3980.63,3980.63,0
,5373198,0.3582132,15000000,0.30554533333333334,0.23864266666666667,1.0,0.07276866666666666,0.30554533333333334,0.23864266666666667,0.07276866666666666,0,1,0,1,1279560.0,1,0,2434.98,2621.52,4471.32,3306000.0,4110.52,4346.46,2373.99,2373.99,4021.06,867981.0,4038.07,4038.07,0
,6730336,0.4486890666666667,15000000,0.367974,0.568568,0.159586,0.209268,0.05880426666666667,0.12033333333333333,0.0443668,0,1,0,1,811497.0,1,2,2517.68,2623.82,5238.31,46342900.0,4242.98,4373.41,2376.31,2376.31,4043.62,4043.62,4095.99,4095.99,0
,6773741,0.4515827333333333,15000000,0.369884,0.23885,0.520396,0.08816933333333334,0.19275066666666665,0.17230266666666666,0.06382893333333334,0,1,0,1,1168790.0,2,1,2458.43,2645.38,4548.48,8061840.0,4135.08,4357.16,2397.28,2397.28,4044.34,5840780.0,4065.94,4065.94,0
,2413565,0.16090433333333334,15000000,0.14970533333333333,0.4347513333333333,1.0,0.06512133333333334,0.14970533333333333,0.4347513333333333,0.06512133333333334,0,1,0,1,1049890.0,3,0,2433.24,2571.88,4586.28,4920350.0,4107.85,4337.92,2324.78,2324.78,3971.85,1276190.0,3978.04,3978.04,0
,5131417,0.34209446666666665,15000000,0.29385733333333336,0.19004666666666667,0.31935933333333333,0.0556234,0.09397533333333333,0.10739933333333333,0.0315738,0,1,0,1,551182.0,2,1,2417.84,2616.5,4367.64,1157690.0,4075.66,4296.08,2369.97,2369.97,4017.04,324890.0,4022.73,4022.73,0
,2769853,0.18465686666666667,15000000,0.170002,0.4399733333333333,0.20019666666666666,0.07483733333333334,0.03408066666666667,0.13279133333333334,0.022633133333333333,0,1,0,1,368763.0,2,1,2431.58,2569.23,4624.2,1773400.0,4109.1,4273.63,2322.37,2322.37,3977.77,480526.0,3993.96,3993.96,0
,6064802,0.40432013333333333,15000000,0.33802133333333334,0.4331606666666667,1.0,0.14648066666666668,0.33802133333333334,0.4331606666666667,0.14648066666666668,0,1,0,1,2628520.0,1,0,2496.94,2636.55,4898.96,71389900.0,4200.13,4430.25,2385.49,2385.49,4032.56,4032.56,4068.17,4068.17,0
,3970556,0.26470373333333336,15000000,0.235228,0.6043453333333333,0.6800866666666666,0.142194,0.16019466666666668,0.49838666666666664,0.11745933333333333,0,1,0,1,1982580.0,2,1,2502.92,2600.2,5003.68,80835800.0,4206.46,4408.94,2350.67,2350.67,3997.74,3997.74,4030.17,4030.17,0
,4359865,0.29065766666666665,15000000,0.255362,0.7630466666666667,0.24013666666666666,0.194874,0.0614062,0.209766,0.0536506,0,1,0,1,915901.0,1,1,2533.73,2592.4,5319.12,69853000.0,4248.73,4350.39,2344.03,2344.03,4004.21,56140000.0,4049.56,4049.56,0
