query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,130329136,0.21720150604752964,600037902,0.8688601141065919,1,1.0,0.8688601141065919,0.8688601141065919,1.0,0.8688601141065919,0,0,1,0,521349000.0,0,0,inf,13318.4,inf,862645000000.0,inf,27479.3,inf,4448.18,inf,821024000000.0,inf,8014.89,1
,149257576,0.24874691332415197,600037902,0.9950504759947647,1,0.6636547435965137,0.9950504759947647,0.6603699510968559,0.6636547435965137,0.6603699510968559,0,0,1,0,396247000.0,0,1,inf,12970.5,inf,656507000000.0,inf,24192.3,inf,2285.12,inf,624874000000.0,inf,8615.36,1
,374565,0.0006242355670392301,600037902,0.002497092258682019,1,1.0,0.002497092258682019,0.002497092258682019,1.0,0.002497092258682019,0,0,1,0,1498350.0,0,0,inf,10055.5,inf,160185000.0,inf,22505.1,inf,2290.87,inf,40558700.0,inf,3939.9,1
,112368217,0.1872685319135057,600037902,0.7491210113590457,1,0.4286795869771573,0.7491210113590457,0.32113304735873166,0.4286795869771573,0.32113304735873166,0,0,1,0,192692000.0,0,2,inf,12040.2,inf,318308000000.0,inf,20114.5,inf,2285.0,inf,302925000000.0,inf,7446.05,1
,124102744,0.2068248415414265,600037902,0.8273510695662688,1,1.0,0.8273510695662688,0.8273510695662688,1.0,0.8273510695662688,0,0,1,0,496442000.0,0,0,inf,13168.3,inf,821006000000.0,inf,27238.9,inf,4344.82,inf,781373000000.0,inf,7817.59,1
,76385106,0.1273004684294093,600037902,0.5092344983234076,1,0.844978289388126,0.5092344983234076,0.43029115184127154,0.844978289388126,0.43029115184127154,0,0,1,0,258191000.0,0,1,inf,11929.4,inf,424088000000.0,inf,23630.6,inf,3552.68,inf,403476000000.0,inf,6309.83,1
,106928201,0.17820241128701234,600037902,0.7128549689516114,1,1.0,0.7128549689516114,0.7128549689516114,1.0,0.7128549689516114,0,0,1,0,427740000.0,0,0,inf,12754.0,inf,706151000000.0,inf,26576.4,inf,4059.71,inf,672003000000.0,inf,7273.96,1
,86837364,0.14471979805035715,600037902,0.5789150966000144,1,0.39381845582147906,0.5789150966000144,0.22798726471115485,0.39381845582147906,0.22798726471115485,0,0,1,0,136801000.0,0,1,inf,11590.6,inf,225183000000.0,inf,18832.4,inf,2284.91,inf,214262000000.0,inf,6639.34,1
,102990580,0.17164012416002347,600037902,0.6866032939365887,1,0.16375815539732355,0.6866032939365887,0.1124370640173327,0.16375815539732355,0.1124370640173327,0,0,1,0,67466500.0,0,2,inf,11603.6,inf,111326000000.0,inf,16757.2,inf,2284.97,inf,105940000000.0,inf,7149.47,1
,78826762,0.13136963804663127,600037902,0.525511803419378,1,1.0,0.525511803419378,0.525511803419378,1.0,0.525511803419378,0,0,1,0,315327000.0,0,0,inf,12076.2,inf,518222000000.0,inf,25494.8,inf,3593.21,inf,493048000000.0,inf,6386.76,1
,93837856,0.15638654772844665,600037902,0.6255854817651169,1,1.0,0.6255854817651169,0.6255854817651169,1.0,0.6255854817651169,0,0,1,0,375375000.0,0,0,inf,12438.3,inf,618609000000.0,inf,26072.2,inf,3842.4,inf,588641000000.0,inf,6860.29,1
,62515876,0.10418654520260621,600037902,0.41677200584572405,1,0.3506628486278522,0.41677200584572405,0.1461464345963932,0.3506628486278522,0.1461464345963932,0,0,1,0,87693400.0,0,2,inf,11327.4,inf,143471000000.0,inf,17513.9,inf,3322.44,inf,136470000000.0,inf,5873.43,1
,80701569,0.13449411900650235,600037902,0.5380110138442554,1,0.7348085821418661,0.5380110138442554,0.3953350266863642,0.7348085821418661,0.3953350266863642,0,0,1,0,237216000.0,0,1,inf,11951.5,inf,390006000000.0,inf,22523.0,inf,3624.34,inf,371069000000.0,inf,6445.85,1
,149556713,0.24924544349866753,600037902,0.9970453499785752,1,0.1065409364757095,0.9970453499785752,0.10622612302914158,0.1065409364757095,0.10622612302914158,0,0,1,0,63739700.0,0,1,inf,12195.1,inf,105607000000.0,inf,17626.5,inf,2285.12,inf,100518000000.0,inf,8624.86,1
,53472299,0.08911486894706194,600037902,0.3564824810016751,1,1.0,0.3564824810016751,0.3564824810016751,1.0,0.3564824810016751,0,0,1,0,213903000.0,0,0,inf,11464.7,inf,348662000000.0,inf,24522.1,inf,3172.32,inf,331586000000.0,inf,5589.47,1
,117461250,0.19575638406921836,600037902,0.7830755331185729,1,0.7730378338667013,0.7830755331185729,0.6053467602451553,0.7730378338667013,0.6053467602451553,0,0,1,0,363231000.0,0,1,inf,12805.8,inf,600335000000.0,inf,24321.9,inf,4234.56,inf,571337000000.0,inf,7607.25,1
,120860519,0.20142147453878673,600037902,0.8057374348995707,1,0.15698541656456894,0.8057374348995707,0.12648900968925794,0.15698541656456894,0.12648900968925794,0,0,1,0,75898200.0,0,2,inf,11853.2,inf,125482000000.0,inf,17267.2,inf,2285.03,inf,119423000000.0,inf,7714.89,1
,12577167,0.020960620917576635,600037902,0.08384770334057998,1,1.0,0.08384770334057998,0.08384770334057998,1.0,0.08384770334057998,0,0,1,0,50311800.0,0,0,inf,10362.5,inf,75175000000.0,inf,22964.6,inf,2493.44,inf,71158400000.0,inf,4314.94,1
,33057402,0.05509218982636867,600037902,0.2203827450886594,1,1.0,0.2203827450886594,0.2203827450886594,1.0,0.2203827450886594,0,0,1,0,132238000.0,0,0,inf,10856.6,inf,212137000000.0,inf,23742.1,inf,2833.42,inf,201580000000.0,inf,4950.72,1
,39831756,0.06638206664485004,600037902,0.26554489219582667,1,0.0653020415367028,0.26554489219582667,0.017340571262779998,0.0653020415367028,0.017340571262779998,0,0,1,0,10405000.0,0,2,inf,10631.2,inf,16811500000.0,inf,13628.3,inf,2284.76,inf,15980800000.0,inf,5162.27,1
,91812480,0.15301113428664712,600037902,0.6120830013834693,1,1.0,0.6120830013834693,0.6120830013834693,1.0,0.6120830013834693,0,0,1,0,367273000.0,0,0,inf,12389.4,inf,605064000000.0,inf,25994.2,inf,3808.78,inf,575743000000.0,inf,6796.35,1
,120724325,0.2011944988768393,600037902,0.8048291589420297,1,1.0,0.8048291589420297,0.8048291589420297,1.0,0.8048291589420297,0,0,1,0,482928000.0,0,0,inf,13086.8,inf,798413000000.0,inf,27108.5,inf,4288.73,inf,759859000000.0,inf,7710.58,1
,123741328,0.20622251959010415,600037902,0.8249428883577424,1,0.4164103620240976,0.8249428883577424,0.34351496682621224,0.4164103620240976,0.34351496682621224,0,0,1,0,206122000.0,0,2,inf,12210.7,inf,340869000000.0,inf,20365.9,inf,2285.04,inf,324414000000.0,inf,7806.14,1
,134559574,0.22425179068104933,600037902,0.8970633325092854,1,0.7278406889703444,0.8970633325092854,0.652920421683629,0.7278406889703444,0.652920421683629,0,0,1,0,391777000.0,0,1,inf,13141.7,inf,648461000000.0,inf,24418.9,inf,4518.4,inf,617184000000.0,inf,8149.01,1
,51844772,0.08640249528770601,600037902,0.3456314997914915,1,0.28059227498598915,0.3456314997914915,0.09698137368662421,0.28059227498598915,0.09698137368662421,0,0,1,0,58192500.0,0,1,inf,11084.4,inf,94777800000.0,inf,16373.1,inf,3145.3,inf,90132100000.0,inf,5538.42,1
,109285043,0.1821302331665042,600037902,0.7285673097363773,1,0.3141834863624998,0.7285673097363773,0.22890387347564586,0.3141834863624998,0.22890387347564586,0,0,1,0,137351000.0,0,2,inf,11862.2,inf,226813000000.0,inf,18685.7,inf,2284.99,inf,215848000000.0,inf,7348.51,1
,133793379,0.2229748796768508,600037902,0.8919553218489855,1,0.7798724021270244,0.8919553218489855,0.6956127248108404,0.7798724021270244,0.6956127248108404,0,0,1,0,417394000.0,0,1,inf,13180.8,inf,690821000000.0,inf,25008.3,inf,4505.69,inf,657500000000.0,inf,8124.72,1
