query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,8325805,0.013875465153532917,600037902,0.4165970168997758,1,1.0,0.4165970168997758,0.4165970168997758,1.0,0.4165970168997758,0,0,1,0,249974000.0,0,0,inf,8880.26,inf,57344600000.0,inf,19889.6,inf,521.66,inf,54685700000.0,inf,879.882,1
,5157700,0.008595623681118731,600037902,0.2580753640459199,1,0.6636547435965137,0.2580753640459199,0.17116585411966193,0.6636547435965137,0.17116585411966193,0,0,1,0,102706000.0,0,1,inf,8442.79,inf,12136500000.0,inf,15817.0,inf,464.129,inf,8829730000.0,inf,747.539,1
,374565,0.0006242355670392301,600037902,0.01874198273561726,1,1.0,0.01874198273561726,0.01874198273561726,1.0,0.01874198273561726,0,0,1,0,11245900.0,0,0,inf,8160.95,inf,160148000.0,inf,19192.9,inf,376.925,inf,40521800.0,inf,610.11,1
,11704921,0.019506969411408948,600037902,0.5856763361591781,1,0.4286795869771573,0.5856763361591781,0.25088248508675043,0.4286795869771573,0.25088248508675043,0,0,1,0,150539000.0,0,2,inf,8698.3,inf,13274700000.0,inf,13488.8,inf,583.481,inf,12588500000.0,inf,891.889,1
,14665903,0.02444162768904555,600037902,0.7338353102901156,1,0.20097897082507965,0.7338353102901156,0.14737769015131313,0.20097897082507965,0.14737769015131313,0,0,1,0,88432200.0,0,1,inf,8606.64,inf,2915590000.0,inf,10948.9,inf,637.459,inf,2726580000.0,inf,913.456,1
,606746,0.0010111794571270266,600037902,0.03035958218519336,1,1.0,0.03035958218519336,0.03035958218519336,1.0,0.03035958218519336,0,0,1,0,18216900.0,0,0,inf,8178.24,inf,259373000.0,inf,19210.9,inf,381.151,inf,65598900.0,inf,615.661,1
,5118730,0.008530677783751068,600037902,0.256125487219639,1,1.0,0.256125487219639,0.256125487219639,1.0,0.256125487219639,0,0,1,0,153685000.0,0,0,inf,8525.8,inf,31813900000.0,inf,19609.2,inf,463.282,inf,30179200000.0,inf,771.667,1
,19305204,0.03217330761215814,600037902,0.9659706463009399,1,0.3776678093911474,0.9659706463009399,0.364548638129196,0.3776678093911474,0.364548638129196,0,0,1,0,218743000.0,0,2,inf,8958.05,inf,18523600000.0,inf,13233.3,inf,722.031,inf,17645100000.0,inf,1066.4,1
,8829779,0.014715368763488544,600037902,0.44181375729161854,1,0.8839008306511944,0.44181375729161854,0.3904320030770323,0.8839008306511944,0.3904320030770323,0,0,1,0,234274000.0,0,1,inf,8861.32,inf,47003300000.0,inf,18603.3,inf,531.069,inf,44800900000.0,inf,883.7,1
,4668303,0.007780013536544897,600037902,0.23358691098149997,1,0.4145404801445359,0.23358691098149997,0.09676005433403438,0.4145404801445359,0.09676005433403438,0,0,1,0,58059700.0,0,1,inf,8347.0,inf,2675480000.0,inf,12993.9,inf,455.207,inf,2419550000.0,inf,715.538,1
,3449377,0.005748598527697672,600037902,0.1725957637922679,1,1.0,0.1725957637922679,0.1725957637922679,1.0,0.1725957637922679,0,0,1,0,103564000.0,0,0,inf,8401.47,inf,18524500000.0,inf,19463.5,inf,432.895,inf,17423000000.0,inf,715.614,1
,3419596,0.005698966662942569,600037902,0.17110585790962252,1,1.0,0.17110585790962252,0.17110585790962252,1.0,0.17110585790962252,0,0,1,0,102670000.0,0,0,inf,8399.26,inf,18287400000.0,inf,19460.9,inf,432.353,inf,17195300000.0,inf,714.616,1
,10332289,0.017219393917552894,600037902,0.5169940081551715,1,1.0,0.5169940081551715,0.5169940081551715,1.0,0.5169940081551715,0,0,1,0,310216000.0,0,0,inf,9029.63,inf,73317700000.0,inf,20065.3,inf,558.183,inf,70018100000.0,inf,947.833,1
,1924150,0.003206714098537062,600037902,0.09627825143619011,1,0.21068669092173448,0.09627825143619011,0.02026955290567628,0.21068669092173448,0.02026955290567628,0,0,1,0,12162500.0,0,2,inf,8208.34,inf,36492400.0,inf,10641.3,inf,405.183,inf,8884860.0,inf,638.699,1
,17871237,0.029783513575447437,600037902,0.8942201787779732,1,0.20811018701281975,0.8942201787779732,0.18595991957854688,0.20811018701281975,0.18595991957854688,0,0,1,0,111583000.0,0,2,inf,8709.36,inf,4296190000.0,inf,11136.9,inf,695.89,inf,4049240000.0,inf,983.921,1
,16797954,0.027994821567121606,600037902,0.8405152379857498,1,0.7730378338667013,0.8405152379857498,0.6494773058519226,0.7730378338667013,0.6494773058519226,0,0,1,0,389711000.0,0,1,inf,9283.49,inf,72956400000.0,inf,17892.3,inf,676.325,inf,69752600000.0,inf,1111.9,1
,11614500,0.019356277263965237,600037902,0.5811532885467625,1,0.15698541656456894,0.5811532885467625,0.09116574106013724,0.15698541656456894,0.09116574106013724,0,0,1,0,54702900.0,0,2,inf,8482.17,inf,873704000.0,inf,10347.4,inf,581.833,inf,782375000.0,inf,840.439,1
,12577167,0.020960620917576635,600037902,0.6293219124014603,1,1.0,0.6293219124014603,0.6293219124014603,1.0,0.6293219124014603,0,0,1,0,377617000.0,0,0,inf,9196.76,inf,91188900000.0,inf,20262.1,inf,599.047,inf,87172300000.0,inf,1024.03,1
,4730965,0.007884443606364052,600037902,0.23672171295605923,1,0.0653020415367028,0.23672171295605923,0.015447190867619559,0.0653020415367028,0.015447190867619559,0,0,1,0,9268900.0,0,2,inf,8252.22,inf,8631420.0,inf,9149.55,inf,456.35,inf,2187020.0,inf,689.294,1
,9648117,0.016079179278244992,600037902,0.4827611706435171,1,1.0,0.4827611706435171,0.4827611706435171,1.0,0.4827611706435171,0,0,1,0,289675000.0,0,0,inf,8978.7,inf,67871300000.0,inf,20005.4,inf,545.73,inf,64790100000.0,inf,924.645,1
,16000181,0.02666528388735017,600037902,0.8005977595728612,1,0.4164103620240976,0.8005977595728612,0.33313228936661404,0.4164103620240976,0.33313228936661404,0,0,1,0,199892000.0,0,2,inf,8867.48,inf,18342400000.0,inf,13548.5,inf,661.782,inf,17457300000.0,inf,996.179,1
,8891088,0.014817543975747052,600037902,0.4448818968105785,1,0.9830812320919021,0.4448818968105785,0.437279043749473,0.9830812320919021,0.437279043749473,0,0,1,0,262384000.0,0,1,inf,8927.85,inf,59609000000.0,inf,19761.3,inf,532.187,inf,56865300000.0,inf,899.757,1
,5453994,0.00908941582160255,600037902,0.27290109417121455,1,0.28059227498598915,0.27290109417121455,0.07651733306673685,0.28059227498598915,0.07651733306673685,0,0,1,0,45913300.0,0,1,inf,8336.84,inf,907813000.0,inf,11535.4,inf,469.53,inf,770807000.0,inf,723.645,1
,8621747,0.014368670664407463,600037902,0.4314044148497806,1,0.3141834863624998,0.4314044148497806,0.13544061088327716,0.3141834863624998,0.13544061088327716,0,0,1,0,81269500.0,0,2,inf,8497.61,inf,3961200000.0,inf,12035.8,inf,527.277,inf,3689670000.0,inf,799.569,1
,7781931,0.012969065744116944,600037902,0.38938373596273257,1,1.0,0.38938373596273257,0.38938373596273257,1.0,0.38938373596273257,0,0,1,0,233645000.0,0,0,inf,8839.77,inf,53015100000.0,inf,19842.0,inf,511.76,inf,50529900000.0,inf,861.492,1
,14100456,0.02349927555076346,600037902,0.705542097572363,1,0.06318400866617256,0.705542097572363,0.044546519329707275,0.06318400866617256,0.044546519329707275,0,0,1,0,26729600.0,0,1,inf,8463.02,inf,24051700.0,inf,9333.06,inf,627.151,inf,6084090.0,inf,863.634,1
,538113,0.000896798349248278,600037902,0.026925465784993028,1,0.3508995003452299,0.026925465784993028,0.00944120359916864,0.3508995003452299,0.00944120359916864,0,0,1,0,5665080.0,0,2,inf,8168.65,inf,28323100.0,inf,12108.9,inf,379.916,inf,7176510.0,inf,612.169,1
,298368,0.0004972485888066451,600037902,0.014929390243751636,1,0.9571145390745667,0.014929390243751636,0.014286847499843434,0.9571145390745667,0.014286847499843434,0,0,1,0,8572650.0,0,1,inf,8170.5,inf,116859000.0,inf,18729.9,inf,375.546,inf,29579500.0,inf,608.357,1
,17922783,0.029869418148855537,600037902,0.896798349248278,1,0.11933579489117006,0.896798349248278,0.10694191114613956,0.11933579489117006,0.10694191114613956,0,0,1,0,64169200.0,0,2,inf,8610.06,inf,963644000.0,inf,10085.7,inf,696.83,inf,882203000.0,inf,960.294,1
,11426575,0.019043088714752555,600037902,0.5717488826230847,1,0.08072623385714058,0.5717488826230847,0.046121419843241834,0.08072623385714058,0.046121419843241834,0,0,1,0,27674600.0,0,2,inf,8418.3,inf,31811100.0,inf,9469.35,inf,578.407,inf,8045920.0,inf,815.089,1
,14379020,0.023963519557802865,600037902,0.7194795504767963,1,1.0,0.7194795504767963,0.7194795504767963,1.0,0.7194795504767963,0,0,1,0,431715000.0,0,0,inf,9330.9,inf,105533000000.0,inf,20420.1,inf,631.845,inf,100941000000.0,inf,1085.29,1
,1475713,0.002459366308496959,600037902,0.07384000219372809,1,0.03741530314196719,0.07384000219372809,0.002760742270577434,0.03741530314196719,0.002760742270577434,0,0,1,0,1656550.0,0,2,inf,8178.26,inf,898264.0,inf,8786.16,inf,397.008,inf,231375.0,inf,628.525,1
,3770813,0.00628429135464846,600037902,0.18867974776700022,1,0.05882111760333433,0.18867974776700022,0.011090266094557473,0.05882111760333433,0.011090266094557473,0,0,1,0,6654580.0,0,1,inf,8229.74,inf,5587830.0,inf,9059.42,inf,438.847,inf,1417530.0,inf,671.286,1
,2629727,0.004382601484397564,600037902,0.131583187890021,1,0.2270039934910645,0.131583187890021,0.029847947838468378,0.2270039934910645,0.029847947838468378,0,0,1,0,17909900.0,0,1,inf,8232.19,inf,57884200.0,inf,10840.0,inf,418.045,inf,14641900.0,inf,652.718,1
,8329667,0.013881901413621035,600037902,0.4167903380210139,1,1.0,0.4167903380210139,0.4167903380210139,1.0,0.4167903380210139,0,0,1,0,250090000.0,0,0,inf,8880.54,inf,57375200000.0,inf,19890.0,inf,521.73,inf,54715100000.0,inf,880.012,1
,3991876,0.006652706415202418,600037902,0.1997407157123218,1,0.611389711845236,0.1997407157123218,0.12202962472193965,0.611389711845236,0.12202962472193965,0,0,1,0,73222500.0,0,1,inf,8365.61,inf,6402050000.0,inf,15156.9,inf,442.877,inf,5926070000.0,inf,711.007,1
,16686945,0.02780981825378091,600037902,0.8349622554343242,1,0.8795994357036466,0.8349622554343242,0.7342569503217815,0.8795994357036466,0.7342569503217815,0,0,1,0,440582000.0,0,1,inf,9390.47,inf,94886700000.0,inf,19178.6,inf,674.301,inf,90764900000.0,inf,1137.23,1
,6007383,0.010011672562644217,600037902,0.30059101166579305,1,0.23484683139232762,0.30059101166579305,0.07054104392225544,0.23484683139232762,0.07054104392225544,0,0,1,0,42327300.0,0,1,inf,8339.62,inf,536665000.0,inf,11046.8,inf,479.618,inf,430950000.0,inf,731.905,1
,13520025,0.02253195165661385,600037902,0.6764989322291177,1,0.038239084437036115,0.6764989322291177,0.025849867063897573,0.038239084437036115,0.025849867063897573,0,0,1,0,15510900.0,0,1,inf,8428.21,inf,8456850.0,inf,9041.65,inf,616.57,inf,2141690.0,inf,850.75,1
,10855889,0.01809200546134834,600037902,0.5431940197671047,1,0.716149760819609,0.5431940197671047,0.3888054391604082,0.716149760819609,0.3888054391604082,0,0,1,0,233298000.0,0,1,inf,8874.84,inf,37889400000.0,inf,16797.4,inf,568.004,inf,36112700000.0,inf,920.093,1
,8402038,0.014002512127975543,600037902,0.42041177592144835,1,0.08863056787369408,0.42041177592144835,0.03723398126273696,0.08863056787369408,0.03723398126273696,0,0,1,0,22341900.0,0,1,inf,8354.19,inf,28198500.0,inf,9486.39,inf,523.271,inf,7133250.0,inf,758.849,1
,8504225,0.014172813036733803,600037902,0.4255247862659183,1,0.7037555437623005,0.4255247862659183,0.2993027597113357,0.7037555437623005,0.2993027597113357,0,0,1,0,179593000.0,0,1,inf,8729.77,inf,27214200000.0,inf,16494.4,inf,525.134,inf,25870200000.0,inf,848.829,1
,16851470,0.02808400926646797,600037902,0.8431934021394535,1,1.0,0.8431934021394535,0.8431934021394535,1.0,0.8431934021394535,0,0,1,0,505948000.0,0,0,inf,9514.96,inf,125216000000.0,inf,20637.1,inf,676.851,inf,119834000000.0,inf,1169.49,1
,3555920,0.005926158977870701,600037902,0.17792709367882564,1,0.2588986453725718,0.17792709367882564,0.04603109221590472,0.2588986453725718,0.04603109221590472,0,0,1,0,27620400.0,0,2,inf,8267.68,inf,101791000.0,inf,11217.8,inf,434.929,inf,25739900.0,inf,671.605,1
,5587152,0.009311331803169993,600037902,0.2795640066083692,1,0.13840092388030514,0.2795640066083692,0.038663390966925955,0.13840092388030514,0.038663390966925955,0,0,1,0,23199500.0,0,1,inf,8294.88,inf,45714600.0,inf,9961.34,inf,471.958,inf,11562300.0,inf,707.713,1
,10200951,0.01700051107771522,600037902,0.5104227565944659,1,1.0,0.5104227565944659,0.5104227565944659,1.0,0.5104227565944659,0,0,1,0,306273000.0,0,0,inf,9019.85,inf,72272200000.0,inf,20053.8,inf,555.793,inf,69014500000.0,inf,943.38,1
,15744382,0.02623897915035374,600037902,0.7877985680977866,1,0.8631171435567082,0.7877985680977866,0.6797737253604357,0.8631171435567082,0.6797737253604357,0,0,1,0,407890000.0,0,2,inf,9309.93,inf,85625900000.0,inf,18904.2,inf,657.119,inf,81881500000.0,inf,1102.47,1
,15075021,0.025123447951792884,600037902,0.754305683843285,1,0.4575177652694346,0.754305683843285,0.3448548821837591,0.4575177652694346,0.3448548821837591,0,0,1,0,206926000.0,0,2,inf,8869.08,inf,21005300000.0,inf,13993.5,inf,644.917,inf,19998700000.0,inf,983.029,1
,3279576,0.005465614737117056,600037902,0.1640994671699922,1,1.0,0.1640994671699922,0.1640994671699922,1.0,0.1640994671699922,0,0,1,0,98465900.0,0,0,inf,8388.83,inf,17172800000.0,inf,19448.7,inf,429.804,inf,16125400000.0,inf,709.927,1
,3217621,0.005362362926200619,600037902,0.1609994963284836,1,0.7833871800984998,0.1609994963284836,0.126073702590874,0.7833871800984998,0.126073702590874,0,0,1,0,75649000.0,0,2,inf,8358.25,inf,8710490000.0,inf,17030.3,inf,428.762,inf,7802320000.0,inf,698.155,1
,2160156,0.003600032585941546,600037902,0.10808733878947534,1,0.08563509043133745,0.10808733878947534,0.009249315720725921,0.08563509043133745,0.009249315720725921,0,0,1,0,5549940.0,0,1,inf,8198.65,inf,6782530.0,inf,9307.82,inf,409.485,inf,1720670.0,inf,641.715,1
,11302037,0.01883553849236677,600037902,0.5655176095859358,1,0.8000061302794169,0.5655176095859358,0.4522447650315263,0.8000061302794169,0.4522447650315263,0,0,1,0,271365000.0,0,1,inf,8965.07,inf,50404300000.0,inf,17813.0,inf,576.137,inf,48095500000.0,inf,948.461,1
,8471336,0.01411800149917863,600037902,0.4238782236126144,1,0.5461471665501557,0.4238782236126144,0.23133038685946208,0.5461471665501557,0.23133038685946208,0,0,1,0,138807000.0,0,1,inf,8632.49,inf,15212600000.0,inf,14678.7,inf,524.535,inf,14406600000.0,inf,826.788,1
,1793924,0.0029896844749650498,600037902,0.08976216305749299,1,0.2028105217926717,0.08976216305749299,0.018191350852366655,0.2028105217926717,0.018191350852366655,0,0,1,0,10915500.0,0,2,inf,8203.53,inf,31529900.0,inf,10552.4,inf,402.809,inf,7980320.0,inf,636.079,1
,18214283,0.030355220794035773,600037902,0.911384094533415,1,0.264084984418201,0.911384094533415,0.24050647387271212,0.264084984418201,0.24050647387271212,0,0,1,0,144313000.0,0,1,inf,8784.13,inf,7742930000.0,inf,11817.9,inf,702.144,inf,7337650000.0,inf,1007.29,1
,14887715,0.024811291004080607,600037902,0.7449329425860168,1,1.0,0.7449329425860168,0.7449329425860168,1.0,0.7449329425860168,0,0,1,0,446989000.0,0,0,inf,9368.77,inf,109583000000.0,inf,20464.8,inf,641.105,inf,104828000000.0,inf,1102.6,1
,13089414,0.021814311989911597,600037902,0.654951960018019,1,1.0,0.654951960018019,0.654951960018019,1.0,0.654951960018019,0,0,1,0,392996000.0,0,0,inf,9234.89,inf,95266700000.0,inf,20307.0,inf,608.371,inf,91086500000.0,inf,1041.44,1
,19908044,0.03317797748049589,600037902,0.9961354074596441,1,0.656691850109162,0.9961354074596441,0.653735370203331,0.656691850109162,0.653735370203331,0,0,1,0,392266000.0,0,1,inf,9330.0,inf,62409800000.0,inf,16681.2,inf,733.02,inf,59670800000.0,inf,1169.93,1
,5537929,0.009229298651870829,600037902,0.27710082887397336,1,0.4863726091756117,0.27710082887397336,0.1346748259245797,0.4863726091756117,0.1346748259245797,0,0,1,0,80810000.0,0,1,inf,8406.41,inf,6071600000.0,inf,13841.2,inf,471.06,inf,5653690000.0,inf,743.111,1
,2712945,0.004521289390149224,600037902,0.13574709152289516,1,1.0,0.13574709152289516,0.13574709152289516,1.0,0.13574709152289516,0,0,1,0,81453400.0,0,0,inf,8346.63,inf,12661900000.0,inf,19399.3,inf,419.49,inf,11795500000.0,inf,690.974,1
,16258933,0.02709650998013122,600037902,0.8135452750116442,1,1.0,0.8135452750116442,0.8135452750116442,1.0,0.8135452750116442,0,0,1,0,488158000.0,0,0,inf,9470.85,inf,120499000000.0,inf,20585.1,inf,666.065,inf,115306000000.0,inf,1149.3,1
,19441178,0.03239991663059978,600037902,0.9727752164562431,1,0.14705887695740927,0.9727752164562431,0.14295030316268253,0.14705887695740927,0.14295030316268253,0,0,1,0,85775600.0,0,2,inf,8681.78,inf,2029770000.0,inf,10456.4,inf,724.509,inf,1895620000.0,inf,999.128,1
,15288050,0.025478473858139714,600037902,0.7649650104936204,1,0.20708691831936976,0.7649650104936204,0.15829783365918107,0.20708691831936976,0.15829783365918107,0,0,1,0,94984700.0,0,2,inf,8631.04,inf,3363870000.0,inf,11040.5,inf,648.8,inf,3154690000.0,inf,928.197,1
,6385264,0.010641434447252634,600037902,0.3194981506351577,1,0.256637121566364,0.3194981506351577,0.08193515748943472,0.256637121566364,0.08193515748943472,0,0,1,0,49164200.0,0,2,inf,8389.29,inf,1051500000.0,inf,11302.8,inf,486.507,inf,917321000.0,inf,742.282,1
,11819052,0.019697175729409173,600037902,0.5913876420426522,1,0.7339803011310442,0.5913876420426522,0.4338542600930566,0.7339803011310442,0.4338542600930566,0,0,1,0,260329000.0,0,1,inf,8945.33,inf,44093100000.0,inf,17072.9,inf,585.562,inf,42061200000.0,inf,952.006,1
,13104303,0.021839125422447064,600037902,0.6556969129593417,1,0.5638777131781919,0.6556969129593417,0.3694616611068679,0.5638777131781919,0.3694616611068679,0,0,1,0,221691000.0,0,1,inf,8874.49,inf,28093600000.0,inf,15148.2,inf,608.991,inf,26764400000.0,inf,954.912,1
,2456033,0.004093129770325742,600037902,0.12289207024125619,1,1.0,0.12289207024125619,0.12289207024125619,1.0,0.12289207024125619,0,0,1,0,73739900.0,0,0,inf,8327.49,inf,10616400000.0,inf,19376.9,inf,414.813,inf,9832090000.0,inf,682.395,1
,16146642,0.026909370135088567,600037902,0.8079256300046193,1,0.37984600512785605,0.8079256300046193,0.3066622948095036,0.37984600512785605,0.3066622948095036,0,0,1,0,184009000.0,0,2,inf,8835.69,inf,15133200000.0,inf,13118.8,inf,664.452,inf,14390000000.0,inf,990.469,1
,18931877,0.031551135248119706,600037902,0.947290159680613,1,1.0,0.947290159680613,0.947290159680613,1.0,0.947290159680613,0,0,1,0,568410000.0,0,0,inf,9669.84,inf,141777000000.0,inf,20819.8,inf,714.72,inf,135731000000.0,inf,1240.45,1
,2431605,0.004052419008691221,600037902,0.12166981411784218,1,1.0,0.12166981411784218,0.12166981411784218,1.0,0.12166981411784218,0,0,1,0,73006500.0,0,0,inf,8325.67,inf,10422000000.0,inf,19374.8,inf,414.369,inf,9645440000.0,inf,681.58,1
,10220380,0.017032890698961214,600037902,0.5113960284462163,1,0.14504450420533602,0.5113960284462163,0.07412081778794033,0.14504450420533602,0.07412081778794033,0,0,1,0,44475300.0,0,2,inf,8436.06,inf,414025000.0,inf,10171.8,inf,556.419,inf,345418000.0,inf,809.797,1
,448968,0.0007482327341381845,600037902,0.02246491422470176,1,0.35508423599547884,0.02246491422470176,0.007971079800222353,0.35508423599547884,0.007971079800222353,0,0,1,0,4782950.0,0,2,inf,8165.38,inf,24203200.0,inf,12150.7,inf,378.291,inf,6135480.0,inf,610.378,1
,19628765,0.03271254188206264,600037902,0.982161290204631,1,0.3820591986537544,0.982161290204631,0.3749679799393739,0.3820591986537544,0.3749679799393739,0,0,1,0,224995000.0,0,1,inf,8976.23,inf,19372000000.0,inf,13301.2,inf,727.929,inf,18458000000.0,inf,1075.61,1
,18439595,0.030730717073935772,600037902,0.9226583823366544,1,0.49062400728146005,0.9226583823366544,0.4523464252763153,0.49062400728146005,0.4523464252763153,0,0,1,0,271425000.0,0,2,inf,9055.5,inf,30912400000.0,inf,14563.8,inf,706.251,inf,29496400000.0,inf,1078.57,1
