query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,75434669,0.1257165068215974,600037902,0.005287499322001163,1,1.0,0.005287499322001163,0.005287499322001163,1.0,0.005287499322001163,0,0,0,0,2264850000.0,0,0,inf,14597.0,inf,601382000000.0,inf,27431.5,inf,2809.28,inf,577292000000.0,inf,5018.85,1
,38712132,0.06451614451515097,600037902,0.005287199340950966,1,0.6636547435965137,0.005287199340950966,0.003550542378904591,0.6636547435965137,0.003550542378904591,0,0,0,0,776832000.0,0,1,inf,11367.7,inf,132950000000.0,inf,19811.6,inf,2208.73,inf,127468000000.0,inf,3605.13,1
,374565,0.0006242355670392301,600037902,0.0051326757688716805,1,1.0,0.0051326757688716805,0.0051326757688716805,1.0,0.0051326757688716805,0,0,0,0,11245900.0,0,0,inf,9362.59,inf,160168000.0,inf,21142.3,inf,1579.66,inf,40541700.0,inf,2560.08,1
,36256059,0.060422948082369636,600037902,0.005287182675337065,1,0.26696313593870274,0.005287182675337065,0.001436990891952022,0.26696313593870274,0.001436990891952022,0,0,0,0,294555000.0,0,2,inf,10469.9,inf,18799800000.0,inf,14386.0,inf,2168.43,inf,17963600000.0,inf,3301.89,1
,36662094,0.06109963033635165,600037902,0.005287182675337065,1,0.01358767499990359,0.005287182675337065,7.601219830943279e-05,0.01358767499990359,7.601219830943279e-05,0,0,0,0,15845400.0,0,1,inf,9980.93,inf,3098660.0,inf,11095.0,inf,2175.09,inf,801306.0,inf,3156.52,1
,65931088,0.1098782056604151,600037902,0.005287415993931664,1,0.1334575694853356,0.005287415993931664,0.0007470244771304464,0.1334575694853356,0.0007470244771304464,0,0,0,0,278541000.0,0,2,inf,10928.2,inf,8822430000.0,inf,13413.5,inf,2655.35,inf,8427120000.0,inf,3780.18,1
,8085928,0.013475695406987807,600037902,0.005286949356742468,1,0.4145404801445359,0.005286949356742468,0.0022159933490334747,0.4145404801445359,0.0022159933490334747,0,0,0,0,101282000.0,0,1,inf,9664.38,inf,7606400000.0,inf,15083.5,inf,1706.2,inf,7159950000.0,inf,2736.65,1
,26299066,0.04382900798823205,600037902,0.005287099347267566,1,0.8294059397601187,0.005287099347267566,0.004430220142993567,0.8294059397601187,0.004430220142993567,0,0,0,0,658417000.0,0,2,inf,10953.8,inf,139729000000.0,inf,21157.8,inf,2005.05,inf,133921000000.0,inf,3336.49,1
,78031731,0.13004467007819115,600037902,0.005287515987615062,1,0.3206747429764862,0.005287515987615062,0.0017192080642932453,0.3206747429764862,0.0017192080642932453,0,0,0,0,758403000.0,0,2,inf,11979.7,inf,62655600000.0,inf,16690.2,inf,2853.9,inf,60069400000.0,inf,4240.19,1
,49997733,0.08332429140451197,600037902,0.005287299334634364,1,0.41616704406116,0.005287299334634364,0.0022244928121223917,0.41616704406116,0.0022244928121223917,0,0,0,0,628655000.0,0,1,inf,11289.3,inf,66760100000.0,inf,16969.8,inf,2393.91,inf,63978200000.0,inf,3708.96,1
,15338985,0.02556336016253853,600037902,0.005287016019198067,1,0.1065409364757095,0.005287016019198067,0.0005932175264488542,0.1065409364757095,0.0005932175264488542,0,0,0,0,51464200.0,0,1,inf,9694.47,inf,525229000.0,inf,11793.0,inf,1825.21,inf,466914000.0,inf,2829.67,1
,53472299,0.08911486894706194,600037902,0.005287316000248264,1,1.0,0.005287316000248264,0.005287316000248264,1.0,0.005287316000248264,0,0,0,0,1605450000.0,0,0,inf,13065.5,inf,423692000000.0,inf,25585.8,inf,2449.5,inf,406615000000.0,inf,4293.86,1
,43513154,0.07251734241281312,600037902,0.005287249337792665,1,0.4197168198218252,0.005287249337792665,0.00224302497477901,0.4197168198218252,0.00224302497477901,0,0,0,0,551674000.0,0,1,inf,11046.1,inf,58625600000.0,inf,16728.9,inf,2287.51,inf,56163500000.0,inf,3560.47,1
,61795448,0.10298590771354307,600037902,0.005287382662703863,1,0.15698541656456894,0.005287382662703863,0.0008744997578502966,0.15698541656456894,0.0008744997578502966,0,0,0,0,305558000.0,0,2,inf,10908.4,inf,11520400000.0,inf,13655.4,inf,2587.49,inf,11010300000.0,inf,3726.86,1
,12577167,0.020960620917576635,600037902,0.0052869826879702675,1,1.0,0.0052869826879702675,0.0052869826879702675,1.0,0.0052869826879702675,0,0,0,0,377616000.0,0,0,inf,10213.6,inf,92822300000.0,inf,22160.0,inf,1779.56,inf,88805700000.0,inf,2954.99,1
,33057402,0.05509218982636867,600037902,0.005287149344109266,1,1.0,0.005287149344109266,0.005287149344109266,1.0,0.005287149344109266,0,0,0,0,992514000.0,0,0,inf,11641.8,inf,258522000000.0,inf,23873.1,inf,2115.06,inf,247965000000.0,inf,3622.99,1
,39831756,0.06638206664485004,600037902,0.005287216006564865,1,0.0653020415367028,0.005287216006564865,0.0003617871459059931,0.0653020415367028,0.0003617871459059931,0,0,0,0,81540500.0,0,2,inf,10149.8,inf,851065000.0,inf,11829.5,inf,2227.1,inf,794433000.0,inf,3247.19,1
,43202549,0.07199970011227724,600037902,0.005287232672178765,1,1.0,0.005287232672178765,0.005287232672178765,1.0,0.005287232672178765,0,0,0,0,1297110000.0,0,0,inf,12349.3,inf,340603000000.0,inf,24723.8,inf,2281.26,inf,326806000000.0,inf,3955.93,1
,14137321,0.023560713336405206,600037902,0.005286999353584168,1,1.0,0.005286999353584168,0.005286999353584168,1.0,0.005286999353584168,0,0,0,0,424459000.0,0,0,inf,10322.4,inf,105445000000.0,inf,22290.2,inf,1805.12,inf,100930000000.0,inf,3005.59,1
,11680536,0.019466330311914196,600037902,0.0052869826879702675,1,0.9830812320919021,0.0052869826879702675,0.005222003459374805,0.9830812320919021,0.005222003459374805,0,0,0,0,344662000.0,0,1,inf,10156.6,inf,82521900000.0,inf,21904.2,inf,1765.18,inf,78917900000.0,inf,2925.72,1
,20193841,0.03365427572606905,600037902,0.0052870493504258665,1,0.7278406889703444,0.0052870493504258665,0.003901636866932449,0.7278406889703444,0.003901636866932449,0,0,0,0,445286000.0,0,1,inf,10474.8,inf,80810900000.0,inf,19465.2,inf,1904.87,inf,77364400000.0,inf,3119.9,1
