query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
dfd747be2360271e381207ecfe6ec4b0,8325805,0.013875465153532917,600037902,0.49995593778341024,1,1.0,0.49995593778341024,0.49995593778341024,1.0,0.49995593778341024,0,0,1,0,274951553,0,0,10473661760.28,473661760.28,162749436107872.03,162739436107872.03,10273605998.6,273605998.6,-1,-1,-1,-1,-1,-1,5
3f4d51aea9526e6bf5e996bc0d86901c,5157700,0.008595623681118731,600037902,0.49995593778341024,1,0.6653564644321418,0.49995593778341024,0.33267823138279023,0.6653564644321418,0.33267823138279023,0,0,1,0,113338817,0,1,10305045116.8,305045116.8,67093453603954.04,67083453603954.04,10189262374.76,189262374.76,-1,-1,-1,-1,-1,-1,5
c90859501c8513cc587db97d4e133a80,374565,0.0006242355670392301,600037902,0.49995593778341024,1,1.0,0.49995593778341024,0.49995593778341024,1.0,0.49995593778341024,0,0,1,0,12369642,0,0,10072147698.42,72147698.42,7331418737617.96,7321418737617.96,10263169991.47,263169991.47,-1,-1,-1,-1,-1,-1,1
1e657f518ab6b7a58eb7e860135e7da6,11704921,0.019506969411408948,600037902,0.49995593778341024,1,0.4278275408009143,0.49995593778341024,0.21391377040045714,0.4278275408009143,0.21391377040045714,0,0,1,0,165388551,0,2,10628726410.16,628726410.16,97900859355516.19,97890859355516.19,10139743406.93,139743406.93,-1,-1,-1,-1,-1,-1,5
a9ff5ceb82671813fbbc8874f3300d82,14665903,0.02444162768904555,600037902,0.49995593778341024,1,0.19598057157396034,0.49995593778341024,0.09799028662026087,0.19598057157396034,0.09799028662026087,0,0,1,0,94927063,0,1,10768435023.57,768435023.57,56195843031876.05,56185843031876.05,10084590742.59,84590742.59,-1,-1,-1,-1,-1,-1,5
bb1b8f699c85a7c1e0afd81c18f594da,606746,0.0010111794571270266,600037902,0.49995593778341024,1,1.0,0.49995593778341024,0.49995593778341024,1.0,0.49995593778341024,0,0,1,0,20037192,0,0,10083872151.84,83872151.84,11869718511117.81,11859718511117.81,10263419052.96,263419052.96,-1,-1,-1,-1,-1,-1,1
71be6be6f4b635b027b2bdf8bf2acf07,5118730,0.008530677783751068,600037902,0.49995593778341024,1,1.0,0.49995593778341024,0.49995593778341024,1.0,0.49995593778341024,0,0,1,0,169041043,0,0,10311713973.65,311713973.65,100062705728999.38,100052705728999.38,10269414655.57,269414655.57,-1,-1,-1,-1,-1,-1,5
82fb465d2cca105b60ef17e50a156c8d,19305204,0.03217330761215814,600037902,0.49995593778341024,1,0.3763725795441502,0.49995593778341024,0.1881862889387944,0.3763725795441502,0.1881862889387944,0,0,1,0,239972009,0,2,11009282716.53,1009282716.53,142045619458835.6,142035619458835.6,10134441680.49,134441680.49,-1,-1,-1,-1,-1,-1,5
a47c3bed0326707e8a9f1184f39dbcc5,8829779,0.014715368763488544,600037902,0.49995593778341024,1,0.8838856349444406,0.49995593778341024,0.4419428174722203,0.8838856349444406,0.4419428174722203,0,0,1,0,257759171,0,1,10496954726.11,496954726.11,152573547389253.53,152563547389253.53,10247154207.62,247154207.62,-1,-1,-1,-1,-1,-1,5
27600f032583f42d3efccf47649d206d,4668303,0.007780013536544897,600037902,0.49995593778341024,1,0.4136500813910252,0.49995593778341024,0.2068250415287933,0.4136500813910252,0.2068250415287933,0,0,1,0,63776454,0,1,10272800330.93,272800330.93,37758288701262.95,37748288701262.95,10127771189.29,127771189.29,-1,-1,-1,-1,-1,-1,5
