query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
73ba2cfd93b39a1c9f57ad6eb7efeaad,1,0.04,25,0.04,2.28,2.28,0.04,0.04,0.76,0.04,0,0,1,0,1,2,1,58.54,26.09,58.68,26.23,58.97,26.52,-1,-1,-1,-1,-1,-1,1
be2abcc743987d66dff26cc85becec63,2,0.08,25,0.08,2.28,1.0,0.04,0.08,2.28,0.04,0,0,1,0,1,3,0,59.59,27.13,61.19,28.74,61.31,28.86,-1,-1,-1,-1,-1,-1,1
0fcb0df908d74bb88d760dc76621ea5e,1,0.04,25,0.04,2.28,2.28,0.04,0.04,0.76,0.04,0,0,1,0,1,1,2,58.54,26.09,58.68,26.23,58.97,26.52,-1,-1,-1,-1,-1,-1,1
c4988b2f170335145a89d548df66ca5e,3,0.12,25,0.12,2.28,2.28,0.04,0.04,0.76,0.04,0,0,1,0,1,1,1,59.85,27.12,60.64,27.9,60.28,27.55,-1,-1,-1,-1,-1,-1,1
0eb15d363c0da65d47953f7b31308145,2,0.08,25,0.08,2.28,1.0,0.04,0.08,2.28,0.04,0,0,1,0,1,1,0,59.3,26.28,60.91,27.89,61.03,28.01,-1,-1,-1,-1,-1,-1,1
1294363eea95bd4193fe6d4c071be99f,4,0.16,25,0.16,2.28,2.28,0.04,0.04,0.76,0.04,0,0,1,0,1,1,1,60.26,27.53,61.32,28.58,60.7,27.96,-1,-1,-1,-1,-1,-1,1
d5b1054e97e1157fcc4ee3f5437cc685,4,0.16,25,0.16,2.28,1.0,0.04,0.16,2.28,0.04,0,0,1,0,1,1,0,60.26,27.24,63.55,30.53,62.0,28.99,-1,-1,-1,-1,-1,-1,1
7a9277b248bd367a7a78503329ad9daa,2,0.08,25,0.08,2.28,2.28,0.04,0.04,0.76,0.04,0,0,1,0,1,2,2,59.59,27.42,60.1,27.93,60.01,27.84,-1,-1,-1,-1,-1,-1,1
89fafd88a1897e304d2e60131babdac4,2,0.08,25,0.08,2.28,1.0,0.04,0.08,2.28,0.04,0,0,1,0,1,2,0,59.44,26.71,61.05,28.31,61.17,28.44,-1,-1,-1,-1,-1,-1,1
0ebeda1e5772da4d2eca7987115a4a83,4,0.16,25,0.16,2.28,1.0,0.04,0.16,2.28,0.04,0,0,1,0,1,3,0,60.55,28.09,63.84,31.38,62.29,29.84,-1,-1,-1,-1,-1,-1,1
cc49a42b82ca4567d56c6b3ed686195e,3,0.12,25,0.12,2.28,1.0,0.04,0.12,2.28,0.04,0,0,1,0,1,1,0,59.85,26.84,62.3,29.28,61.59,28.57,-1,-1,-1,-1,-1,-1,1
5c8c9274165a4f9127adddf475216cca,2,0.08,25,0.08,2.28,1.0,0.04,0.08,2.28,0.04,0,0,1,0,1,2,0,59.44,26.71,61.05,28.31,61.17,28.44,-1,-1,-1,-1,-1,-1,1
d81b3d3c2b68ced6078aed75c4a3a673,2,0.08,25,0.08,2.28,2.28,0.04,0.04,0.76,0.04,0,0,1,0,1,1,2,59.44,26.99,59.95,27.5,59.87,27.41,-1,-1,-1,-1,-1,-1,1
