query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,2215105,0.014767366666666667,150000000,0.0020080133333333335,0.0380582,1.0,7.430733333333334e-05,0.0020080133333333335,0.0380582,7.430733333333334e-05,0,1,0,1,81873.7,2,0,18690.5,20266.0,18667.6,538083.0,18702.9,20339.8,18621.9,18621.9,18621.8,287687.0,18622.3,18622.3,2
,69941848,0.4662789866666667,150000000,0.002009313333333333,0.04478833333333333,0.23723133333333332,8.848133333333334e-05,0.0004766726666666666,0.0218148,4.3095999999999995e-05,0,1,0,1,1498130.0,3,1,12461.4,14029.1,20653.8,66392500.0,20258.6,21860.8,12383.7,12383.7,20122.8,20122.8,20171.8,20171.8,0
,48220335,0.3214689,150000000,0.002009313333333333,0.383824,0.5825853333333333,0.0007837933333333333,0.0011705933333333333,0.29296266666666665,0.0005982473333333334,0,1,0,1,14332200.0,1,1,12566.9,13579.4,22998.2,8916950000.0,20749.1,22266.5,11902.2,11902.2,19641.4,19641.4,19953.3,19953.3,0
,65931088,0.4395405866666667,150000000,0.002009313333333333,0.6481093333333333,0.8449066666666667,0.0013105733333333334,0.0016976733333333334,0.5957333333333333,0.00120466,0,1,0,1,39459000.0,1,1,13450.5,14030.2,27509.2,42114500000.0,22179.4,23809.2,12294.8,12294.8,20033.9,20033.9,20760.0,20760.0,0
,8085928,0.05390618666666667,150000000,0.0020093066666666665,0.4128793333333333,0.36561266666666664,0.0008398333333333334,0.0007346266666666667,0.23492666666666667,0.000477862,0,1,0,1,1919670.0,1,1,11694.3,12659.1,19659.9,1105140000.0,19598.5,20965.4,11012.8,11012.8,18751.9,1041860000.0,18805.9,18805.9,0
,30790272,0.20526848,150000000,0.002009313333333333,0.8436066666666666,0.7297933333333333,0.0016959866666666668,0.00146638,0.6703,0.0013475733333333333,0,1,0,1,20613500.0,1,2,12948.8,13208.3,24163.3,28685300000.0,21430.5,22875.8,11515.9,11515.9,19255.1,19255.1,19689.1,19689.1,0
,62515876,0.41677250666666665,150000000,0.002009313333333333,0.0320706,1.0,6.178773333333333e-05,0.002009313333333333,0.0320706,6.178773333333333e-05,0,1,0,1,1920490.0,3,0,12276.0,13861.3,20293.6,55207700.0,20059.8,21696.5,12219.1,12219.1,19958.2,50289000.0,19988.5,19988.5,0
,49997733,0.33331822,150000000,0.002009313333333333,0.162954,0.32965,0.0003311186666666667,0.0006623693333333333,0.09356,0.00019011199999999998,0,1,0,1,4722690.0,2,1,12221.6,13595.8,21143.3,1164100000.0,20135.7,21665.3,11941.6,11941.6,19680.8,19680.8,19814.9,19814.9,0
,53472299,0.35648199333333336,150000000,0.002009313333333333,0.19066,0.22522133333333333,0.000391514,0.00045254,0.09048266666666667,0.0001858026666666667,0,1,0,1,4936350.0,3,1,12345.6,13674.4,21593.4,1418550000.0,20293.6,21772.5,12018.6,12018.6,19757.8,19757.8,19928.3,19928.3,0
,61795448,0.41196965333333335,150000000,0.002009313333333333,0.07710933333333334,0.32386,0.00015379466666666668,0.0006507366666666667,0.043882066666666664,8.752266666666666e-05,0,1,0,1,2687520.0,3,2,12336.9,13851.6,20766.1,276146000.0,20170.8,21756.6,12203.1,12203.1,19942.2,19942.2,20018.3,20018.3,0
,53889933,0.35926622,150000000,0.002009313333333333,0.03882886666666667,1.0,7.597266666666667e-05,0.002009313333333333,0.03882886666666667,7.597266666666667e-05,0,1,0,1,2035150.0,2,0,12096.1,13670.4,20127.0,75954500.0,19885.0,21521.9,12027.9,12027.9,19767.0,69644300.0,19799.2,19799.2,0
,35625925,0.23750616666666666,150000000,0.002009313333333333,0.41409266666666666,1.0,0.0008421733333333334,0.002009313333333333,0.41409266666666666,0.0008421733333333334,0,1,0,1,14906000.0,1,0,12334.5,13295.8,22123.3,10097000000.0,20511.0,22193.8,11623.1,11623.1,19362.3,19362.3,19608.6,19608.6,0
,34869071,0.23246047333333333,150000000,0.002009313333333333,0.11588,0.17542866666666668,0.00023521333333333333,0.00035249066666666665,0.04853553333333333,9.851733333333334e-05,0,1,0,1,1706950.0,1,1,11801.5,13252.8,20100.2,270013000.0,19627.4,21157.5,11606.3,11606.3,19345.5,19345.5,19410.9,19410.9,0
,341846,0.0022789733333333333,150000000,0.0013621666666666667,0.010847866666666667,0.6366066666666667,1.37404e-05,0.0008671666666666667,0.008655266666666666,1.09632e-05,0,1,0,1,2751.63,1,1,18599.5,20222.8,18587.1,23691.1,18602.3,20238.8,18580.3,18580.3,18580.3,18580.3,18580.3,18580.3,2
,51844772,0.3456318133333333,150000000,0.002009313333333333,0.4918106666666667,0.04026126666666666,0.0009990733333333334,8.089733333333334e-05,0.028234933333333333,5.735693333333334e-05,0,1,0,1,1477350.0,1,2,12623.0,13459.1,24258.5,831493000.0,20976.7,21857.3,11813.0,11813.0,19721.7,19721.7,20152.1,20152.1,0
,74773797,0.49849198,150000000,0.002009313333333333,0.08235533333333334,0.7188733333333334,0.00016420199999999998,0.0014444466666666666,0.069826,0.00013922066666666665,0,1,0,1,5172680.0,3,1,12638.3,14144.5,21281.9,621348000.0,20506.6,22127.6,12490.7,12490.7,20229.9,20229.9,20328.7,20328.7,0
,34092545,0.22728363333333335,150000000,0.002009313333333333,0.13959933333333333,0.548748,0.0002827186666666667,0.0011026066666666666,0.103412,0.00020943133333333334,0,1,0,1,3547550.0,3,2,11826.8,13239.2,20220.5,756632000.0,19690.3,21275.0,11589.1,11589.1,19328.3,19328.3,19405.4,19405.4,0
,23518783,0.15679188666666666,150000000,0.0020093066666666665,0.523248,1.0,0.00106158,0.0020093066666666665,0.523248,0.00106158,0,1,0,1,12404000.0,3,0,12238.7,13021.6,21549.5,10665800000.0,20426.6,22128.1,11354.8,11354.8,19093.9,19093.9,19298.1,19298.1,0
,66097362,0.44064908,150000000,0.002009313333333333,0.32754733333333336,1.0,0.0006717066666666666,0.002009313333333333,0.32754733333333336,0.0006717066666666666,0,1,0,1,22058200.0,3,0,12885.2,13987.8,23871.9,11750300000.0,21137.7,22806.9,12298.5,12298.5,20037.6,20037.6,20405.3,20405.3,0
,26065964,0.17377309333333332,150000000,0.0020093066666666665,0.3389893333333333,1.0,0.00069382,0.0020093066666666665,0.3389893333333333,0.00069382,0,1,0,1,8985110.0,1,0,11986.1,13070.0,20896.1,4958230000.0,20030.1,21701.0,11411.2,11411.2,19150.4,19150.4,19297.2,19297.2,0
,35030145,0.2335343,150000000,0.002009313333333333,0.380716,1.0,0.00077748,0.002009313333333333,0.380716,0.00077748,0,1,0,1,13530700.0,3,0,12263.6,13279.3,21861.0,8410490000.0,20401.5,22078.9,11609.9,11609.9,19349.1,19349.1,19572.2,19572.2,0
,70609385,0.47072923333333333,150000000,0.002009313333333333,0.501652,0.0491276,0.0010185266666666666,9.871266666666667e-05,0.0347958,7.064733333333334e-05,0,1,0,1,2478270.0,2,2,12995.9,13816.0,26276.1,1546370000.0,21586.2,22461.5,12167.5,12167.5,20137.6,20137.6,20739.5,20739.5,0
,26228041,0.17485360666666666,150000000,0.0020093066666666665,0.48280066666666666,1.0,0.00098126,0.0020093066666666665,0.48280066666666666,0.00098126,0,1,0,1,12786300.0,1,0,12233.6,13082.5,21635.7,10129900000.0,20408.3,22102.7,11414.8,11414.8,19154.0,19154.0,19364.6,19364.6,0
,18604213,0.12402808666666666,150000000,0.0020093066666666665,0.30988,0.16306933333333334,0.0006374533333333333,0.000327656,0.09077533333333333,0.00018673399999999998,0,1,0,1,1726000.0,1,1,11700.0,12835.1,20204.8,806437000.0,19635.1,20919.3,11185.0,11185.0,18985.0,18985.0,19080.4,19080.4,0
,69522429,0.46348286,150000000,0.002009313333333333,0.06152673333333333,0.18922933333333333,0.00012287866666666665,0.0003802213333333333,0.0267644,5.34528e-05,0,1,0,1,1846850.0,3,1,12480.6,14021.1,20846.4,126764000.0,20299.0,21881.9,12374.4,12374.4,20113.5,20113.5,20181.7,20181.7,0
,21610522,0.14407014666666668,150000000,0.0020093066666666665,0.99052,0.15223733333333334,0.001994066666666667,0.00030589200000000005,0.151514,0.00030502066666666667,0,1,0,1,3274780.0,1,1,12877.5,12898.9,23339.0,5104030000.0,21111.3,21385.8,11241.8,11241.8,19051.7,19051.7,19408.3,19408.3,0
,50607700,0.33738466666666667,150000000,0.002009313333333333,0.14953533333333333,0.604466,0.0003030513333333333,0.00121456,0.11626,0.00023561466666666665,0,1,0,1,5924680.0,2,1,12214.9,13611.1,21050.3,1367660000.0,20130.1,21720.7,11955.2,11955.2,19694.3,19694.3,19818.4,19818.4,0
,16851470,0.11234313333333333,150000000,0.0020093066666666665,0.04464013333333333,0.14402133333333333,8.817e-05,0.0002893833333333333,0.016941,3.346066666666667e-05,0,1,0,1,280252.0,1,1,11281.1,12849.0,19102.9,1541430.0,19032.5,20627.0,11207.0,11207.0,18946.2,541033.0,18950.7,18950.7,0
,14827049,0.09884699333333333,150000000,0.0020093066666666665,0.2636753333333333,0.70552,0.0005439553333333333,0.0014176066666666666,0.22147466666666665,0.000456896,0,1,0,1,3365830.0,3,1,11602.3,12811.5,19782.8,1330300000.0,19510.0,21097.5,11162.2,11162.2,18901.3,1259450000.0,18965.6,18965.6,0
,50789088,0.33859392,150000000,0.002009313333333333,0.15845933333333334,0.27587666666666666,0.00032171799999999997,0.000554322,0.08322933333333334,0.00016897866666666666,0,1,0,1,4264200.0,3,2,12230.9,13612.4,21138.9,1008750000.0,20138.4,21657.6,11959.2,11959.2,19698.3,19698.3,19830.7,19830.7,0
,24792774,0.16528516,150000000,0.0020093066666666665,0.28725666666666666,1.0,0.000593124,0.0020093066666666665,0.28725666666666666,0.000593124,0,1,0,1,7305940.0,1,0,11869.5,13037.9,20554.1,3399760000.0,19861.5,21524.7,11383.0,11383.0,19122.2,19122.2,19241.0,19241.0,0
