query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,8325805,0.41629025,20000000,0.3423775,0.742115,0.60049,0.254251,0.205746,0.5173,0.177275,0,1,0,1,4311080.0,2,1,11232.3,11304.3,20597.9,307700000.0,19102.3,19302.4,11018.1,11018.1,18757.2,18757.2,18857.4,18857.4,0
,5853462,0.2926731,20000000,0.2547775,0.75347,1.0,0.19209,0.2547775,0.75347,0.19209,0,1,0,1,4413330.0,3,0,11179.2,11247.0,20272.8,195425000.0,19036.5,19294.5,10963.3,10963.3,18702.5,18702.5,18773.4,18773.4,0
,2701627,0.13508135,20000000,0.126615,0.266705,1.0,0.03380145,0.126615,0.266705,0.03380145,0,1,0,1,721235.0,2,0,10967.8,11168.1,19053.1,2943810.0,18728.5,18994.1,10893.4,10893.4,18632.6,896004.0,18637.0,18637.0,0
,9276242,0.4638121,20000000,0.3733295,0.844615,1.0,0.3154495,0.3733295,0.844615,0.3154495,0,1,0,1,7838220.0,2,0,11288.6,11333.3,21002.9,354671000.0,19206.4,19463.3,11039.1,11039.1,18778.3,18778.3,18906.0,18906.0,0
,5118730,0.2559365,20000000,0.2266355,0.013575,1.0,0.003079395,0.2266355,0.013575,0.003079395,0,1,0,1,69551.6,1,0,18690.8,18959.9,18712.9,32445.0,18691.3,18961.1,18686.3,18686.3,18686.2,18686.2,18686.6,18686.6,0
,2527988,0.1263994,20000000,0.118966,0.377283,0.2799575,0.04492905,0.03332995,0.1719595,0.02047795,0,1,0,1,435155.0,2,2,10993.9,11164.2,19212.3,2542210.0,18749.8,18961.7,10889.6,10889.6,18628.8,794365.0,18634.6,18634.6,0
,556210,0.0278105,20000000,0.02744135,0.595705,1.0,0.01636565,0.02744135,0.595705,0.01636565,0,1,0,1,331716.0,2,0,11008.9,11119.5,19167.8,3019210.0,18789.0,19049.1,10845.9,10845.9,18585.1,915551.0,18587.0,18587.0,0
,9521850,0.4760925,20000000,0.3810955,0.0668955,1.0,0.025517,0.3810955,0.0668955,0.025517,0,1,0,1,637582.0,1,0,11064.4,11319.1,18962.7,810942.0,18811.5,19081.8,11044.6,11044.6,18783.7,356669.0,18787.6,18787.6,0
,4055192,0.2027596,20000000,0.1840715,0.350314,1.0,0.0645455,0.1840715,0.350314,0.0645455,0,1,0,1,1422000.0,3,0,11022.3,11199.8,19291.5,32438600.0,18806.0,19070.0,10923.4,10923.4,18662.6,27135800.0,18684.9,18684.9,0
,8708899,0.43544495,20000000,0.355028,0.320365,1.0,0.1138445,0.355028,0.320365,0.1138445,0,1,0,1,2792730.0,1,0,11120.8,11307.0,19580.6,110795000.0,18923.8,19188.3,11026.6,11026.6,18765.7,18765.7,18810.2,18810.2,0
