query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
ad4a4bbe6895814b3bd4166b12a4283d,8325805,0.41629025,20000000,0.5000056,0.7432879,0.60054005,0.37164395,0.30027,0.44636915,0.2231846,0,1,0,1,3716341,2,1,33885417.58,33972833.5,37350273.88,2566659511260.17,38538906.2,41401136.3,-1,-1,-1,-1,-1,-1,0
098342d11aedc4b5d1909ca070bc4fd1,5853462,0.2926731,20000000,0.5000056,0.754459,1.0,0.3772295,0.5000056,0.754459,0.3772295,0,1,0,1,4416148,3,0,33818728.56,33917483.71,36101740.66,3049971099699.76,36661150.98,41552705.23,-1,-1,-1,-1,-1,-1,0
4b9f393469ac3cbd3971a68e66b003eb,2701627,0.13508135,20000000,0.5000056,0.2661175,1.0,0.13305875,0.5000056,0.2661175,0.13305875,0,1,0,1,718942,2,0,32269501.08,32729009.89,34503309.92,496559424212.49,33633702.54,35411808.55,-1,-1,-1,-1,-1,-1,0
783e53b304c8d6e3aa033da4f4a14da2,9276242,0.4638121,20000000,0.5000056,0.84272795,1.0,0.421364,0.5000056,0.84272795,0.421364,0,1,0,1,7817261,2,0,34511727.38,34628334.34,37807053.96,5398892335512.57,39401505.14,44788917.66,-1,-1,-1,-1,-1,-1,0
f9632c7a77cdc34874523a1c929ea815,5118730,0.2559365,20000000,0.5000056,0.01391965,1.0,0.0069598,0.5000056,0.01391965,0.0069598,0,1,0,1,71250,1,0,32136832.27,32609771.46,35705107.35,49242919103.14,35213336.08,35725405.3,-1,-1,-1,-1,-1,-1,0
be01c6712e7111e15b57a6fb433f3b9f,2527988,0.1263994,20000000,0.5000056,0.37444745,0.2786031,0.1872237,0.13930155,0.10432105,0.0521605,0,1,0,1,263719,2,2,32223714.24,32495521.75,34428696.26,182166834318.63,33636911.13,34414763.58,-1,-1,-1,-1,-1,-1,0
efde6110f22543e4b9b1d54759dc5178,556210,0.0278105,20000000,0.5000056,0.596813,1.0,0.2984065,0.5000056,0.596813,0.2984065,0,1,0,1,331950,2,0,32606760.22,32713858.06,33111977.88,229287852213.29,32239093.21,36216743.19,-1,-1,-1,-1,-1,-1,4
9a1034cea30ba9dbdd8134e26ac1f85d,9521850,0.4760925,20000000,0.5000056,0.0670477,1.0,0.03352385,0.5000056,0.0670477,0.03352385,0,1,0,1,638411,1,0,32949710.89,33487523.48,37906667.35,440944498418.4,38679929.58,39527162.19,-1,-1,-1,-1,-1,-1,0
f65bef245364e32224ef4b9b3f1bdfc8,4055192,0.2027596,20000000,0.5000056,0.34750555,1.0,0.1737528,0.5000056,0.34750555,0.1737528,0,1,0,1,1409186,3,0,32671605.21,33105328.09,35193614.31,973264793260.89,34785438.01,37412760.38,-1,-1,-1,-1,-1,-1,0
2b18a6c63aa6e0c64d5907172e8f9729,8708899,0.43544495,20000000,0.5000056,0.3166392,1.0,0.1583196,0.5000056,0.3166392,0.1583196,0,1,0,1,2757548,1,0,33321073.38,33762498.63,37500191.85,1904492276748.56,38327661.51,40723098.61,-1,-1,-1,-1,-1,-1,0
