query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,8325805,0.1040725625,80000000,0.3426325,1,1.0,0.3426325,0.3426325,1.0,0.3426325,0,0,0,0,33327700.0,0,0,inf,12258.5,inf,7939060000.0,inf,21451.0,inf,11017.8,inf,7584570000.0,inf,18888.4,1
,38712132,0.48390165,80000000,0.8649775,1,0.55073875,0.8649775,0.4763775,0.55073875,0.4763775,0,0,0,0,85343900.0,0,1,inf,12893.3,inf,22421500000.0,inf,22109.2,inf,10834.9,inf,19429.6,inf,20062.2,1
,374565,0.0046820625,80000000,0.0185785,1,1.0,0.0185785,0.0185785,1.0,0.0185785,0,0,0,0,1499360.0,0,0,inf,12014.6,inf,21554000.0,inf,21090.8,inf,10841.8,inf,5604720.0,inf,18583.0,1
,30199181,0.3774897625,80000000,0.7878375,1,0.048546,0.7878375,0.038246375,0.048546,0.038246375,0,0,0,0,5868520.0,0,1,inf,12577.5,inf,1131730000.0,inf,20978.0,inf,10834.6,inf,19241.2,inf,19731.9,1
,23813721,0.2976715125,80000000,0.70353875,1,0.39110375,0.70353875,0.27515625,0.39110375,0.27515625,0,0,0,0,37282000.0,0,1,inf,12526.7,inf,9691920000.0,inf,21234.2,inf,10834.4,inf,19099.8,inf,19484.7,1
,36662094,0.458276175,80000000,0.84936125,1,0.042143875,0.84936125,0.035795375,0.042143875,0.035795375,0,0,0,0,6184880.0,0,1,inf,12697.7,inf,1120730000.0,inf,21221.9,inf,10834.9,inf,19384.3,inf,19982.6,1
,19728500,0.24660625,80000000,0.6334925,1,0.65268625,0.6334925,0.41347125,0.65268625,0.41347125,0,0,0,0,51544000.0,0,1,inf,12485.4,inf,13343200000.0,inf,21452.0,inf,10834.2,inf,12795000000.0,inf,19326.9,1
,20865124,0.26081405,80000000,0.65444375,1,0.76998875,0.65444375,0.50391375,0.76998875,0.50391375,0,0,0,0,64311000.0,0,1,inf,12533.1,inf,16701000000.0,inf,21676.5,inf,10834.3,inf,16016900000.0,inf,19370.8,1
,20841246,0.260515575,80000000,0.65401625,1,1.0,0.65401625,0.65401625,1.0,0.65401625,0,0,0,0,83426300.0,0,0,inf,12630.9,inf,21448600000.0,inf,22018.8,inf,11294.9,inf,19034.1,inf,19369.9,1
,16728002,0.209100025,80000000,0.57211375,1,0.6154725,0.57211375,0.35212,0.6154725,0.35212,0,0,0,0,41212800.0,0,1,inf,12410.2,inf,10557300000.0,inf,21268.1,inf,10834.1,inf,10118900000.0,inf,19211.2,1
