query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
,985773,0.0123221625,80000000,0.9857725,1,1.0,0.9857725,0.9857725,1.0,0.9857725,0,0,1,0,78861800.0,0,0,inf,1337.74,inf,56176800.0,inf,2686.15,inf,37.7743,inf,14203400.0,inf,64.3416,1
,963396,0.01204245,80000000,0.96339625,1,0.55073875,0.96339625,0.53058,0.55073875,0.53058,0,0,1,0,42446400.0,0,1,inf,1279.51,inf,16686300.0,inf,2012.21,inf,37.3959,inf,4220330.0,inf,51.6817,1
,374565,0.0046820625,80000000,0.4320775,1,1.0,0.4320775,0.4320775,1.0,0.4320775,0,0,1,0,34566200.0,0,0,inf,1257.74,inf,21351400.0,inf,2596.2,inf,26.7354,inf,5402050.0,inf,39.9315,1
,170585,0.0021323125,80000000,0.1967775,1,0.048546,0.1967775,0.00985845,0.048546,0.00985845,0,0,1,0,788676.0,0,2,inf,1196.33,inf,25589.0,inf,1268.05,inf,23.0559,inf,6692.56,inf,34.3465,1
,674344,0.0084293,80000000,0.777885,1,1.0,0.777885,0.777885,1.0,0.777885,0,0,1,0,62230800.0,0,0,inf,1306.18,inf,38432200.0,inf,2644.26,inf,32.1497,inf,9718860.0,inf,47.0635,1
,887634,0.011095425,80000000,0.88763375,1,0.073400875,0.88763375,0.065153125,0.073400875,0.065153125,0,0,1,0,5212250.0,0,1,inf,1216.69,inf,282629.0,inf,1319.73,inf,36.0255,inf,71801.7,inf,47.6164,1
,956309,0.0119538625,80000000,0.95630875,1,0.65268625,0.95630875,0.62417,0.65268625,0.62417,0,0,1,0,49933600.0,0,1,inf,1291.79,inf,23261600.0,inf,2161.33,inf,37.2677,inf,5882720.0,inf,52.1246,1
,919376,0.0114922,80000000,0.91937625,1,0.0559655,0.91937625,0.051453375,0.0559655,0.051453375,0,0,1,0,4116270.0,0,2,inf,1215.43,inf,171447.0,inf,1296.22,inf,36.5997,inf,43598.8,inf,48.1173,1
,556210,0.006952625,80000000,0.6416125,1,0.2538675,0.6416125,0.1628375,0.2538675,0.1628375,0,0,1,0,13027000.0,0,2,inf,1224.17,inf,2047920.0,inf,1562.06,inf,30.0309,inf,519020.0,inf,42.0268,1
,999362,0.012492025,80000000,0.9993625,1,0.6154725,0.9993625,0.61507875,0.6154725,0.61507875,0,0,1,0,49206300.0,0,1,inf,1291.16,inf,21680000.0,inf,2110.7,inf,38.0464,inf,5482780.0,inf,52.8588,1
,303649,0.0037956125,80000000,0.3502725,1,1.0,0.3502725,0.3502725,1.0,0.3502725,0,0,1,0,28021800.0,0,0,inf,1246.29,inf,17310800.0,inf,2584.84,inf,25.4546,inf,4380860.0,inf,38.2554,1
,909464,0.0113683,80000000,0.90946375,1,0.5866525,0.90946375,0.53354,0.5866525,0.53354,0,0,1,0,42683200.0,0,2,inf,1279.17,inf,17917600.0,inf,2060.03,inf,36.4204,inf,4531750.0,inf,50.7323,1
,895105,0.0111888125,80000000,0.895105,1,1.0,0.895105,0.895105,1.0,0.895105,0,0,1,0,71608400.0,0,0,inf,1324.81,inf,51010700.0,inf,2663.43,inf,36.1368,inf,12897800.0,inf,52.3492,1
,875574,0.010944675,80000000,0.87557375,1,0.3387475,0.87557375,0.29659875,0.3387475,0.29659875,0,0,1,0,23727900.0,0,2,inf,1247.24,inf,5768310.0,inf,1697.36,inf,35.8074,inf,1459780.0,inf,48.7041,1
,620880,0.007761,80000000,0.7162125,1,0.4280775,0.7162125,0.30702375,0.4280775,0.30702375,0,0,1,0,24561900.0,0,1,inf,1244.57,inf,6504510.0,inf,1813.17,inf,31.2006,inf,1646370.0,inf,43.91,1
,113184,0.0014148,80000000,0.1305625,1,0.47792625,0.1305625,0.06242425,0.47792625,0.06242425,0,0,1,0,4993940.0,0,1,inf,1202.15,inf,1480000.0,inf,1840.72,inf,22.0177,inf,376830.0,inf,33.5409,1
,684008,0.0085501,80000000,0.78903375,1,0.918215,0.78903375,0.72557125,0.918215,0.72557125,0,0,1,0,58045700.0,0,1,inf,1301.4,inf,32926000.0,inf,2528.85,inf,32.3424,inf,8326800.0,inf,47.2231,1
,274279,0.0034284875,80000000,0.3163925,1,0.14878125,0.3163925,0.047435125,0.14878125,0.047435125,0,0,1,0,3794810.0,0,2,inf,1203.94,inf,351927.0,inf,1404.35,inf,24.9315,inf,89766.1,inf,36.3876,1
,707172,0.00883965,80000000,0.81575375,1,1.0,0.81575375,0.81575375,1.0,0.81575375,0,0,1,0,65260300.0,0,0,inf,1311.49,inf,40302700.0,inf,2649.52,inf,32.7426,inf,10191600.0,inf,47.848,1
,551546,0.006894325,80000000,0.6362325,1,1.0,0.6362325,0.6362325,1.0,0.6362325,0,0,1,0,50898600.0,0,0,inf,1286.34,inf,31435400.0,inf,2624.56,inf,29.9318,inf,7950570.0,inf,44.1344,1
,397637,0.0049704625,80000000,0.45869125,1,1.0,0.45869125,0.45869125,1.0,0.45869125,0,0,1,0,36695300.0,0,0,inf,1261.47,inf,22666000.0,inf,2599.89,inf,27.1521,inf,5734280.0,inf,40.4779,1
,869424,0.0108678,80000000,0.86942375,1,1.0,0.86942375,0.86942375,1.0,0.86942375,0,0,1,0,69553900.0,0,0,inf,1321.15,inf,49547400.0,inf,2659.77,inf,35.673,inf,12528000.0,inf,51.7332,1
,138085,0.0017260625,80000000,0.1592875,1,1.0,0.1592875,0.1592875,1.0,0.1592875,0,0,1,0,12743000.0,0,0,inf,1212.9,inf,7877280.0,inf,2558.35,inf,22.4644,inf,1996730.0,inf,34.3697,1
