query_id,left_cardinality,left_cardinality_ratio,base_cardinality,sel_of_join_pred,sel_of_pred_on_indexed_attr,sel_of_pred_on_non_indexed_attr,sel_of_pred_on_indexed_attr_and_join_pred,sel_of_pred_on_non_indexed_attr_and_join_pred,sel_of_pred_on_indexed_attr_and_non_indexed_attr,total_sel_on_base_table,left_ordered,base_ordered,left_indexed,base_indexed,result_size,predicate_op_num_on_indexed_attr,predicate_op_num_on_non_indexed_attr,hj_idx_cost,hj_seq_cost,nl_idx_cost,nl_seq_cost,mj_idx_cost,mj_seq_cost,hj_idx_cte_cost,hj_seq_cte_cost,nl_idx_cte_cost,nl_seq_cte_cost,mj_idx_cte_cost,mj_seq_cte_cost,optimal_decision
80378ca961f6097d92932838b2aab76b,461485,0.461485,1000000,0.5,0.036801,0.200067,0.0184,0.100034,0.007363,0.003682,0,1,0,1,3398,2,1,31310979.81,31339027.51,31614947.72,82305900.16,31541582.52,31569568.41,-1,-1,-1,-1,-1,-1,0
43bc7a1749aebf8222c04fd5b41463ff,86294,0.086294,1000000,0.5,0.264937,1.0,0.132468,0.5,0.264937,0.132468,0,1,0,1,22862,3,0,31330778.11,31356021.78,31430166.15,843190704.36,31332228.61,31400908.24,-1,-1,-1,-1,-1,-1,0
e9bc92c7708f75b364a0a9d8bea7243c,170585,0.170585,1000000,0.5,0.39728,0.721767,0.19864,0.360884,0.286744,0.143372,0,1,0,1,48914,1,1,31351830.79,31368559.35,31471253.0,1768256906.68,31402064.58,31465831.4,-1,-1,-1,-1,-1,-1,0
deaadcb782892ce50df10b08f34d243b,150056,0.150056,1000000,0.5,0.113473,0.4434,0.056736,0.2217,0.050314,0.025157,0,1,0,1,7550,3,1,31321368.39,31349659.88,31461944.07,299435718.29,31375364.3,31411204.24,-1,-1,-1,-1,-1,-1,0
c647c2f7df735c032b3ff8274f5b2da3,497737,0.497737,1000000,0.5,0.044128,1.0,0.022064,0.5,0.044128,0.022064,0,1,0,1,21964,2,0,31372540.93,31403387.44,31631557.48,811255752.05,31562184.84,31599044.24,-1,-1,-1,-1,-1,-1,0
e3da2975c9787fea9645ad87b38a2abb,430836,0.430836,1000000,0.5,0.081147,1.0,0.040574,0.5,0.081147,0.040574,0,1,0,1,34961,2,0,31365760.13,31398397.88,31598775.99,1273100316.54,31527430.81,31572084.32,-1,-1,-1,-1,-1,-1,0
19cef41623be74d14b2b36f2edad1a19,441171,0.441171,1000000,0.5,0.444476,0.200067,0.222238,0.100034,0.088925,0.044462,0,1,0,1,39231,1,1,31387147.15,31401572.38,31603840.14,1424507020.06,31552511.93,31580186.93,-1,-1,-1,-1,-1,-1,0
b66c2176ec0633cf61611ebdbc0810c4,199828,0.199828,1000000,0.5,0.000584,0.959733,0.000292,0.479866,0.000561,0.00028,0,1,0,1,112,3,1,31297069.67,31326934.24,31486581.22,33007730.78,31395731.03,31425396.69,-1,-1,-1,-1,-1,-1,0
211b4ceccc5f28dcd0575a37e700d2c5,312011,0.312011,1000000,0.5,0.091368,0.240333,0.045684,0.120166,0.021959,0.01098,0,1,0,1,6851,1,2,31344309.13,31370648.92,31541331.77,134104076.01,31462360.01,31489918.7,-1,-1,-1,-1,-1,-1,0
f96a4f6a9c5fc14cb05fc7d2db9f771c,410808,0.410808,1000000,0.5,0.678885,1.0,0.339442,0.5,0.678885,0.339442,0,1,0,1,278891,1,0,31424608.39,31428137.2,31587935.25,9934392453.11,31550392.07,31716614.58,-1,-1,-1,-1,-1,-1,0
